Year,Quarter,Value Column Name,Value
"2014","Qtr 1","Sum of Profit","3811.228999999995"
"2014","Qtr 2","Sum of Profit","11204.069200000013"
"2014","Qtr 3","Sum of Profit","12804.721799999992"
"2014","Qtr 4","Sum of Profit","21723.954099999995"
"2015","Qtr 1","Sum of Profit","9264.941599999996"
"2015","Qtr 2","Sum of Profit","12190.922400000009"
"2015","Qtr 3","Sum of Profit","16853.619400000032"
"2015","Qtr 4","Sum of Profit","23309.120299999962"
"2016","Qtr 1","Sum of Profit","11441.370800000006"
"2016","Qtr 2","Sum of Profit","16390.339400000008"
"2016","Qtr 3","Sum of Profit","15823.604800000016"
"2016","Qtr 4","Sum of Profit","38139.85929999996"
"2017","Qtr 1","Sum of Profit","23506.202599999986"
"2017","Qtr 2","Sum of Profit","15499.20850000005"
"2017","Qtr 3","Sum of Profit","26985.132499999974"
"2017","Qtr 4","Sum of Profit","27448.726000000006"
