Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Region,Orders.City,Orders.Category,Sum(Orders.Profit),Sum(Orders.Quantity)
2014,Central,Aberdeen,Office Supplies,,
2015,Central,Aberdeen,Office Supplies,,
2016,Central,Aberdeen,Office Supplies,,
2017,Central,Aberdeen,Office Supplies,6.63,3
2014,Central,Abilene,Office Supplies,,
2015,Central,Abilene,Office Supplies,,
2016,Central,Abilene,Office Supplies,,
2017,Central,Abilene,Office Supplies,-3.758400000000001,2
2014,Central,Allen,Furniture,,
2015,Central,Allen,Furniture,-31.372200000000007,2
2016,Central,Allen,Furniture,,
2017,Central,Allen,Furniture,,
2014,Central,Allen,Office Supplies,,
2015,Central,Allen,Office Supplies,-8.2368,8
2016,Central,Allen,Office Supplies,,
2017,Central,Allen,Office Supplies,,
2014,Central,Allen,Technology,,
2015,Central,Allen,Technology,-0.26850000000000307,3
2016,Central,Allen,Technology,,
2017,Central,Allen,Technology,,
2014,Central,Amarillo,Furniture,,
2015,Central,Amarillo,Furniture,-350.4899999999999,5
2016,Central,Amarillo,Furniture,-120.98430000000003,7
2017,Central,Amarillo,Furniture,-36.235200000000006,2
2014,Central,Amarillo,Office Supplies,,
2015,Central,Amarillo,Office Supplies,,
2016,Central,Amarillo,Office Supplies,25.271999999999995,8
2017,Central,Amarillo,Office Supplies,,
2014,Central,Amarillo,Technology,,
2015,Central,Amarillo,Technology,73.59730000000002,7
2016,Central,Amarillo,Technology,20.8719,3
2017,Central,Amarillo,Technology,,
2014,Central,Ann Arbor,Office Supplies,,
2015,Central,Ann Arbor,Office Supplies,108.86839999999998,15
2016,Central,Ann Arbor,Office Supplies,,
2017,Central,Ann Arbor,Office Supplies,,
2014,Central,Ann Arbor,Technology,,
2015,Central,Ann Arbor,Technology,120.04739999999995,8
2016,Central,Ann Arbor,Technology,,
2017,Central,Ann Arbor,Technology,,
2014,Central,Apple Valley,Office Supplies,6.464999999999989,2
2015,Central,Apple Valley,Office Supplies,,
2016,Central,Apple Valley,Office Supplies,,
2017,Central,Apple Valley,Office Supplies,2.5056,3
2014,Central,Appleton,Office Supplies,10.348799999999999,7
2015,Central,Appleton,Office Supplies,,
2016,Central,Appleton,Office Supplies,,
2017,Central,Appleton,Office Supplies,,
2014,Central,Appleton,Technology,,
2015,Central,Appleton,Technology,,
2016,Central,Appleton,Technology,544.4174999999998,5
2017,Central,Appleton,Technology,,
2014,Central,Arlington,Furniture,-125.83589999999992,8
2015,Central,Arlington,Furniture,-118.12950000000006,5
2016,Central,Arlington,Furniture,-9.094400000000004,7
2017,Central,Arlington,Furniture,-51.28819999999999,7
2014,Central,Arlington,Office Supplies,5.450999999999997,8
2015,Central,Arlington,Office Supplies,-15.058200000000241,24
2016,Central,Arlington,Office Supplies,5.915999999999997,21
2017,Central,Arlington,Office Supplies,-156.08900000000006,34
2014,Central,Arlington,Technology,0,3
2015,Central,Arlington,Technology,,
2016,Central,Arlington,Technology,101.74499999999998,12
2017,Central,Arlington,Technology,107.99459999999999,2
2014,Central,Arlington Heights,Office Supplies,,
2015,Central,Arlington Heights,Office Supplies,,
2016,Central,Arlington Heights,Office Supplies,1.2348000000000008,6
2017,Central,Arlington Heights,Office Supplies,,
2014,Central,Aurora,Furniture,-209.7693,3
2015,Central,Aurora,Furniture,-549.4227000000002,10
2016,Central,Aurora,Furniture,-484.6744,19
2017,Central,Aurora,Furniture,-649.2488000000001,15
2014,Central,Aurora,Office Supplies,-46.39460000000001,7
2015,Central,Aurora,Office Supplies,-243.1966,9
