Orders.Region,Orders.Category,Orders.Ship Mode,Sum(Orders.Quantity),Sum(Orders.Profit)
Central,Technology,Standard Class,873,24331.281799999986
East,Technology,Standard Class,1170,30004.721299999965
South,Technology,Standard Class,674,10096.30070000001
West,Technology,Standard Class,1405,18696.983199999995
Central,Technology,First Class,228,3438.1049
East,Technology,First Class,317,7239.070299999999
South,Technology,First Class,150,3012.3172
West,Technology,First Class,388,13813.071
Central,Technology,Second Class,389,4595.479999999998
East,Technology,Second Class,344,4383.671300000002
South,Technology,Second Class,223,9938.513800000002
West,Technology,Second Class,418,7234.541299999999
Central,Technology,Same Day,54,1332.5653000000002
East,Technology,Same Day,111,5834.572199999999
South,Technology,Same Day,71,-3055.300299999999
West,Technology,Same Day,124,4559.054099999999
Central,Technology,Third Class,,
East,Technology,Third Class,,
South,Technology,Third Class,,
West,Technology,Third Class,4,68.35680000000002
Central,Office Supplies,Standard Class,3446,1443.3002999999962
East,Office Supplies,Standard Class,3776,25707.073500000057
South,Office Supplies,Standard Class,2287,12947.21320000001
West,Office Supplies,Standard Class,4398,30501.197899999966
Central,Office Supplies,Second Class,1063,6100.1832
East,Office Supplies,Second Class,1249,6332.895599999997
South,Office Supplies,Second Class,798,3136.7161000000015
West,Office Supplies,Second Class,1370,11498.3727
Central,Office Supplies,First Class,665,930.0482999999916
East,Office Supplies,First Class,1105,6927.374200000004
South,Office Supplies,First Class,507,2707.3552000000022
West,Office Supplies,First Class,1095,7835.551399999998
Central,Office Supplies,Same Day,235,406.4481000000001
East,Office Supplies,Same Day,332,2047.2358
South,Office Supplies,Same Day,208,1195.1083000000003
West,Office Supplies,Same Day,372,2774.727000000001
Central,Office Supplies,Third Class,14,-114.35640000000001
East,Office Supplies,Third Class,,
South,Office Supplies,Third Class,3,5.4432
West,Office Supplies,Third Class,3,132.59219999999993
Central,Furniture,Standard Class,1118,-422.20140000000526
East,Furniture,Standard Class,1268,1311.4132999999965
South,Furniture,Standard Class,800,3908.7190999999884
West,Furniture,Standard Class,1582,5562.784599999992
Central,Furniture,Second Class,343,-1580.8283000000006
East,Furniture,Second Class,433,70.7238999999994
South,Furniture,Second Class,273,1591.9169999999992
West,Furniture,Second Class,520,4144.4487999999965
Central,Furniture,First Class,263,-660.8859999999999
East,Furniture,First Class,383,1565.5696
South,Furniture,First Class,173,1172.7130000000002
West,Furniture,First Class,419,989.5507999999979
Central,Furniture,Same Day,103,-207.13369999999975
East,Furniture,Same Day,130,98.45899999999989
South,Furniture,Same Day,45,97.85699999999997
West,Furniture,Same Day,175,808.1660999999995
