Country,Group 1,Year,Value Column Name,Value
"Japan","demo","2017","BU","306000"
"Japan","demo","2018","BU","408000"
"Japan","Custom Group All","2019","BU","315000"
"Australia","demo","2017","BU","316000"
"Australia","demo","2018","BU","300000"
"Australia","Custom Group All","2019","BU","390000"
"Brazil","demo","2017","BU","379000"
"Brazil","demo","2018","BU","323000"
"Brazil","Custom Group All","2019","BU","276000"
"China","demo","2017","BU","317000"
"China","demo","2018","BU","290000"
"China","Custom Group All","2019","BU","305000"
"Other","demo","2017","BU","348000"
"Other","demo","2018","BU","306000"
"Other","Custom Group All","2019","BU","246000"
"USA","demo","2017","BU","362000"
"USA","demo","2018","BU","317000"
"USA","Custom Group All","2019","BU","208000"
"Sweden","demo","2017","BU","328000"
"Sweden","demo","2018","BU","180000"
"Sweden","Custom Group All","2019","BU","298000"
"Canada","demo","2017","BU","242000"
"Canada","demo","2018","BU","237000"
"Canada","Custom Group All","2019","BU","277000"
"France","demo","2017","BU","221000"
"France","demo","2018","BU","153000"
"France","Custom Group All","2019","BU","242000"
"Belgium","demo","2017","BU","176000"
"Belgium","demo","2018","BU","147000"
"Belgium","Custom Group All","2019","BU","203000"
"Germany","demo","2017","BU","194000"
"Germany","demo","2018","BU","118000"
"Germany","Custom Group All","2019","BU","199000"
"Poland","demo","2017","BU","144000"
"Poland","demo","2018","BU","136000"
"Poland","Custom Group All","2019","BU","228000"
