Dim_Calendar.Year,Account Upd.Account Name,_Measure_CF.CF_ACT_LY_Target,_Measure_CF.CF_Target,_Measure_CF.CF_Comp,_Measure_CF.vs_LY_N%,_Measure_CF.CF_Second_Comp,_Measure_CF.vs LY,_Measure_CF.FILTERCONTEXT
2023,Volume (EA),1366.5505022603707,,,,,,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2024,Volume (EA),3027.1015117440315,7629.3235314824721,1588.630248749219,58.69660584335219780,6122.665134407746,1184.680798767585,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2025,Volume (EA),4007.9584424810298,2984.931008316208,1935.233199921343,95.673468851303271921,7644.7808712011764,430.982364267323565,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2026,Volume (EA),9720.7176321812913,7404.5796922149344,7718.7197668585117,6.467867515659653639,7930.3609977608731,25.020225026875945,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2027,Volume (EA),7076.9074388736674,4390.0861323420697,1160.4165846938607,3.299968094460825755,4139.1872833965559,20.79630550662205,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2023,Gross Sales,25941.74617998995,,,,,,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2024,Gross Sales,02045.27624883368,54583.12943383561,89038.804961912720,8.358912134040064967,44473.29236329044,2637.073769033815,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2025,Gross Sales,25988.01234164687,21536.73008476139,05029.964798936340,4.4218485718743936,67777.43733920577,5758.3575249873445,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2026,Gross Sales,49247.80464138010,37679.316756566759,75908.37813068306,5.95814948167185821,35441.93603048929,9750.405474973381,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2027,Gross Sales,36277.03651945221,50951.81848113873,48556.10910075,0.40644518278122595,42324.39869484919,0575.966970656842,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2023,Turnover,77503.557147172946,,,,,,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2024,Turnover,63368.67299098202,72641.784422049248,84689.368107856105,4.1795956290429398,73584.90502289045,1371.534784921665,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2025,Turnover,42506.25172965474,51213.412318589467,09445.01545008186,5.4416852301611037,10985.38230960225,8007.22333002972,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2026,Turnover,77328.23613769732,48130.11624241118,39257.18234054641,1.69843550907417277,17024.591274096735,8039.222176330298,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2027,Turnover,79494.2928350180,87156.6725750379,94623.40725125669,4.24666543679776902,88088.17050946279,3273.3854106711909,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2023,Discounts,4675.3750733936172,,,,,,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2024,Discounts,6124.63071206,1092.927540274877,9066.9477769888024,6.26717183127573678,8528.287121865791,43.23070344854380,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2025,Discounts,2544.854634085161,0875.2356254618484,3373.9198320491971,42.04297939098741766,2841.342865700716,4551.69148985995453,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2026,Discounts,1888.723558038319,7938.4929734564078,9339.313405791532,9.15670201820309113,2694.0593257767657,784.77948127139673,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2027,Discounts,8861.8460709524948,6965.4099092534258,8767.9971682607071,6.69511109286374478,6234.123886302782,824.97868443028309,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2023,Rebates,88442.894721971624,,,,,,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2024,Rebates,99133.003985720613,13503.121828387293,15320.195545546269,36.5581946906929578,83449.081372161963,8412.5885320131694,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2025,Rebates,97111.07063690395,34746.38997087547,30879.384232774357,3.7317176847733810,54565.835786680003,9759.828023645012,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2026,Rebates,71468.44391680809,36990.80992725822,30909.11709245324,4.74705841939363812,09564.018872701912,1053.414900994081,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2027,Rebates,29449.053630406278,04254.46325284798,04029.110609861571,5.46718460094073851,52494.37942170288,7668.5941804468504,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2023,Returns and Allowances,072.0431292953519,,,,,,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2024,Returns and Allowances,476.14040327449497,287.6471646946219,354.79163570939176,94.3164922642051052,204.96582126291084,5438.921073306131,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2025,Returns and Allowances,239.52411248484372,552.5817263226058,710.37087968513520,88.61497327946315805,197.98503582858275,592.855096353404534,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2026,Returns and Allowances,520.29588847875859,241.8074019018431,036.1912488892263,9.391380398601753030,266.2084665388982,69.381927716138644,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2027,Returns and Allowances,205.76787819753636,714.7801613007363,755.8099889402367,8.0764892781030491,311.3922294773131,06.63888094279692,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
2023,Total Cost of Sales,11776.82319476381,,,,,,"{'CF Target Version.Version' : ['MCF Current'], 'CF Comp Version.Comp Version' : ['MCF Previous'], 'Second Comparative.Second Comparative' : ['QFF']}"
