Orders.Category,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Sum(Orders.Quantity),Sum(Orders.Profit)
Furniture,2014,Qtr 1,224,-202.4968000000005
Office Supplies,2014,Qtr 1,642,2235.454899999999
Technology,2014,Qtr 1,162,1778.2708999999975
Furniture,2014,Qtr 2,300,800.8177999999989
Office Supplies,2014,Qtr 2,948,5778.8456
Technology,2014,Qtr 2,275,4624.405799999999
Furniture,2014,Qtr 3,429,2896.316
Office Supplies,2014,Qtr 3,1333,6985.123699999994
Technology,2014,Qtr 3,397,2923.2820999999985
Furniture,2014,Qtr 4,670,1963.088500000005
Office Supplies,2014,Qtr 4,1646,7593.991900000004
Technology,2014,Qtr 4,555,12166.873699999996
Furniture,2015,Qtr 1,244,-1164.2479000000012
Office Supplies,2015,Qtr 1,573,7811.846899999998
Technology,2015,Qtr 1,173,2617.3425999999986
Furniture,2015,Qtr 2,345,826.5751999999981
Office Supplies,2015,Qtr 2,956,5404.359899999988
Technology,2015,Qtr 2,303,5959.9873000000025
Furniture,2015,Qtr 3,479,537.5537999999983
Office Supplies,2015,Qtr 3,1348,5360.419699999997
Technology,2015,Qtr 3,414,10955.645899999996
Furniture,2015,Qtr 4,707,2815.3218000000033
Office Supplies,2015,Qtr 4,1838,6522.907300000005
Technology,2015,Qtr 4,599,13970.891200000007
Furniture,2016,Qtr 1,332,125.72789999999941
Office Supplies,2016,Qtr 1,656,3995.877699999999
Technology,2016,Qtr 1,255,7319.765199999999
Furniture,2016,Qtr 2,455,2083.0407999999966
Office Supplies,2016,Qtr 2,1419,3764.509699999997
Technology,2016,Qtr 2,366,10542.788899999998
Furniture,2016,Qtr 3,558,1247.3640999999984
Office Supplies,2016,Qtr 3,1750,6467.193199999987
Technology,2016,Qtr 3,459,8109.047500000006
Furniture,2016,Qtr 4,848,3503.8202999999967
Office Supplies,2016,Qtr 4,2121,20833.648599999975
Technology,2016,Qtr 4,618,13802.390400000004
Furniture,2017,Qtr 1,280,762.3708999999992
Office Supplies,2017,Qtr 1,1174,6930.234399999994
Technology,2017,Qtr 1,391,15813.597300000005
Furniture,2017,Qtr 2,535,1034.5750999999989
Office Supplies,2017,Qtr 2,1578,9903.309599999984
Technology,2017,Qtr 2,438,4561.323799999998
Furniture,2017,Qtr 3,612,2195.547099999999
Office Supplies,2017,Qtr 3,2118,13478.886499999995
Technology,2017,Qtr 3,654,11310.6989
Furniture,2017,Qtr 4,1010,-974.1018000000063
Office Supplies,2017,Qtr 4,2806,9424.1912
Technology,2017,Qtr 4,880,18998.63659999999
