Orders.Ship Date.Variation.Date Hierarchy.Month,Orders.Region,Sum(Orders.Quantity)
January,Central,485
February,Central,297
March,Central,548
April,Central,562
May,Central,637
June,Central,688
July,Central,663
August,Central,544
September,Central,1194
October,Central,714
November,Central,1330
December,Central,1118
January,East,442
February,East,273
March,East,637
April,East,697
May,East,715
June,East,762
July,East,887
August,East,679
September,East,1571
October,East,811
November,East,1603
December,East,1541
January,South,394
February,South,200
March,South,431
April,South,478
May,South,498
June,South,518
July,South,372
August,South,496
September,South,710
October,South,460
November,South,857
December,South,795
January,West,534
February,West,361
March,West,771
April,West,691
May,West,759
June,West,868
July,West,840
August,West,933
September,West,1525
October,West,1137
November,West,1812
December,West,2035
