Orders.Region,Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Ship Date.Variation.Date Hierarchy.Month,Sum(Orders.Profit),Sum(Orders.Sales)
Central,2014,January,106.84000000000003,1299.406
East,2014,January,-40.68210000000003,432.246
South,2014,January,2346.6639999999998,9322.091999999999
West,2014,January,11.290599999999927,2221.387
Central,2014,February,306.4568999999999,1473.6740000000004
East,2014,February,60.67450000000001,184.248
South,2014,February,279.3395,2028.986
West,2014,February,219.72159999999997,1719.6199999999997
Central,2014,March,-429.85960000000017,2813.537
East,2014,March,-748.5753,5215.820000000001
South,2014,March,49.033099999998285,32909.252
West,2014,March,1252.8139999999994,9769.740000000002
Central,2014,April,385.19159999999994,6726.405000000001
East,2014,April,-455.12199999999996,2865.974
South,2014,April,1482.2731000000006,10406.337
West,2014,April,1900.9140999999997,10389.748999999996
Central,2014,May,-456.1760000000002,2973.075
East,2014,May,666.0500000000001,7350.197000000002
South,2014,May,1746.6102999999998,6772.064000000001
West,2014,May,679.7328000000002,5383.544000000001
Central,2014,June,1175.3359,10663.169599999996
East,2014,June,1018.066,9564.570999999998
South,2014,June,1139.4426999999998,4731.431
West,2014,June,1984.0213999999994,11032.484000000002
Central,2014,July,-4034.389000000002,6799.134
East,2014,July,1042.7274,5532.813
South,2014,July,391.9955999999999,2188.78
West,2014,July,1551.766699999999,18469.867000000002
Central,2014,August,628.4268000000001,3022.183
East,2014,August,743.4486999999996,4336.978
South,2014,August,1867.8519999999999,6604.043999999997
West,2014,August,2921.8071000000004,16282.036999999997
Central,2014,September,1384.3411999999962,34254.8658
East,2014,September,4138.838400000001,21294.114999999998
South,2014,September,-850.3461000000004,7355.5775
West,2014,September,2163.0520999999994,10222.094999999998
Central,2014,October,1268.3285999999991,8783.741
East,2014,October,450.9852999999996,9716.878
South,2014,October,714.6784999999999,5320.234
West,2014,October,2133.782999999999,11920.624000000003
Central,2014,November,-501.9393000000004,13298.6142
East,2014,November,5245.0804000000035,37192.901000000005
South,2014,November,1240.6324000000002,6887.421000000002
West,2014,November,3431.5733000000014,22803.258499999996
Central,2014,December,595.8648999999994,10792.055999999999
East,2014,December,3159.9014,16305.502
South,2014,December,1283.7678999999994,8758.577000000001
West,2014,December,1640.4911000000006,23991.8885
Central,2015,January,-535.6268000000002,3335.2516
East,2015,January,144.82879999999943,13359.208000000004
South,2015,January,-1457.9047000000003,5526.8820000000005
West,2015,January,393.1331999999996,7373.419
Central,2015,February,374.88699999999983,2641.1500000000005
East,2015,February,1822.0156999999995,5837.362999999999
South,2015,February,207.0039,605.25
West,2015,February,754.7790999999997,3595.314
Central,2015,March,111.51099999999971,6038.2880000000005
East,2015,March,1443.3166999999999,6599.087
South,2015,March,3968.9979,10787.839
West,2015,March,4239.088499999999,15844.448000000002
Central,2015,April,-964.2707000000005,8076.557999999999
East,2015,April,299.8718,3834.931999999999
South,2015,April,928.1729,4802.093500000002
West,2015,April,1294.626,8801.670000000002
Central,2015,May,2096.0143,10066.634000000002
East,2015,May,1986.9264000000005,9772.035999999996
South,2015,May,261.4067999999998,2833.5040000000004
West,2015,May,1218.6129999999994,9915.779499999999
Central,2015,June,270.5833999999991,6257.953000000003
East,2015,June,2450.7053000000005,8363.866
South,2015,June,1031.3657999999996,8443.817000000001
West,2015,June,1469.8938999999998,6785.194000000001
Central,2015,July,317.2317999999996,7605.285
East,2015,July,1987.3138,12643.461999999996
South,2015,July,599.6061,2187.908
West,2015,July,36.08189999999959,7963.572000000002
Central,2015,August,97.38429999999961,5300.852199999999
East,2015,August,789.7932999999997,8993.411999999998
South,2015,August,2278.939,5854.420000000002
West,2015,August,484.3435999999995,7967.63
Central,2015,September,2558.4632999999994,11849.381
East,2015,September,2127.5334999999973,28566.420999999988
South,2015,September,1056.4963999999998,11628.158000000003
West,2015,September,2971.084199999999,17571.875000000004
Central,2015,October,-47.352200000000224,6630.465999999999
East,2015,October,1930.1449999999993,7564.216
South,2015,October,66.36409999999995,5847.636500000001
West,2015,October,1652.6430999999998,12533.397000000003
Central,2015,November,2586.288200000001,14716.129999999992
East,2015,November,7972.1618,32538.27800000001
South,2015,November,-246.7781999999999,6893.495000000001
West,2015,November,2050.6658,16486.946999999993
Central,2015,December,4906.474,20704.629199999996
East,2015,December,-95.87990000000201,26919.43
South,2015,December,-466.2792000000002,5913.545500000001
West,2015,December,3458.8669999999975,25064.418999999994
