Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Orders.Quantity),Sum(Orders.Profit)
2014,January,2,,
2015,January,2,29,-1161.5484000000001
2016,January,2,5,105.54099999999998
2014,January,3,2,5.551199999999998
2015,January,3,19,-348.45780000000025
2016,January,3,21,386.486
2014,January,4,8,-65.99010000000001
2015,January,4,22,104.67240000000001
2016,January,4,11,40.4019999999999
2014,January,5,3,4.884
2015,January,5,20,62.5086
2016,January,5,10,46.45680000000001
2014,January,6,30,1358.0523999999998
2015,January,6,7,7.893399999999997
2016,January,6,,
2014,February,1,6,206.31600000000006
2015,February,1,,
2016,February,1,9,63.21619999999999
2014,February,2,12,7.152499999999996
2015,February,2,,
2016,February,2,24,2753.7109999999993
2014,February,3,5,31.5614
2015,February,3,22,157.41179999999997
2016,February,3,4,225.264
2014,February,4,9,51.1432
2015,February,4,,
2016,February,4,6,31.196799999999996
2014,February,5,,
2015,February,5,,
2016,February,5,55,721.2766
2014,February,6,12,76.48329999999999
2015,February,6,34,242.11719999999983
2016,February,6,4,-18.180799999999998
2014,March,1,40,-208.96140000000014
2015,March,1,23,12.718199999999825
2016,March,1,20,2267.4250999999995
2014,March,2,11,56.0112
2015,March,2,10,218.96289999999996
2016,March,2,,
2014,March,3,35,-629.7989000000001
2015,March,3,,
2016,March,3,59,-383.7433000000003
2014,March,4,8,20.07779999999996
2015,March,4,,
2016,March,4,10,130.2479
2014,March,5,16,261.19010000000003
2015,March,5,57,-417.895
2016,March,5,4,49.59429999999998
2014,March,6,,
2015,March,6,9,473.75179999999995
2016,March,6,20,-389.1555
2014,April,1,12,26.089599999999997
2015,April,1,,
2016,April,1,61,485.77099999999996
2014,April,2,29,407.39619999999996
2015,April,2,23,-35.82450000000002
2016,April,2,5,378.274
2014,April,3,7,85.6044
2015,April,3,,
2016,April,3,20,66.83300000000003
2014,April,4,25,105.4521
2015,April,4,20,384.47649999999993
2016,April,4,15,256.3547
2014,April,5,54,253.90440000000007
2015,April,5,56,-243.81410000000008
2016,April,5,14,-177.31019999999995
2014,April,6,38,299.51519999999994
2015,April,6,25,-0.17040000000000433
2016,April,6,5,336.635
2014,May,1,,
2015,May,1,21,66.22339999999997
2016,May,1,13,-75.2426000000001
2014,May,2,5,91.95719999999999
2015,May,2,6,16.84680000000001
2016,May,2,42,58.107399999999956
2014,May,3,13,28.862399999999997
2015,May,3,45,255.46429999999998
2016,May,3,31,-309.44660000000005
2014,May,4,25,58.5624
2015,May,4,23,157.5021999999999
2016,May,4,,
2014,May,5,15,34.51309999999998
2015,May,5,,
2016,May,5,40,449.3112
2014,May,6,16,85.7158
2015,May,6,,
2016,May,6,20,49.66329999999999
2014,June,1,55,1576.7509
2015,June,1,37,300.4786
2016,June,1,,
2014,June,2,16,218.36079999999998
2015,June,2,,
2016,June,2,19,23.579599999999996
2014,June,3,22,96.10859999999997
2015,June,3,,
2016,June,3,2,-1.777200000000004
2014,June,4,12,-6.493200000000022
2015,June,4,16,464.80840000000006
2016,June,4,38,-29.897700000000018
2014,June,5,,
2015,June,5,11,173.93400000000005
2016,June,5,30,121.3312
2014,June,6,34,-265.23670000000016
2015,June,6,,
2016,June,6,67,1049.4815
2014,July,1,13,75.33319999999998
2015,July,1,,
2016,July,1,25,545.6345999999999
2014,July,2,3,22.150800000000004
2015,July,2,46,-50.82450000000013
2016,July,2,16,37.1906
2014,July,3,,
2015,July,3,17,179.01669999999996
2016,July,3,16,242.9458
2014,July,4,14,83.94479999999999
2015,July,4,9,297.90439999999995
2016,July,4,27,293.1900999999999
2014,July,5,41,182.79359999999997
2015,July,5,23,8.6351
2016,July,5,,
2014,July,6,3,222.8455
2015,July,6,24,275.7629999999999
2016,July,6,,
2014,August,1,15,66.475
2015,August,1,10,-172.51080000000007
2016,August,1,8,114.53360000000005
2014,August,2,9,248.02760000000006
2015,August,2,16,-37.160499999999956
2016,August,2,7,53.41380000000001
2014,August,3,20,-76.7149
2015,August,3,,
2016,August,3,15,61.74300000000001
2014,August,4,51,833.4829000000001
2015,August,4,,
2016,August,4,27,98.0654
2014,August,5,37,504.1059
2015,August,5,16,-19.77000000000001
2016,August,5,7,59.11499999999998
