Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Segment,Orders.Region,Sum(Orders.Sales),Sum(Orders.Profit)
2014,Furniture,Bookcases,Consumer,Central,1110.6116,-120.65839999999996
2015,Furniture,Bookcases,Consumer,Central,4136.7688,-608.6298000000002
2016,Furniture,Bookcases,Consumer,Central,4697.1992,-522.1548
2017,Furniture,Bookcases,Consumer,Central,3016.2744,-245.68300000000013
2014,Furniture,Bookcases,Consumer,East,6759.801,-395.4879000000004
2015,Furniture,Bookcases,Consumer,East,11367.880000000001,-1514.0249000000003
2016,Furniture,Bookcases,Consumer,East,3546.9269999999997,-446.0228000000002
2017,Furniture,Bookcases,Consumer,East,5632.526,163.46839999999975
2014,Furniture,Bookcases,Consumer,South,794.2760000000001,164.70860000000002
2015,Furniture,Bookcases,Consumer,South,813.6120000000001,89.2884
2016,Furniture,Bookcases,Consumer,South,2839.756,480.5709999999999
2017,Furniture,Bookcases,Consumer,South,4268.918000000001,485.4440000000001
2014,Furniture,Bookcases,Consumer,West,1489.4415,-302.8688
2015,Furniture,Bookcases,Consumer,West,6704.628,-1267.6758000000004
2016,Furniture,Bookcases,Consumer,West,6066.1990000000005,327.8037999999998
2017,Furniture,Bookcases,Consumer,West,5387.910499999999,-723.7162000000001
2014,Furniture,Bookcases,Corporate,Central,209.95319999999998,26.750099999999996
2015,Furniture,Bookcases,Corporate,Central,2198.6304,-174.12800000000004
2016,Furniture,Bookcases,Corporate,Central,3687.7408,54.11400000000008
2017,Furniture,Bookcases,Corporate,Central,2293.1764,-289.44820000000004
2014,Furniture,Bookcases,Corporate,East,3485.738,-70.80500000000015
2015,Furniture,Bookcases,Corporate,East,5934.681999999999,485.8235999999999
2016,Furniture,Bookcases,Corporate,East,2042.8160000000003,269.9486
2017,Furniture,Bookcases,Corporate,East,1705.696,279.9958
2014,Furniture,Bookcases,Corporate,South,,
2015,Furniture,Bookcases,Corporate,South,363.024,13.991999999999997
2016,Furniture,Bookcases,Corporate,South,289.568,10.858799999999974
2017,Furniture,Bookcases,Corporate,South,501.212,43.51579999999999
2014,Furniture,Bookcases,Corporate,West,3325.9764999999998,278.5208999999999
2015,Furniture,Bookcases,Corporate,West,2649.1865,277.4451
2016,Furniture,Bookcases,Corporate,West,1267.1715,-99.43860000000011
2017,Furniture,Bookcases,Corporate,West,4051.3529999999996,-468.6947
2014,Furniture,Bookcases,Home Office,Central,513.4728,-39.73740000000003
2015,Furniture,Bookcases,Home Office,Central,1962.3228,-102.43460000000003
2016,Furniture,Bookcases,Home Office,Central,,
2017,Furniture,Bookcases,Home Office,Central,331.02639999999997,24.10579999999998
2014,Furniture,Bookcases,Home Office,East,617.912,40.70739999999998
2015,Furniture,Bookcases,Home Office,East,2350.878,40.77659999999992
2016,Furniture,Bookcases,Home Office,East,374.47800000000007,-22.011600000000016
2017,Furniture,Bookcases,Home Office,East,,
2014,Furniture,Bookcases,Home Office,South,,
2015,Furniture,Bookcases,Home Office,South,61.96,4.337199999999996
2016,Furniture,Bookcases,Home Office,South,579.9000000000001,61.293599999999955
2017,Furniture,Bookcases,Home Office,South,387.136,-14.51760000000003
2014,Furniture,Bookcases,Home Office,West,1729.495,72.69980000000004
2015,Furniture,Bookcases,Home Office,West,,
2016,Furniture,Bookcases,Home Office,West,883.711,97.509
2017,Furniture,Bookcases,Home Office,West,2449.051,161.90380000000005
2014,Furniture,Chairs,Consumer,Central,11023.306000000002,577.9794999999997
2015,Furniture,Chairs,Consumer,Central,13440.148,1255.3317999999992
2016,Furniture,Chairs,Consumer,Central,6618.043000000001,322.06449999999995
2017,Furniture,Chairs,Consumer,Central,11851.878,765.5254999999995
2014,Furniture,Chairs,Consumer,East,14298.380999999998,1494.901
2015,Furniture,Chairs,Consumer,East,9866.753000000002,1149.8792
2016,Furniture,Chairs,Consumer,East,16826.88,1226.2762999999995
2017,Furniture,Chairs,Consumer,East,18653.118999999995,1046.3387
2014,Furniture,Chairs,Consumer,South,5961.312000000001,729.7823999999999
2015,Furniture,Chairs,Consumer,South,5815.340000000001,1070.8517999999997
2016,Furniture,Chairs,Consumer,South,4130.094,910.138
2017,Furniture,Chairs,Consumer,South,10897.480000000001,1306.2624999999998
2014,Furniture,Chairs,Consumer,West,12922.440000000002,686.3086999999995
2015,Furniture,Chairs,Consumer,West,8760.64,397.0047999999998
2016,Furniture,Chairs,Consumer,West,12582.424000000003,214.8520999999994
2017,Furniture,Chairs,Consumer,West,9214.504000000004,81.83509999999984
2014,Furniture,Chairs,Corporate,Central,3891.2039999999993,-231.84699999999987
2015,Furniture,Chairs,Corporate,Central,1837.4019999999998,219.14689999999985
2016,Furniture,Chairs,Corporate,Central,13987.672999999999,1293.1130999999993
2017,Furniture,Chairs,Corporate,Central,8273.273000000001,1926.4706999999999
2014,Furniture,Chairs,Corporate,East,5396.138999999999,882.9467999999999
2015,Furniture,Chairs,Corporate,East,6039.421,592.9418000000001
2016,Furniture,Chairs,Corporate,East,4260.718,271.024
2017,Furniture,Chairs,Corporate,East,7808.952000000001,973.6751999999997
2014,Furniture,Chairs,Corporate,South,3397.228,543.5437999999998
2015,Furniture,Chairs,Corporate,South,3134.476,-101.9027000000003
2016,Furniture,Chairs,Corporate,South,2079.2479999999996,335.4869999999999
2017,Furniture,Chairs,Corporate,South,2755.92,406.8264
2014,Furniture,Chairs,Corporate,West,5310.408,269.6639999999998
2015,Furniture,Chairs,Corporate,West,7319.928,111.08749999999962
2016,Furniture,Chairs,Corporate,West,14118.592,601.6498999999994
2017,Furniture,Chairs,Corporate,West,9530.296000000002,250.82909999999944
2014,Furniture,Chairs,Home Office,Central,5839.542,353.1291999999998
2015,Furniture,Chairs,Home Office,Central,2630.955,202.46910000000003
2016,Furniture,Chairs,Home Office,Central,2743.908,-110.93960000000003
2017,Furniture,Chairs,Home Office,Central,3093.3140000000003,20.278399999999827
2014,Furniture,Chairs,Home Office,East,2313.748,341.5362
2015,Furniture,Chairs,Home Office,East,4103.098,735.9805999999998
2016,Furniture,Chairs,Home Office,East,1922.885,285.50079999999997
2017,Furniture,Chairs,Home Office,East,4770.589,356.76999999999964
2014,Furniture,Chairs,Home Office,South,3713.7400000000002,1031.3877999999997
2015,Furniture,Chairs,Home Office,South,1166.92,131.27849999999995
2016,Furniture,Chairs,Home Office,South,121.78,30.444999999999993
2017,Furniture,Chairs,Home Office,South,2002.908,217.98879999999997
2014,Furniture,Chairs,Home Office,West,3174.128,275.7146
2015,Furniture,Chairs,Home Office,West,7619.448,464.34679999999986
2016,Furniture,Chairs,Home Office,West,4526.400000000001,383.54279999999983
2017,Furniture,Chairs,Home Office,West,6702.120000000001,290.7488999999994
2014,Furniture,Furnishings,Consumer,Central,2153.2679999999996,-144.59579999999988
2015,Furniture,Furnishings,Consumer,Central,1618.0380000000002,-299.7335
2016,Furniture,Furnishings,Consumer,Central,3118.87,-417.3794000000002
2017,Furniture,Furnishings,Consumer,Central,2609.814,-592.3437000000001
2014,Furniture,Furnishings,Consumer,East,2305.5599999999995,350.49669999999986
2015,Furniture,Furnishings,Consumer,East,2110.936000000001,498.2005999999999
2016,Furniture,Furnishings,Consumer,East,5338.150000000001,1375.4659000000004
2017,Furniture,Furnishings,Consumer,East,3422.4220000000005,796.9738
2014,Furniture,Furnishings,Consumer,South,1413.0600000000002,113.88119999999992
2015,Furniture,Furnishings,Consumer,South,3006.388,409.38259999999985
2016,Furniture,Furnishings,Consumer,South,4197.066,983.7493
2017,Furniture,Furnishings,Consumer,South,2254.0599999999995,450.1724
2014,Furniture,Furnishings,Consumer,West,1906.32,501.1047000000001
2015,Furniture,Furnishings,Consumer,West,4027.1700000000005,952.2839
2016,Furniture,Furnishings,Consumer,West,4805.974,1433.3485999999998
2017,Furniture,Furnishings,Consumer,West,5332.95,1508.4154000000003
2014,Furniture,Furnishings,Corporate,Central,254.368,-111.01229999999998
2015,Furniture,Furnishings,Corporate,Central,313.892,-220.79289999999997
2016,Furniture,Furnishings,Corporate,Central,977.9979999999998,-313.7461
2017,Furniture,Furnishings,Corporate,Central,1597.698,-563.8070000000001
2014,Furniture,Furnishings,Corporate,East,1025.22,294.2905999999999
2015,Furniture,Furnishings,Corporate,East,1935.9920000000002,148.73139999999987
2016,Furniture,Furnishings,Corporate,East,3429.38,592.6107
2017,Furniture,Furnishings,Corporate,East,3592.734,920.5979000000001
2014,Furniture,Furnishings,Corporate,South,1407.932,201.75579999999997
2015,Furniture,Furnishings,Corporate,South,2194.58,719.0287
2016,Furniture,Furnishings,Corporate,South,502.866,79.543
2017,Furniture,Furnishings,Corporate,South,399.30199999999996,87.60559999999998
2014,Furniture,Furnishings,Corporate,West,1494.978,286.95660000000004
2015,Furniture,Furnishings,Corporate,West,2263.9500000000003,557.162
2016,Furniture,Furnishings,Corporate,West,1189.888,284.55879999999996
2017,Furniture,Furnishings,Corporate,West,2420.488,544.7248999999999
2014,Furniture,Furnishings,Home Office,Central,128.46,9.099000000000004
2015,Furniture,Furnishings,Home Office,Central,596.63,-237.17239999999993
2016,Furniture,Furnishings,Home Office,Central,1018.8240000000003,-851.2000000000002
2017,Furniture,Furnishings,Home Office,Central,866.5100000000001,-163.53270000000003
2014,Furniture,Furnishings,Home Office,East,426.53599999999994,99.59359999999998
2015,Furniture,Furnishings,Home Office,East,1222.986,90.14199999999994
2016,Furniture,Furnishings,Home Office,East,819.61,167.09909999999996
2017,Furniture,Furnishings,Home Office,East,3441.854,547.2048000000001
2014,Furniture,Furnishings,Home Office,South,339.51,107.52959999999999
2015,Furniture,Furnishings,Home Office,South,176.83999999999997,43.72639999999999
2016,Furniture,Furnishings,Home Office,South,682.852,215.1076
2017,Furniture,Furnishings,Home Office,South,732.2280000000001,31.200699999999955
2014,Furniture,Furnishings,Home Office,West,971.0219999999999,263.7922
2015,Furniture,Furnishings,Home Office,West,1622.31,390.8601
2016,Furniture,Furnishings,Home Office,West,1792.6460000000002,386.11250000000007
2017,Furniture,Furnishings,Home Office,West,2245.034,531.9506999999999
2014,Furniture,Tables,Consumer,Central,5836.13,-1372.7273000000002
2015,Furniture,Tables,Consumer,Central,3110.961,-106.12850000000019
2016,Furniture,Tables,Consumer,Central,4940.1140000000005,-1177.9492
2017,Furniture,Tables,Consumer,Central,6947.795000000001,-1307.3521
2014,Furniture,Tables,Consumer,East,3315.6059999999998,-835.1682000000003
2015,Furniture,Tables,Consumer,East,4033.068,-1341.1239000000003
2016,Furniture,Tables,Consumer,East,3776.876,-764.2839
2017,Furniture,Tables,Consumer,East,2956.917,-767.7767999999999
2014,Furniture,Tables,Consumer,South,3902.5945,-67.27690000000025
2015,Furniture,Tables,Consumer,South,7012.0945,-2210.8203000000003
2016,Furniture,Tables,Consumer,South,7690.782999999999,596.2253000000001
2017,Furniture,Tables,Consumer,South,5803.37,-895.6277
2014,Furniture,Tables,Consumer,West,10868.865999999998,255.43759999999963
2015,Furniture,Tables,Consumer,West,8585.503,203.79839999999987
2016,Furniture,Tables,Consumer,West,9185.527000000002,62.35219999999933
2017,Furniture,Tables,Consumer,West,11967.589999999998,0.3834999999999127
2014,Furniture,Tables,Corporate,Central,1318.6529999999998,-140.42969999999994
2015,Furniture,Tables,Corporate,Central,1875.2519999999997,251.69550000000004
2016,Furniture,Tables,Corporate,Central,7592.712,1150.9317
2017,Furniture,Tables,Corporate,Central,1775.9759999999999,-555.0169000000003
2014,Furniture,Tables,Corporate,East,6802.746000000001,-2523.3028999999997
2015,Furniture,Tables,Corporate,East,3008.286,-726.1578000000002
2016,Furniture,Tables,Corporate,East,3027.9840000000004,-1144.6562000000004
2017,Furniture,Tables,Corporate,East,4712.5419999999995,-905.5387999999998
2014,Furniture,Tables,Corporate,South,3338.7700000000004,581.3595000000001
2015,Furniture,Tables,Corporate,South,358.58,39.44380000000001
2016,Furniture,Tables,Corporate,South,4807.5285,-557.0023000000006
2017,Furniture,Tables,Corporate,South,4114.7970000000005,-1452.0249000000001
2014,Furniture,Tables,Corporate,West,4440.961,72.90879999999986
2015,Furniture,Tables,Corporate,West,4533.804,772.791
2016,Furniture,Tables,Corporate,West,13999.457,340.6075
2017,Furniture,Tables,Corporate,West,5163.669,-112.10690000000021
2014,Furniture,Tables,Home Office,Central,630.695,88.82600000000002
2015,Furniture,Tables,Home Office,Central,1871.047,-410.6609000000003
2016,Furniture,Tables,Home Office,Central,1390.1,319.6386
2017,Furniture,Tables,Home Office,Central,1865.5359999999998,-300.47760000000017
2014,Furniture,Tables,Home Office,East,485.35200000000003,-179.36640000000003
2015,Furniture,Tables,Home Office,East,1843.452,-208.58239999999995
2016,Furniture,Tables,Home Office,East,1020.4679999999998,-397.8382000000001
2017,Furniture,Tables,Home Office,East,4156.510000000001,-1231.5846000000001
2014,Furniture,Tables,Home Office,South,2699.58,593.9076
2015,Furniture,Tables,Home Office,South,,
2016,Furniture,Tables,Home Office,South,,
2017,Furniture,Tables,Home Office,South,4188.0945,-1251.2420000000002
2014,Furniture,Tables,Home Office,West,2448.4120000000003,401.78919999999977
2015,Furniture,Tables,Home Office,West,2918.376,225.94319999999976
2016,Furniture,Tables,Home Office,West,3401.651,-1378.9672999999998
2017,Furniture,Tables,Home Office,West,7240.745999999999,637.6701
2014,Office Supplies,Appliances,Consumer,Central,1748.6660000000002,-789.0035000000001
2015,Office Supplies,Appliances,Consumer,Central,2227.002,-2200.5389000000005
2016,Office Supplies,Appliances,Consumer,Central,1281.081,64.27659999999995
2017,Office Supplies,Appliances,Consumer,Central,4561.972,-850.3407000000002
2014,Office Supplies,Appliances,Consumer,East,2123.232,561.1185999999999
2015,Office Supplies,Appliances,Consumer,East,4748.2339999999995,1298.9668999999994
2016,Office Supplies,Appliances,Consumer,East,4736.657999999999,1340.9531
2017,Office Supplies,Appliances,Consumer,East,7781.632,1807.7192999999997
2014,Office Supplies,Appliances,Consumer,South,765.924,102.89829999999999
2015,Office Supplies,Appliances,Consumer,South,2988.398,630.4729
2016,Office Supplies,Appliances,Consumer,South,2159.0280000000002,264.0676
2017,Office Supplies,Appliances,Consumer,South,2374.004,457.8243999999999
2014,Office Supplies,Appliances,Consumer,West,2033.75,579.3983000000001
2015,Office Supplies,Appliances,Consumer,West,3462.51,798.8262999999995
2016,Office Supplies,Appliances,Consumer,West,2664.0480000000002,887.2073000000001
2017,Office Supplies,Appliances,Consumer,West,7163.441999999999,2028.0816999999995
2014,Office Supplies,Appliances,Corporate,Central,239.754,-253.47140000000007
2015,Office Supplies,Appliances,Corporate,Central,781.691,41.72199999999996
2016,Office Supplies,Appliances,Corporate,Central,901.036,-623.8456000000002
2017,Office Supplies,Appliances,Corporate,Central,3302.278,376.3643999999999
2014,Office Supplies,Appliances,Corporate,East,3353.906,769.6899999999999
2015,Office Supplies,Appliances,Corporate,East,343.876,106.86090000000002
2016,Office Supplies,Appliances,Corporate,East,3699.868,836.5295000000001
2017,Office Supplies,Appliances,Corporate,East,3583.6139999999996,894.2068
2014,Office Supplies,Appliances,Corporate,South,1142.55,371.04339999999996
2015,Office Supplies,Appliances,Corporate,South,833.102,322.70730000000003
2016,Office Supplies,Appliances,Corporate,South,2574.1939999999995,795.8128999999999
2017,Office Supplies,Appliances,Corporate,South,5573.79,1054.2581999999993
2014,Office Supplies,Appliances,Corporate,West,862.7760000000001,235.44519999999994
2015,Office Supplies,Appliances,Corporate,West,2385.098,578.6085999999998
2016,Office Supplies,Appliances,Corporate,West,1221.2040000000002,319.8454
2017,Office Supplies,Appliances,Corporate,West,5789.946,1604.1176
2014,Office Supplies,Appliances,Home Office,Central,1670.785,533.3024999999999
2015,Office Supplies,Appliances,Home Office,Central,2034.626,-159.7972000000002
2016,Office Supplies,Appliances,Home Office,Central,3832.8940000000002,938.2637
2017,Office Supplies,Appliances,Home Office,Central,1069.058,160.59259999999998
2014,Office Supplies,Appliances,Home Office,East,302.064,81.15359999999998
2015,Office Supplies,Appliances,Home Office,East,1599.142,444.77269999999993
2016,Office Supplies,Appliances,Home Office,East,990.056,125.12319999999993
2017,Office Supplies,Appliances,Home Office,East,926.184,124.31879999999987
2014,Office Supplies,Appliances,Home Office,South,211.248,15.843599999999995
2015,Office Supplies,Appliances,Home Office,South,28.84,9.517199999999999
2016,Office Supplies,Appliances,Home Office,South,874.248,99.49379999999995
2017,Office Supplies,Appliances,Home Office,South,,
2014,Office Supplies,Appliances,Home Office,West,858.97,252.08129999999994
2015,Office Supplies,Appliances,Home Office,West,1877.5799999999997,515.9190000000001
2016,Office Supplies,Appliances,Home Office,West,1116,253.61399999999998
2017,Office Supplies,Appliances,Home Office,West,801.0120000000001,208.12519999999995
2014,Office Supplies,Art,Consumer,Central,490.61799999999994,111.9061
2015,Office Supplies,Art,Consumer,Central,391.74600000000004,68.0502
2016,Office Supplies,Art,Consumer,Central,936.976,125.67719999999997
2017,Office Supplies,Art,Consumer,Central,1453.0120000000002,299.928
2014,Office Supplies,Art,Consumer,East,608.2820000000002,155.1327
2015,Office Supplies,Art,Consumer,East,974.2039999999998,232.2623
2016,Office Supplies,Art,Consumer,East,1082.0580000000002,256.7172
2017,Office Supplies,Art,Consumer,East,1182.6540000000002,344.9519999999999
2014,Office Supplies,Art,Consumer,South,339.004,83.19300000000001
2015,Office Supplies,Art,Consumer,South,536.784,145.28969999999995
2016,Office Supplies,Art,Consumer,South,954.072,240.38389999999998
2017,Office Supplies,Art,Consumer,South,824.8959999999997,179.5877
2014,Office Supplies,Art,Consumer,West,1391.4940000000004,348.04239999999993
2015,Office Supplies,Art,Consumer,West,1103.5140000000001,281.0931999999999
2016,Office Supplies,Art,Consumer,West,613.318,184.82239999999996
2017,Office Supplies,Art,Consumer,West,1369.298,397.2631
2014,Office Supplies,Art,Corporate,Central,210.576,61.77939999999998
2015,Office Supplies,Art,Corporate,Central,482.41599999999994,112.27209999999997
2016,Office Supplies,Art,Corporate,Central,339.14599999999996,67.5403
2017,Office Supplies,Art,Corporate,Central,446.60400000000004,102.37750000000001
2014,Office Supplies,Art,Corporate,East,279.802,68.82619999999999
2015,Office Supplies,Art,Corporate,East,355.41799999999995,95.29309999999998
2016,Office Supplies,Art,Corporate,East,671.416,189.7744
2017,Office Supplies,Art,Corporate,East,971.7660000000002,212.27790000000002
2014,Office Supplies,Art,Corporate,South,159.48,43.41779999999999
