Category,Sub-Category,Segment,Region,Year,Value Column Name,Value
"Furniture","Bookcases","Consumer","Central","2014","Count of Ship Mode","3"
"Furniture","Bookcases","Consumer","Central","2014","Sum of Sales","1110.6116"
"Furniture","Bookcases","Consumer","Central","2014","Sum of Sales - Count of Ship Mode","1107.6116"
"Furniture","Bookcases","Consumer","Central","2014","(Sum of Sales - Count of Ship Mode)%","369.20386666666667"
"Furniture","Bookcases","Consumer","Central","2014","Sum of Profit","-120.65839999999996"
"Furniture","Bookcases","Consumer","Central","2015","Count of Ship Mode","6"
"Furniture","Bookcases","Consumer","Central","2015","Sum of Sales","4136.7688"
"Furniture","Bookcases","Consumer","Central","2015","Sum of Sales - Count of Ship Mode","4130.7688"
"Furniture","Bookcases","Consumer","Central","2015","(Sum of Sales - Count of Ship Mode)%","688.4614666666666"
"Furniture","Bookcases","Consumer","Central","2015","Sum of Profit","-608.6298000000002"
"Furniture","Bookcases","Consumer","Central","2016","Count of Ship Mode","7"
"Furniture","Bookcases","Consumer","Central","2016","Sum of Sales","4697.1992"
"Furniture","Bookcases","Consumer","Central","2016","Sum of Sales - Count of Ship Mode","4690.1992"
"Furniture","Bookcases","Consumer","Central","2016","(Sum of Sales - Count of Ship Mode)%","670.0284571428572"
"Furniture","Bookcases","Consumer","Central","2016","Sum of Profit","-522.1548"
"Furniture","Bookcases","Consumer","Central","2017","Count of Ship Mode","8"
"Furniture","Bookcases","Consumer","Central","2017","Sum of Sales","3016.2744"
"Furniture","Bookcases","Consumer","Central","2017","Sum of Sales - Count of Ship Mode","3008.2744"
"Furniture","Bookcases","Consumer","Central","2017","(Sum of Sales - Count of Ship Mode)%","376.03430000000003"
"Furniture","Bookcases","Consumer","Central","2017","Sum of Profit","-245.68300000000013"
"Furniture","Bookcases","Consumer","East","2014","Count of Ship Mode","6"
"Furniture","Bookcases","Consumer","East","2014","Sum of Sales","6759.801"
"Furniture","Bookcases","Consumer","East","2014","Sum of Sales - Count of Ship Mode","6753.801"
"Furniture","Bookcases","Consumer","East","2014","(Sum of Sales - Count of Ship Mode)%","1125.6335000000001"
"Furniture","Bookcases","Consumer","East","2014","Sum of Profit","-395.4879000000004"
"Furniture","Bookcases","Consumer","East","2015","Count of Ship Mode","9"
"Furniture","Bookcases","Consumer","East","2015","Sum of Sales","11367.880000000001"
"Furniture","Bookcases","Consumer","East","2015","Sum of Sales - Count of Ship Mode","11358.880000000001"
"Furniture","Bookcases","Consumer","East","2015","(Sum of Sales - Count of Ship Mode)%","1262.097777777778"
"Furniture","Bookcases","Consumer","East","2015","Sum of Profit","-1514.0249000000003"
"Furniture","Bookcases","Consumer","East","2016","Count of Ship Mode","11"
"Furniture","Bookcases","Consumer","East","2016","Sum of Sales","3546.9269999999997"
"Furniture","Bookcases","Consumer","East","2016","Sum of Sales - Count of Ship Mode","3535.9269999999997"
"Furniture","Bookcases","Consumer","East","2016","(Sum of Sales - Count of Ship Mode)%","321.44790909090904"
"Furniture","Bookcases","Consumer","East","2016","Sum of Profit","-446.0228000000002"
"Furniture","Bookcases","Consumer","East","2017","Count of Ship Mode","13"
"Furniture","Bookcases","Consumer","East","2017","Sum of Sales","5632.526"
"Furniture","Bookcases","Consumer","East","2017","Sum of Sales - Count of Ship Mode","5619.526"
"Furniture","Bookcases","Consumer","East","2017","(Sum of Sales - Count of Ship Mode)%","432.2712307692307"
"Furniture","Bookcases","Consumer","East","2017","Sum of Profit","163.46839999999975"
"Furniture","Bookcases","Consumer","South","2014","Count of Ship Mode","2"
"Furniture","Bookcases","Consumer","South","2014","Sum of Sales","794.2760000000001"
"Furniture","Bookcases","Consumer","South","2014","Sum of Sales - Count of Ship Mode","792.2760000000001"
