Region,Ship Mode,Segment,Value Column Name,Value
"West","Standard Class","Consumer","Quantity","4018"
"West","Standard Class","Consumer","Overall Rank of Quantity","2"
"West","Standard Class","Consumer","Lead/Lag of Quantity",
"West","Standard Class","Consumer","% Cont. GT of Quantity","0.11980082888577477"
"West","Standard Class","Consumer","% Cont. of Quantity","0.19604781654061967"
"West","Standard Class","Consumer","Running Total of Quantity","4018"
"West","Standard Class","Consumer","Row ID","1005"
"West","Standard Class","Consumer","Sales","211760.50050000005"
"West","Standard Class","Consumer","Profit","29426.974099999978"
"West","Standard Class","Consumer","Profit - Quantity","25408.974099999978"
"West","Standard Class","Consumer","(Profit - Quantity)%","6.323786485813832"
"West","Standard Class","Consumer","Profit - Row ID","28421.974099999978"
"West","Standard Class","Consumer","(Profit - Row ID)%","28.280571243781072"
"West","Standard Class","Consumer","Profit - Sales","-182333.5264000001"
"West","Standard Class","Consumer","(Profit - Sales)%","-0.8610365293313993"
"West","Standard Class","Consumer","Row ID - Quantity","-3013"
"West","Standard Class","Consumer","(Row ID - Quantity)%","-0.7498755599800896"
"West","Standard Class","Consumer","Sales - Quantity","207742.50050000005"
"West","Standard Class","Consumer","(Sales - Quantity)%","51.702961796913904"
"West","Standard Class","Consumer","Sales - Row ID","210755.50050000005"
"West","Standard Class","Consumer","(Sales - Row ID)%","209.70696567164185"
"West","Standard Class","Consumer","Quantity (Simulation)","4018"
"West","Standard Class","Corporate","Quantity","2115"
"West","Standard Class","Corporate","Overall Rank of Quantity","2"
"West","Standard Class","Corporate","Lead/Lag of Quantity",
"West","Standard Class","Corporate","% Cont. GT of Quantity","0.08915398558361085"
"West","Standard Class","Corporate","% Cont. of Quantity","0.13432835820895522"
"West","Standard Class","Corporate","Running Total of Quantity","2115"
"West","Standard Class","Corporate","Row ID","548"
"West","Standard Class","Corporate","Sales","126239.11200000002"
"West","Standard Class","Corporate","Profit","18831.76699999999"
"West","Standard Class","Corporate","Profit - Quantity","16716.76699999999"
"West","Standard Class","Corporate","(Profit - Quantity)%","7.903908747044912"
"West","Standard Class","Corporate","Profit - Row ID","18283.76699999999"
"West","Standard Class","Corporate","(Profit - Row ID)%","33.36453832116786"
"West","Standard Class","Corporate","Profit - Sales","-107407.34500000003"
"West","Standard Class","Corporate","(Profit - Sales)%","-0.8508246239881663"
"West","Standard Class","Corporate","Row ID - Quantity","-1567"
"West","Standard Class","Corporate","(Row ID - Quantity)%","-0.7408983451536642"
"West","Standard Class","Corporate","Sales - Quantity","124124.11200000002"
"West","Standard Class","Corporate","(Sales - Quantity)%","58.68752340425534"
"West","Standard Class","Corporate","Sales - Row ID","125691.11200000002"
"West","Standard Class","Corporate","(Sales - Row ID)%","229.36334306569347"
"West","Standard Class","Corporate","Quantity (Simulation)","2115"
"West","Standard Class","Home Office","Quantity","1252"
"West","Standard Class","Home Office","Overall Rank of Quantity","2"
"West","Standard Class","Home Office","Lead/Lag of Quantity",
"West","Standard Class","Home Office","% Cont. GT of Quantity","0.06957101578128473"
"West","Standard Class","Home Office","% Cont. of Quantity","0.09335620013421816"
"West","Standard Class","Home Office","Running Total of Quantity","1252"
"West","Standard Class","Home Office","Row ID","329"
"West","Standard Class","Home Office","Sales","68753.18599999993"
"West","Standard Class","Home Office","Profit","6502.224599999991"
"West","Standard Class","Home Office","Profit - Quantity","5250.224599999991"
"West","Standard Class","Home Office","(Profit - Quantity)%","4.19347012779552"
"West","Standard Class","Home Office","Profit - Row ID","6173.224599999991"
"West","Standard Class","Home Office","(Profit - Row ID)%","18.76360060790271"
"West","Standard Class","Home Office","Profit - Sales","-62250.961399999935"
"West","Standard Class","Home Office","(Profit - Sales)%","-0.9054265703410457"
"West","Standard Class","Home Office","Row ID - Quantity","-923"
"West","Standard Class","Home Office","(Row ID - Quantity)%","-0.737220447284345"
"West","Standard Class","Home Office","Sales - Quantity","67501.18599999993"
"West","Standard Class","Home Office","(Sales - Quantity)%","53.91468530351432"
"West","Standard Class","Home Office","Sales - Row ID","68424.18599999993"
"West","Standard Class","Home Office","(Sales - Row ID)%","207.97624924012135"
"West","Standard Class","Home Office","Quantity (Simulation)","1252"
"West","New Row","Consumer","Quantity","14018"
"West","New Row","Consumer","Overall Rank of Quantity","1"
"West","New Row","Consumer","Lead/Lag of Quantity","4018"
"West","New Row","Consumer","% Cont. GT of Quantity","0.41796117952234707"
"West","New Row","Consumer","% Cont. of Quantity","0.6839717004147353"
"West","New Row","Consumer","Running Total of Quantity","18036"
"West","New Row","Consumer","Row ID","11005"
"West","New Row","Consumer","Sales","221760.5005"
"West","New Row","Consumer","Profit","39426.9741"
"West","New Row","Consumer","Profit - Quantity","25408.9741"
"West","New Row","Consumer","(Profit - Quantity)%","1.812596240547867"
"West","New Row","Consumer","Profit - Row ID","28421.9741"
"West","New Row","Consumer","(Profit - Row ID)%","2.582641899136756"
"West","New Row","Consumer","Profit - Sales","-182333.5264"
"West","New Row","Consumer","(Profit - Sales)%","-0.8222092121405544"
"West","New Row","Consumer","Row ID - Quantity","-3013"
"West","New Row","Consumer","(Row ID - Quantity)%","-0.21493793693822227"
"West","New Row","Consumer","Sales - Quantity","207742.5005"
"West","New Row","Consumer","(Sales - Quantity)%","14.819696140676275"
"West","New Row","Consumer","Sales - Row ID","210755.5005"
"West","New Row","Consumer","(Sales - Row ID)%","19.150886006360743"
"West","New Row","Consumer","Quantity (Simulation)","14018"
"West","New Row","Corporate","Quantity","12115"
"West","New Row","Corporate","Overall Rank of Quantity","1"
"West","New Row","Corporate","Lead/Lag of Quantity","2115"
"West","New Row","Corporate","% Cont. GT of Quantity","0.5106858323146314"
"West","New Row","Corporate","% Cont. of Quantity","0.7694506192442045"
"West","New Row","Corporate","Running Total of Quantity","14230"
"West","New Row","Corporate","Row ID","10548"
"West","New Row","Corporate","Sales","136239.112"
"West","New Row","Corporate","Profit","28831.767"
"West","New Row","Corporate","Profit - Quantity","16716.767"
"West","New Row","Corporate","(Profit - Quantity)%","1.3798404457284361"
"West","New Row","Corporate","Profit - Row ID","18283.767"
"West","New Row","Corporate","(Profit - Row ID)%","1.733387087599545"
"West","New Row","Corporate","Profit - Sales","-107407.345"
"West","New Row","Corporate","(Profit - Sales)%","-0.7883737894592266"
"West","New Row","Corporate","Row ID - Quantity","-1567"
"West","New Row","Corporate","(Row ID - Quantity)%","-0.1293437886917045"
"West","New Row","Corporate","Sales - Quantity","124124.112"
"West","New Row","Corporate","(Sales - Quantity)%","10.245490053652496"
"West","New Row","Corporate","Sales - Row ID","125691.112"
"West","New Row","Corporate","(Sales - Row ID)%","11.916108456579446"
"West","New Row","Corporate","Quantity (Simulation)","12115"
"West","New Row","Home Office","Quantity","11252"
"West","New Row","Home Office","Overall Rank of Quantity","1"
"West","New Row","Home Office","Lead/Lag of Quantity","1252"
"West","New Row","Home Office","% Cont. GT of Quantity","0.625250055567904"
"West","New Row","Home Office","% Cont. of Quantity","0.8390127507270151"
"West","New Row","Home Office","Running Total of Quantity","12504"
"West","New Row","Home Office","Row ID","10329"
"West","New Row","Home Office","Sales","78753.186"
"West","New Row","Home Office","Profit","16502.2246"
"West","New Row","Home Office","Profit - Quantity","5250.224600000001"
"West","New Row","Home Office","(Profit - Quantity)%","0.46660367934589414"
"West","New Row","Home Office","Profit - Row ID","6173.224600000001"
"West","New Row","Home Office","(Profit - Row ID)%","0.5976594636460453"
"West","New Row","Home Office","Profit - Sales","-62250.9614"
"West","New Row","Home Office","(Profit - Sales)%","-0.7904564191218878"
"West","New Row","Home Office","Row ID - Quantity","-923"
"West","New Row","Home Office","(Row ID - Quantity)%","-0.08202986135798081"
"West","New Row","Home Office","Sales - Quantity","67501.186"
"West","New Row","Home Office","(Sales - Quantity)%","5.999038926413082"
"West","New Row","Home Office","Sales - Row ID","68424.186"
"West","New Row","Home Office","(Sales - Row ID)%","6.624473424339239"
"West","New Row","Home Office","Quantity (Simulation)","11252"
"West","Second Class","Consumer","Quantity","1230"
"West","Second Class","Consumer","Overall Rank of Quantity","6"
"West","Second Class","Consumer","Lead/Lag of Quantity","14018"
"West","Second Class","Consumer","% Cont. GT of Quantity","0.0366737231282984"
"West","Second Class","Consumer","% Cont. of Quantity","0.06001463771651623"
"West","Second Class","Consumer","Running Total of Quantity","19266"
"West","Second Class","Consumer","Row ID","328"
"West","Second Class","Consumer","Sales","79776.94149999993"
"West","Second Class","Consumer","Profit","11748.603199999992"
"West","Second Class","Consumer","Profit - Quantity","10518.603199999992"
"West","Second Class","Consumer","(Profit - Quantity)%","8.551709918699181"
"West","Second Class","Consumer","Profit - Row ID","11420.603199999992"
"West","Second Class","Consumer","(Profit - Row ID)%","34.818912195121925"
"West","Second Class","Consumer","Profit - Sales","-68028.33829999993"
"West","Second Class","Consumer","(Profit - Sales)%","-0.8527318423206283"
"West","Second Class","Consumer","Row ID - Quantity","-902"
"West","Second Class","Consumer","(Row ID - Quantity)%","-0.7333333333333333"
"West","Second Class","Consumer","Sales - Quantity","78546.94149999993"
"West","Second Class","Consumer","(Sales - Quantity)%","63.859302032520276"
"West","Second Class","Consumer","Sales - Row ID","79448.94149999993"
"West","Second Class","Consumer","(Sales - Row ID)%","242.222382621951"
"West","Second Class","Consumer","Quantity (Simulation)","1230"
"West","Second Class","Corporate","Quantity","704"
"West","Second Class","Corporate","Overall Rank of Quantity","6"
"West","Second Class","Corporate","Lead/Lag of Quantity","12115"
"West","Second Class","Corporate","% Cont. GT of Quantity","0.02967584200986385"
"West","Second Class","Corporate","% Cont. of Quantity","0.04471260717688155"
"West","Second Class","Corporate","Running Total of Quantity","14934"
"West","Second Class","Corporate","Row ID","201"
"West","Second Class","Corporate","Sales","37773.21299999998"
"West","Second Class","Corporate","Profit","5696.153599999997"
"West","Second Class","Corporate","Profit - Quantity","4992.153599999997"
"West","Second Class","Corporate","(Profit - Quantity)%","7.0911272727272685"
"West","Second Class","Corporate","Profit - Row ID","5495.153599999997"
"West","Second Class","Corporate","(Profit - Row ID)%","27.33907263681591"
"West","Second Class","Corporate","Profit - Sales","-32077.059399999984"
"West","Second Class","Corporate","(Profit - Sales)%","-0.8492012421606813"
"West","Second Class","Corporate","Row ID - Quantity","-503"
"West","Second Class","Corporate","(Row ID - Quantity)%","-0.7144886363636364"
"West","Second Class","Corporate","Sales - Quantity","37069.21299999998"
"West","Second Class","Corporate","(Sales - Quantity)%","52.6551321022727"
"West","Second Class","Corporate","Sales - Row ID","37572.21299999998"
"West","Second Class","Corporate","(Sales - Row ID)%","186.9264328358208"
"West","Second Class","Corporate","Quantity (Simulation)","704"
"West","Second Class","Home Office","Quantity","374"
"West","Second Class","Home Office","Overall Rank of Quantity","8"
"West","Second Class","Home Office","Lead/Lag of Quantity","11252"
"West","Second Class","Home Office","% Cont. GT of Quantity","0.02078239608801956"
"West","Second Class","Home Office","% Cont. of Quantity","0.027887554992170608"
"West","Second Class","Home Office","Running Total of Quantity","12878"
"West","Second Class","Home Office","Row ID","92"
"West","Second Class","Home Office","Sales","27789.272999999997"
"West","Second Class","Home Office","Profit","5432.605999999999"
"West","Second Class","Home Office","Profit - Quantity","5058.605999999999"
"West","Second Class","Home Office","(Profit - Quantity)%","13.525684491978607"
"West","Second Class","Home Office","Profit - Row ID","5340.605999999999"
"West","Second Class","Home Office","(Profit - Row ID)%","58.05006521739129"
"West","Second Class","Home Office","Profit - Sales","-22356.666999999998"
"West","Second Class","Home Office","(Profit - Sales)%","-0.8045070844422594"
"West","Second Class","Home Office","Row ID - Quantity","-282"
"West","Second Class","Home Office","(Row ID - Quantity)%","-0.7540106951871658"
"West","Second Class","Home Office","Sales - Quantity","27415.272999999997"
"West","Second Class","Home Office","(Sales - Quantity)%","73.30286898395721"
"West","Second Class","Home Office","Sales - Row ID","27697.272999999997"
"West","Second Class","Home Office","(Sales - Row ID)%","301.05731521739125"
"West","Second Class","Home Office","Quantity (Simulation)","374"
"West","First Class","Consumer","Quantity","877"
"West","First Class","Consumer","Overall Rank of Quantity","9"
"West","First Class","Consumer","Lead/Lag of Quantity","1230"
"West","First Class","Consumer","% Cont. GT of Quantity","0.0261486627508274"
"West","First Class","Consumer","% Cont. of Quantity","0.042790924615759944"
"West","First Class","Consumer","Running Total of Quantity","20143"
"West","First Class","Consumer","Row ID","241"
"West","First Class","Consumer","Sales","53892.86199999995"
"West","First Class","Consumer","Profit","12176.083899999992"
"West","First Class","Consumer","Profit - Quantity","11299.083899999992"
"West","First Class","Consumer","(Profit - Quantity)%","12.883790079817551"
"West","First Class","Consumer","Profit - Row ID","11935.083899999992"
"West","First Class","Consumer","(Profit - Row ID)%","49.52316970954354"
"West","First Class","Consumer","Profit - Sales","-41716.77809999996"
"West","First Class","Consumer","(Profit - Sales)%","-0.7740687087651793"
"West","First Class","Consumer","Row ID - Quantity","-636"
"West","First Class","Consumer","(Row ID - Quantity)%","-0.7251995438996579"
