financials.Product,financials.Country,Sum(financials. Sales),Sum(financials.Profit),
Amarilla,United States of America,2837117.4050000003,388626.40499999997,4171638.3608333333
Carretera,United States of America,1839839.55,238491.55000000002,4171638.3608333333
Montana,United States of America,3644126.8,434521.8,4171638.3608333333
Paseo,United States of America,6944325.77,1020603.2700000003,4171638.3608333333
Velo,United States of America,4298828,265401,4171638.3608333333
VTT,United States of America,5465592.64,647896.6399999999,4171638.3608333333
Amarilla,Canada,3855765.8750000005,646861.375,4147942.480833333
Carretera,Canada,2610204.34,436105.34,4147942.480833333
Montana,Canada,2711919.03,321867.02999999997,4147942.480833333
Paseo,Canada,7611520.990000001,1265017.9899999998,4147942.480833333
Velo,Canada,3329490.34,370568.3400000001,4147942.480833333
VTT,Canada,4768754.3100000005,488808.81000000006,4147942.480833333
Amarilla,France,4016427.1300000004,667867.6299999999,4059028.713333333
Carretera,France,3423321.895,388864.895,4059028.713333333
Montana,France,3527382.37,461238.36999999994,4059028.713333333
Paseo,France,5597751.06,838748.56,4059028.713333333
Velo,France,3978096.2350000003,707930.2350000001,4059028.713333333
VTT,France,3811193.5899999994,716371.0900000001,4059028.713333333
Amarilla,Germany,3960250.26,612137.26,3917556.8033333328
Carretera,Germany,3062340.68,369674.68,3917556.8033333328
Montana,Germany,3566044.37,559438.3700000001,3917556.8033333328
Paseo,Germany,5229814.74,744416.74,3917556.8033333328
Velo,Germany,4392907,788789,3917556.8033333328
VTT,Germany,3293983.77,605932.7699999999,3917556.8033333328
Amarilla,Mexico,3077555.39,498611.39,3491558.6850000005
Carretera,Mexico,2879601.4200000004,393668.42000000004,3491558.6850000005
Montana,Mexico,1941329.3099999998,337689.31000000006,3491558.6850000005
Paseo,Mexico,7627731.390000001,928651.3899999999,3491558.6850000005
Velo,Mexico,2250737.8899999997,173303.88999999998,3491558.6850000005
VTT,Mexico,3172396.7100000004,575598.7100000001,3491558.6850000005
