financials.Product,financials.Country,Sum(financials.Gross Sales),Sum(financials. Sales),Sum(financials.COGS)
Amarilla,United States of America,3127531.5,2837117.4050000003,2448491
Carretera,United States of America,2005450.5,1839839.55,1601348
Montana,United States of America,3873574,3644126.8,3209605
Paseo,United States of America,7466239,6944325.77,5923722.5
Velo,United States of America,4773671,4298828,4033427
VTT,United States of America,6022892,5465592.64,4817696
Amarilla,Canada,4164683.5,3855765.8750000005,3208904.5
Carretera,Canada,2825853.5,2610204.34,2174099
Montana,Canada,2982114.5,2711919.03,2390052
Paseo,Canada,8172612,7611520.990000001,6346503
Velo,Canada,3660387,3329490.34,2958922
VTT,Canada,5126513,4768754.3100000005,4279945.5
Amarilla,France,4318664,4016427.1300000004,3348559.5
Carretera,France,3687829.5,3423321.895,3034457
Montana,France,3843216,3527382.37,3066144
Paseo,France,5984767,5597751.06,4759002.5
Velo,France,4244434.5,3978096.2350000003,3270166
VTT,France,4002763.5,3811193.5899999994,3094822.5
Amarilla,Germany,4123204.5,3960250.26,3348113
Carretera,Germany,3306376,3062340.68,2692666
Montana,Germany,3798355,3566044.37,3006606
Paseo,Germany,5555838,5229814.74,4485398
Velo,Germany,4637903,4392907,3604118
VTT,Germany,3499791,3293983.77,2688051
Amarilla,Mexico,3303196,3077555.39,2578944
Carretera,Mexico,3112011,2879601.4200000004,2485933
Montana,Mexico,2052575,1941329.3099999998,1603640
Paseo,Mexico,8432206,7627731.390000001,6699080
Velo,Mexico,2510373,2250737.8899999997,2077434
VTT,Mexico,3316574,3172396.7100000004,2596798
