0,1,2,Sum(financials. Sales),Sum(financials.Profit)
[object Object],[object Object],[object Object],1616624.475,205392.97499999998
[object Object],[object Object],[object Object],1593562.95,239706.45
[object Object],[object Object],[object Object],1332862.6950000003,136497.195
[object Object],[object Object],[object Object],1394813.46,177399.46000000002
[object Object],[object Object],[object Object],1026911.49,170988.49
[object Object],[object Object],[object Object],2007266.1199999999,243563.12
[object Object],[object Object],[object Object],952043.0399999999,164931.04
[object Object],[object Object],[object Object],779802.09,91657.09
[object Object],[object Object],[object Object],1046755.1699999999,97093.17000000001
[object Object],[object Object],[object Object],1078756,193822
[object Object],[object Object],[object Object],2394507.6799999997,204713.67999999996
[object Object],[object Object],[object Object],5546988.63,986723.6299999999
[object Object],[object Object],[object Object],3325070.5199999996,538652.52
[object Object],[object Object],[object Object],3141199.29,547166.2899999998
[object Object],[object Object],[object Object],2959462.8600000003,440073.8600000001
[object Object],[object Object],[object Object],1332890.66,167476.66
[object Object],[object Object],[object Object],1482165.98,250474.98
[object Object],[object Object],[object Object],1537438.46,323158.45999999996
[object Object],[object Object],[object Object],1347335.8699999999,191747.87
[object Object],[object Object],[object Object],1597700.42,215689.42
[object Object],[object Object],[object Object],1346026.485,117560.985
[object Object],[object Object],[object Object],1186256.49,138762.99
[object Object],[object Object],[object Object],1544720.745,247508.745
[object Object],[object Object],[object Object],874935.11,59908.11
[object Object],[object Object],[object Object],1655822.85,250287.85
[object Object],[object Object],[object Object],2308798.125,308444.62499999994
[object Object],[object Object],[object Object],2109549.285,253011.285
[object Object],[object Object],[object Object],1148065.08,131731.08
[object Object],[object Object],[object Object],1609549.75,124518.75
[object Object],[object Object],[object Object],926957.94,106159.94
[object Object],[object Object],[object Object],1323610.8,227688.80000000002
[object Object],[object Object],[object Object],2725979.4,332921.4000000001
[object Object],[object Object],[object Object],1629183.98,333537.98000000004
[object Object],[object Object],[object Object],1630025.24,307875.24
[object Object],[object Object],[object Object],2210094.4,271730.4
[object Object],[object Object],[object Object],1789974.47,196034.47
[object Object],[object Object],[object Object],811132.5,83898.5
[object Object],[object Object],[object Object],1559748.75,131492.75
[object Object],[object Object],[object Object],479509.59,84851.59
[object Object],[object Object],[object Object],946494.56,173589.56
[object Object],[object Object],[object Object],1949249.3499999999,234706.34999999998
[object Object],[object Object],[object Object],783941.6699999999,80499.67
[object Object],[object Object],[object Object],1042776.97,156518.97
[object Object],[object Object],[object Object],1317483,202718
[object Object],[object Object],[object Object],1116760.07,154197.07
[object Object],[object Object],[object Object],3093502.6500000004,307247.65
[object Object],[object Object],[object Object],2372659.3600000003,275550.36
[object Object],[object Object],[object Object],2109571.89,265150.89
[object Object],[object Object],[object Object],2336054.4000000004,251528.4
[object Object],[object Object],[object Object],2739629.1999999997,270625.19999999995
[object Object],[object Object],[object Object],3457102.9999999995,414252.9999999999
[object Object],[object Object],[object Object],3445532.7600000007,503298.75999999995
[object Object],[object Object],[object Object],5770138.52,913352.52
[object Object],[object Object],[object Object],5977029.880000001,1216931.88
[object Object],[object Object],[object Object],3021626.86,391944.86
[object Object],[object Object],[object Object],2410276.35,368458.35000000003
[object Object],[object Object],[object Object],1877842.8199999998,219449.82
[object Object],[object Object],[object Object],2574792.58,511762.57999999996
[object Object],[object Object],[object Object],2350650.06,418650.06
[object Object],[object Object],[object Object],1669135.46,268414.45999999996
