0,1,2,Sum(financials. Sales),
[object Object],[object Object],[object Object],140037.24000000002,464780.55500000005
[object Object],[object Object],[object Object],7247.1,432676.9918181818
[object Object],[object Object],[object Object],63789.765,450162.23222222226
[object Object],[object Object],[object Object],220261.66,651358.9431578948
[object Object],[object Object],[object Object],287077.95,521686.4304347827
[object Object],[object Object],[object Object],34999.36,464780.55500000005
[object Object],[object Object],[object Object],306387.35,432676.9918181818
[object Object],[object Object],[object Object],957195,450162.23222222226
[object Object],[object Object],[object Object],1270550.5,651358.9431578948
[object Object],[object Object],[object Object],31355.6,521686.4304347827
[object Object],[object Object],[object Object],111874.06,464780.55500000005
[object Object],[object Object],[object Object],6305.76,432676.9918181818
[object Object],[object Object],[object Object],39237,450162.23222222226
[object Object],[object Object],[object Object],177804.03999999998,651358.9431578948
[object Object],[object Object],[object Object],86437.95,521686.4304347827
[object Object],[object Object],[object Object],156683.24000000002,464780.55500000005
[object Object],[object Object],[object Object],1246483.25,432676.9918181818
[object Object],[object Object],[object Object],730415.01,450162.23222222226
[object Object],[object Object],[object Object],756274.46,651358.9431578948
[object Object],[object Object],[object Object],73525.92,521686.4304347827
[object Object],[object Object],[object Object],795938,464780.55500000005
[object Object],[object Object],[object Object],814996.86,432676.9918181818
[object Object],[object Object],[object Object],1265625,450162.23222222226
[object Object],[object Object],[object Object],333275.36000000004,651358.9431578948
[object Object],[object Object],[object Object],250208.52,521686.4304347827
[object Object],[object Object],[object Object],722575.5,464780.55500000005
[object Object],[object Object],[object Object],205650.6,432676.9918181818
[object Object],[object Object],[object Object],80783.4,450162.23222222226
[object Object],[object Object],[object Object],985640.5,651358.9431578948
[object Object],[object Object],[object Object],55312.99999999999,521686.4304347827
[object Object],[object Object],[object Object],1027000.4,464780.55500000005
[object Object],[object Object],[object Object],563304,432676.9918181818
[object Object],[object Object],[object Object],237892.8,464780.55500000005
[object Object],[object Object],[object Object],200499,432676.9918181818
[object Object],[object Object],[object Object],17525.97,450162.23222222226
[object Object],[object Object],[object Object],1081337.7,651358.9431578948
[object Object],[object Object],[object Object],1817007.5,521686.4304347827
[object Object],[object Object],[object Object],101204.97,464780.55500000005
[object Object],[object Object],[object Object],35557.56,432676.9918181818
[object Object],[object Object],[object Object],27234.899999999998,450162.23222222226
[object Object],[object Object],[object Object],641988,651358.9431578948
[object Object],[object Object],[object Object],499461.25,521686.4304347827
[object Object],[object Object],[object Object],430728.83,464780.55500000005
[object Object],[object Object],[object Object],694871.56,432676.9918181818
[object Object],[object Object],[object Object],1759297.23,450162.23222222226
[object Object],[object Object],[object Object],288066.85000000003,651358.9431578948
[object Object],[object Object],[object Object],3239229.8899999997,521686.4304347827
[object Object],[object Object],[object Object],1461249.25,464780.55500000005
[object Object],[object Object],[object Object],1992567.85,432676.9918181818
[object Object],[object Object],[object Object],25154.64,450162.23222222226
[object Object],[object Object],[object Object],259735.35,464780.55500000005
[object Object],[object Object],[object Object],458815,432676.9918181818
[object Object],[object Object],[object Object],2202343.5,450162.23222222226
[object Object],[object Object],[object Object],334302.5,651358.9431578948
[object Object],[object Object],[object Object],1347436.09,464780.55500000005
[object Object],[object Object],[object Object],785711.93,432676.9918181818
[object Object],[object Object],[object Object],33448.274999999994,450162.23222222226
[object Object],[object Object],[object Object],404176.5,651358.9431578948
[object Object],[object Object],[object Object],924109.8,521686.4304347827
[object Object],[object Object],[object Object],29940.36,464780.55500000005
[object Object],[object Object],[object Object],746189.4,432676.9918181818
[object Object],[object Object],[object Object],5217.03,450162.23222222226
[object Object],[object Object],[object Object],608499,651358.9431578948
[object Object],[object Object],[object Object],462211.82,521686.4304347827
[object Object],[object Object],[object Object],49970.689999999995,464780.55500000005
