financials.Discount Band,financials.Country,financials.COGS,Sum(financials. Sales),Sum(financials.Profit)
High,United States of America,573500,1238760,91760
Low,United States of America,573500,,
Medium,United States of America,573500,,
None,United States of America,573500,,
High,United States of America,897000,,
Low,United States of America,897000,1159200,262200
Medium,United States of America,897000,,
None,United States of America,897000,,
High,United States of America,873750,922680,48930
Low,United States of America,873750,,
Medium,United States of America,873750,,
None,United States of America,873750,,
High,United States of America,729820,884205,154385
Low,United States of America,729820,,
Medium,United States of America,729820,,
None,United States of America,729820,,
High,United States of America,726250,,
Low,United States of America,726250,862785,136535
Medium,United States of America,726250,,
None,United States of America,726250,,
High,United States of America,729500,,
Low,United States of America,729500,840384,110884
Medium,United States of America,729500,,
None,United States of America,729500,,
High,United States of America,711000,,
Low,United States of America,711000,827604,116604
Medium,United States of America,711000,,
None,United States of America,711000,,
High,United States of America,748250,808110,59860
Low,United States of America,748250,,
Medium,United States of America,748250,,
None,United States of America,748250,,
High,United States of America,343000,,
Low,United States of America,343000,,
Medium,United States of America,343000,765576,79576
None,United States of America,343000,,
High,United States of America,624500,,
Low,United States of America,624500,741906,117406
Medium,United States of America,624500,,
None,United States of America,624500,,
High,United States of America,601380,728595,127215
Low,United States of America,601380,,
Medium,United States of America,601380,,
None,United States of America,601380,,
High,United States of America,575250,,
Low,United States of America,575250,683397,108147
Medium,United States of America,575250,,
None,United States of America,575250,,
High,United States of America,538460,,
Low,United States of America,538460,,
Medium,United States of America,538460,659613.5,121153.5
None,United States of America,538460,,
High,United States of America,643500,656370,12870
Low,United States of America,643500,,
Medium,United States of America,643500,,
None,United States of America,643500,,
High,United States of America,635250,655578,20328
Low,United States of America,635250,,
Medium,United States of America,635250,,
None,United States of America,635250,,
High,United States of America,335640,,
Low,United States of America,335640,,
Medium,United States of America,335640,636317.5,-34962.5
None,United States of America,335640,,
High,United States of America,615000,634680,19680
Low,United States of America,615000,,
Medium,United States of America,615000,,
None,United States of America,615000,,
High,United States of America,256360,607376,94656
Low,United States of America,256360,,
Medium,United States of America,256360,,
None,United States of America,256360,,
High,United States of America,521820,597082.5,75262.5
Low,United States of America,521820,,
Medium,United States of America,521820,,
None,United States of America,521820,,
High,United States of America,457860,,
Low,United States of America,457860,,
Medium,United States of America,457860,573205.5,115345.5
None,United States of America,457860,,
High,United States of America,247750,,
Low,United States of America,247750,,
Medium,United States of America,247750,564870,69370
None,United States of America,247750,,
High,United States of America,252500,521160,16160
Low,United States of America,252500,,
Medium,United States of America,252500,,
None,United States of America,252500,,
High,United States of America,466750,,
Low,United States of America,466750,,
Medium,United States of America,466750,509691,42941
None,United States of America,466750,,
High,United States of America,189020,,
Low,United States of America,189020,,
Medium,United States of America,189020,478366,100326
None,United States of America,189020,,
High,United States of America,435240,,
Low,United States of America,435240,,
Medium,United States of America,435240,430706.25,-4533.75
None,United States of America,435240,,
High,United States of America,351390,,
Low,United States of America,351390,,
Medium,United States of America,351390,430452.75,79062.75
None,United States of America,351390,,
High,United States of America,156520,,
Low,United States of America,156520,,
Medium,United States of America,156520,400330,87290
None,United States of America,156520,,
High,United States of America,413460,387618.75,-25841.25
Low,United States of America,413460,,
Medium,United States of America,413460,,
None,United States of America,413460,,
High,United States of America,359040,,
Low,United States of America,359040,,
Medium,United States of America,359040,355300,-3740
None,United States of America,359040,,
High,United States of America,306020,354277,48257
Low,United States of America,306020,,
Medium,United States of America,306020,,
None,United States of America,306020,,
High,United States of America,338520,,
Low,United States of America,338520,,
Medium,United States of America,338520,,
None,United States of America,338520,352625,14105
High,United States of America,330600,,
Low,United States of America,330600,,
Medium,United States of America,330600,323712.5,-6887.5
None,United States of America,330600,,
High,United States of America,341280,305730,-35550
Low,United States of America,341280,,
Medium,United States of America,341280,,
None,United States of America,341280,,
High,United States of America,255450,299171.25,43721.25
Low,United States of America,255450,,
Medium,United States of America,255450,,
None,United States of America,255450,,
High,United States of America,286440,262570,-23870
Low,United States of America,286440,,
Medium,United States of America,286440,,
None,United States of America,286440,,
High,United States of America,292560,259037.5,-33522.5
Low,United States of America,292560,,
Medium,United States of America,292560,,
None,United States of America,292560,,
High,United States of America,202000,,
Low,United States of America,202000,,
Medium,United States of America,202000,223008,21008
None,United States of America,202000,,
High,United States of America,103320,,
Low,United States of America,103320,,
Medium,United States of America,103320,204487.5,-2152.5
None,United States of America,103320,,
High,United States of America,216480,202950,-13530
Low,United States of America,216480,,
Medium,United States of America,216480,,
None,United States of America,216480,,
High,United States of America,71240,,
Low,United States of America,71240,184128,41648
Medium,United States of America,71240,,
None,United States of America,71240,,
High,United States of America,87240,,
Low,United States of America,87240,179932.5,5452.5
Medium,United States of America,87240,,
None,United States of America,87240,,
High,United States of America,191520,179550,-11970
Low,United States of America,191520,,
Medium,United States of America,191520,,
None,United States of America,191520,,
High,United States of America,79560,,
Low,United States of America,79560,164092.5,4972.5
Medium,United States of America,79560,,
None,United States of America,79560,,
High,United States of America,90740,,
Low,United States of America,90740,117264,26524
Medium,United States of America,90740,,
None,United States of America,90740,,
High,United States of America,26630,,
Low,United States of America,26630,,
Medium,United States of America,26630,101194,47934
None,United States of America,26630,,
High,United States of America,69160,,
Low,United States of America,69160,91238,22078
Medium,United States of America,69160,,
None,United States of America,69160,,
High,United States of America,70200,83160,12960
Low,United States of America,70200,,
Medium,United States of America,70200,,
None,United States of America,70200,,
High,United States of America,25670,66998.7,15658.699999999997
Low,United States of America,25670,,
Medium,United States of America,25670,,
None,United States of America,25670,,
High,United States of America,69480,65137.5,-4342.5
Low,United States of America,69480,,
Medium,United States of America,69480,,
None,United States of America,69480,,
High,United States of America,15660,,
Low,United States of America,15660,61387.2,30067.199999999997
Medium,United States of America,15660,,
None,United States of America,15660,,
High,United States of America,8742,60144.96,42660.96
Low,United States of America,8742,,
Medium,United States of America,8742,,
None,United States of America,8742,,
High,United States of America,28320,,
Low,United States of America,28320,,
Medium,United States of America,28320,53808,25488
None,United States of America,28320,,
High,United States of America,36750,,
Low,United States of America,36750,,
Medium,United States of America,36750,50163.75,13413.75
None,United States of America,36750,,
High,United States of America,12820,,
Low,United States of America,12820,,
Medium,United States of America,12820,47177.6,21537.6
None,United States of America,12820,,
High,United States of America,26410,45953.4,19543.4
Low,United States of America,26410,,
Medium,United States of America,26410,,
None,United States of America,26410,,
High,United States of America,31995,42713.325,10718.324999999999
