financials.Discount Band,financials.Country,financials.Product,financials.Segment,Sum(financials.COGS)
High,Canada,Paseo,Government,1477815
High,France,Paseo,Government,971425
High,Germany,Paseo,Government,179120
High,Mexico,Paseo,Government,1907125
High,United States of America,Paseo,Government,866012.5
Low,Canada,Paseo,Government,783515
Low,France,Paseo,Government,585175
Low,Mexico,Paseo,Government,8800
Low,United States of America,Paseo,Government,1011327.5
Medium,Canada,Paseo,Government,364220
Medium,France,Paseo,Government,450745
Medium,Germany,Paseo,Government,642050
Medium,Mexico,Paseo,Government,1046025
Medium,United States of America,Paseo,Government,396925
None,Canada,Paseo,Government,469590
None,Germany,Paseo,Government,654940
None,Mexico,Paseo,Government,4415
None,United States of America,Paseo,Government,5715
High,Canada,Paseo,Small Business,559750
High,Germany,Paseo,Small Business,541500
High,Mexico,Paseo,Small Business,685250
High,United States of America,Paseo,Small Business,873750
Low,Canada,Paseo,Small Business,479000
Low,France,Paseo,Small Business,838125
Low,Germany,Paseo,Small Business,957875
Low,United States of America,Paseo,Small Business,1455750
Medium,Canada,Paseo,Small Business,1050000
Medium,France,Paseo,Small Business,443000
Medium,Germany,Paseo,Small Business,280750
Medium,Mexico,Paseo,Small Business,1658000
Medium,United States of America,Paseo,Small Business,247750
None,Mexico,Paseo,Small Business,197000
High,Canada,Paseo,Enterprise,189960
High,France,Paseo,Enterprise,292920
High,Germany,Paseo,Enterprise,130200
High,Mexico,Paseo,Enterprise,258720
Low,Canada,Paseo,Enterprise,781440
Low,France,Paseo,Enterprise,607440
Low,Germany,Paseo,Enterprise,585600
Low,Mexico,Paseo,Enterprise,692160
Low,United States of America,Paseo,Enterprise,87240
Medium,France,Paseo,Enterprise,370680
Medium,Germany,Paseo,Enterprise,421560
Medium,Mexico,Paseo,Enterprise,133680
Medium,United States of America,Paseo,Enterprise,798000
High,Canada,Paseo,Midmarket,99510
High,France,Paseo,Midmarket,21670
High,Germany,Paseo,Midmarket,14530
High,Mexico,Paseo,Midmarket,23640
High,United States of America,Paseo,Midmarket,17670
Low,Canada,Paseo,Midmarket,25810
Low,France,Paseo,Midmarket,45570
Low,Germany,Paseo,Midmarket,26920
Low,Mexico,Paseo,Midmarket,35450
Low,United States of America,Paseo,Midmarket,41100
Medium,France,Paseo,Midmarket,97490
Medium,Germany,Paseo,Midmarket,38590
Medium,United States of America,Paseo,Midmarket,99570
None,Canada,Paseo,Midmarket,21520
None,France,Paseo,Midmarket,5490
None,Mexico,Paseo,Midmarket,34460
High,Canada,Paseo,Channel Partners,18744
High,France,Paseo,Channel Partners,15049.5
High,Germany,Paseo,Channel Partners,3039
High,Mexico,Paseo,Channel Partners,1713
High,United States of America,Paseo,Channel Partners,12642
Low,Canada,Paseo,Channel Partners,3885
Low,France,Paseo,Channel Partners,14223
Low,Germany,Paseo,Channel Partners,2298
Low,Mexico,Paseo,Channel Partners,3252
Low,United States of America,Paseo,Channel Partners,7534.5
Medium,Canada,Paseo,Channel Partners,14190
Medium,Germany,Paseo,Channel Partners,5325
Medium,Mexico,Paseo,Channel Partners,9390
None,Canada,Paseo,Channel Partners,7554
None,Germany,Paseo,Channel Partners,1101
None,United States of America,Paseo,Channel Partners,2736
High,Canada,Paseo,,2345779
High,France,Paseo,,1301064.5
High,Germany,Paseo,,868389
High,Mexico,Paseo,,2876448
High,United States of America,Paseo,,1770074.5
Low,Canada,Paseo,,2073650
Low,France,Paseo,,2090533
Low,Germany,Paseo,,1572693
Low,Mexico,Paseo,,739662
Low,United States of America,Paseo,,2602952
Medium,Canada,Paseo,,1428410
Medium,France,Paseo,,1361915
Medium,Germany,Paseo,,1388275
Medium,Mexico,Paseo,,2847095
Medium,United States of America,Paseo,,1542245
None,Canada,Paseo,,498664
None,France,Paseo,,5490
None,Germany,Paseo,,656041
None,Mexico,Paseo,,235875
None,United States of America,Paseo,,8451
High,Canada,VTT,Small Business,441250
High,Mexico,VTT,Small Business,108000
High,United States of America,VTT,Small Business,1461250
Low,Canada,VTT,Small Business,468500
Low,Germany,VTT,Small Business,300000
Low,Mexico,VTT,Small Business,123500
Low,United States of America,VTT,Small Business,711000
Medium,Canada,VTT,Small Business,1142500
Medium,France,VTT,Small Business,545000
Medium,Germany,VTT,Small Business,664750
Medium,Mexico,VTT,Small Business,686750
Medium,United States of America,VTT,Small Business,668750
None,Canada,VTT,Small Business,500250
None,France,VTT,Small Business,537750
