financials.Country,financials.Discount Band,Sum(financials. Sales),Sum(financials.Profit)
United States of America,High,11140926.280000001,866326.7800000001
United States of America,Medium,7168350.749999999,912328.75
United States of America,Low,6273404.135000001,1147004.1349999998
United States of America,None,447149,69881
United States of America,,25029830.165000003,2995540.665
Canada,High,8657237.659999998,911261.1599999999
Canada,Medium,7865428.355,1093780.855
Canada,Low,6537899.370000001,1140580.3699999999
Canada,None,1827089.5,383606.5
Canada,,24887654.884999998,3529228.885
France,Medium,10057889.36,1619256.8599999999
France,Low,5913163.185,1061776.1849999998
France,High,5865834.735,535982.735
France,None,2517285,564005
France,,24354172.279999997,3781020.78
Germany,Low,10316608.08,1847355.0800000003
Germany,Medium,5824029.879999998,823095.88
Germany,High,4878794.360000001,424957.35999999987
Germany,None,2485908.5,584980.5
Germany,,23505340.82,3680388.8200000003
Mexico,Medium,7864732.489999999,1131060.4899999995
Mexico,High,6829693.690000001,650338.6900000002
Mexico,Low,5588703.93,992141.93
Mexico,None,666222,133982
Mexico,,20949352.11,2907523.11
