financials.Discount Band,financials.Product,financials.Country,Sum(financials. Sales),Sum(financials.Profit),Sum(financials.COGS),Sum(financials.Units Sold)
High,Amarilla,United States of America,1389351.7049999998,87879.70499999999,1301472,17362.5
High,Carretera,United States of America,733882.4199999999,8684.419999999995,725198,12147.5
High,Montana,United States of America,1280259.7899999998,167069.79,1113190,12398.5
High,Paseo,United States of America,2002018.145,231943.64499999996,1770074.5,17386.5
High,Velo,United States of America,2683116.5,93974.5,2589142,14658
High,VTT,United States of America,3052297.72,276774.72000000003,2775523,18244
Low,Amarilla,United States of America,57517.32,32480.32,25037,3896
Low,Carretera,United States of America,195163.59000000003,60263.590000000004,134900,6938
Low,Montana,United States of America,1551472.77,253076.77000000002,1298396,8170
Low,Paseo,United States of America,3199430.3549999995,596478.3550000001,2602952,24457
Low,Velo,United States of America,143747.85,36772.85,106975,4430
Low,VTT,United States of America,1126072.25,167932.25,958140,4186
Medium,Amarilla,United States of America,1323894.38,226059.38,1097835,8359
Medium,Carretera,United States of America,910793.54,169543.53999999998,741250,6732.5
Medium,Montana,United States of America,803169.24,11300.239999999998,791869,10429
Medium,Paseo,United States of America,1723932.27,181687.26999999996,1542245,25568
Medium,Velo,United States of America,1119338.65,120548.65000000001,998790,13852
Medium,VTT,United States of America,1287222.67,203189.67,1084033,12070
None,Amarilla,United States of America,66354,42207,24147,5852
None,Montana,United States of America,9225,3075,6150,615
None,Paseo,United States of America,18945,10494,8451,2055
None,Velo,United States of America,352625,14105,338520,2821
High,Amarilla,Canada,1444328.95,207084.45,1237244.5,16252.5
High,Carretera,Canada,1039459.46,64258.46000000001,975201,13321
High,Montana,Canada,801257.2999999999,119007.3,682250,9098.5
High,Paseo,Canada,2741974.6700000004,396195.6699999999,2345779,32251.5
High,Velo,Canada,1102786.24,108416.23999999999,994370,7009
High,VTT,Canada,1527431.04,16299.04,1511132,16928.5
Low,Amarilla,Canada,1160712,219432,941280,3694
Low,Carretera,Canada,1147437.29,283308.29,864129,10924.5
Low,Montana,Canada,60165.42,17090.42,43075,6648
Low,Paseo,Canada,2456023.2700000005,382373.26999999996,2073650,21481
Low,Velo,Canada,497812.96,70547.95999999999,427265,11520.5
Low,VTT,Canada,1215748.43,167828.43,1047920,6872.5
Medium,Amarilla,Canada,1250724.925,220344.92500000002,1030380,9285.5
Medium,Carretera,Canada,390937.58999999997,72353.59,318584,8940
Medium,Montana,Canada,1443967.81,148054.81,1295913,10213.5
Medium,Paseo,Canada,1705097.05,276687.05000000005,1428410,15955
Medium,Velo,Canada,1685766.1400000001,189879.14,1495887,13589.5
Medium,VTT,Canada,1388934.8399999999,186461.34,1202473.5,13629.5
None,Carretera,Canada,32370,16185,16185,1618.5
None,Montana,Canada,406528.5,37714.5,368814,5528.5
None,Paseo,Canada,708426,209762,498664,8504
None,Velo,Canada,43125,1725,41400,345
None,VTT,Canada,636640,118220,518420,3818
High,Amarilla,France,1127490.17,59493.67,1067996.5,17043.5
High,Carretera,France,1275224.29,46615.28999999999,1228609,11629.5
High,Montana,France,810911.86,48976.86,761935,5324
High,Paseo,France,1506131.11,205066.61000000002,1301064.5,22346.5
High,Velo,France,647413.725,86228.725,561185,12973.5
High,VTT,France,498663.57999999996,89601.57999999999,409062,10840.5
Low,Amarilla,France,23210.449999999997,10590.449999999999,12620,1262
Low,Carretera,France,1307678.055,219420.05500000002,1088258,11214.5
Low,Montana,France,209105.05,32487.049999999996,176618,5107.5
Low,Paseo,France,2493695.79,403162.79000000004,2090533,24842.5
Low,Velo,France,824814.27,213794.27,611020,7735
Low,VTT,France,1054659.57,182321.57,872338,5574
Medium,Amarilla,France,1865246.51,331293.51,1533953,8648.5
Medium,Carretera,France,807749.55,111939.55,695810,9034
Medium,Montana,France,2469385.46,360784.46,2108601,18951.5
Medium,Paseo,France,1589689.1600000001,227774.16,1361915,23868
Medium,Velo,France,2280368.24,398887.24,1881481,14097
Medium,VTT,France,1045450.4400000001,188577.93999999997,856872.5,13504
None,Amarilla,France,1000480,266490,733990,4649
None,Carretera,France,32670,10890,21780,2178
None,Montana,France,37980,18990,18990,1899
None,Paseo,France,8235,2745,5490,549
None,Velo,France,225500,9020,216480,1804
None,VTT,France,1212420,255870,956550,5856
High,Amarilla,Germany,403425.21,9177.21,394248,7981
High,Carretera,Germany,1435414.1,43554.09999999999,1391860,9690
High,Montana,Germany,652765.6,111945.6,540820,4957
High,Paseo,Germany,973880.32,105491.31999999999,868389,14704
High,Velo,Germany,715723.68,43023.68,672700,8778
High,VTT,Germany,697585.45,111765.45000000001,585820,5900
Low,Amarilla,Germany,2013046,408196,1604850,7408
Low,Carretera,Germany,904615.0800000001,145517.08000000002,759098,6270
Low,Montana,Germany,1947668.8199999998,295938.82,1651730,9341
Low,Paseo,Germany,1756117.28,183424.28,1572693,12169.5
Low,Velo,Germany,2103251.5,486991.5,1616260,6652
Low,VTT,Germany,1591909.4,327287.39999999997,1264622,10334
Medium,Amarilla,Germany,1004539.55,170294.55,834245,9320
