financials.Month Name,financials.Discount Band,Sum(financials. Sales)
April,Medium,2601078.9200000004
August,Medium,1297635.3299999998
December,Medium,5195783.06
February,Medium,2810156.19
January,Medium,2326430.34
July,Medium,2812423.4050000003
June,Medium,4498327.78
March,Medium,1420138.21
May,Medium,1795127.0300000003
November,Medium,2637860.5600000005
October,Medium,6139149.600000001
September,Medium,5246320.41
April,High,1372016.1099999999
August,High,2130000.94
December,High,3060513.54
February,High,1097698.74
January,High,3418889.71
July,High,3137045.175
June,High,2587070.92
March,High,2908280.89
May,High,2482221.75
November,High,8006725.359999999
October,High,5705913.92
September,High,1466109.67
April,Low,2406750.54
August,Low,1765088.15
December,Low,7928422.38
February,Low,1580926.46
January,Low,793200.63
July,Low,1804058.0999999999
June,Low,1389743.12
March,Low,1218693.77
May,Low,1932862.28
November,Low,1392137.58
October,Low,9724115.5
September,Low,2693780.19
April,None,584929.5
August,None,671898
December,None,1182510
February,None,1808750
January,None,69241
July,None,349393.5
June,None,1043752
March,None,39747
November,None,614694
October,None,102252
September,None,1476487
