Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Region,Orders.Country,Orders.State,Orders.City,Sum(Orders.Profit),Sum(Orders.Sales)
Qtr 1,2014,Furniture,Bookcases,Central,United States,Illinois,Chicago,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Illinois,Chicago,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Illinois,Chicago,-70.48999999999998,493.42999999999995
Qtr 4,2014,Furniture,Bookcases,Central,United States,Illinois,Chicago,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Illinois,Chicago,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Illinois,Chicago,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Illinois,Chicago,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Illinois,Chicago,-71.81160000000003,359.05799999999994
Qtr 1,2016,Furniture,Bookcases,Central,United States,Illinois,Chicago,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Illinois,Chicago,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Illinois,Chicago,0,198.744
Qtr 4,2016,Furniture,Bookcases,Central,United States,Illinois,Chicago,-14.137200000000014,141.37199999999999
Qtr 1,2017,Furniture,Bookcases,Central,United States,Illinois,Chicago,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Illinois,Chicago,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Illinois,Chicago,-154.55639999999997,1008.5459999999999
Qtr 4,2017,Furniture,Bookcases,Central,United States,Illinois,Chicago,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,-30.293999999999983,424.116
Qtr 1,2015,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Illinois,Des Plaines,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Illinois,Highland Park,-178.6775999999999,1298.374
Qtr 4,2015,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Illinois,Highland Park,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Illinois,Peoria,-35.9058,359.05799999999994
Qtr 2,2015,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Illinois,Peoria,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Michigan,Detroit,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Michigan,Detroit,57.4938,212.94
Qtr 3,2014,Furniture,Bookcases,Central,United States,Michigan,Detroit,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Michigan,Detroit,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Michigan,Detroit,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Michigan,Detroit,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Michigan,Detroit,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Michigan,Detroit,20.927400000000006,160.98
Qtr 1,2016,Furniture,Bookcases,Central,United States,Michigan,Detroit,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Michigan,Detroit,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Michigan,Detroit,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Michigan,Detroit,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Michigan,Detroit,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Michigan,Detroit,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Michigan,Detroit,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Michigan,Detroit,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Michigan,Lansing,41.13319999999999,241.96
Qtr 4,2017,Furniture,Bookcases,Central,United States,Michigan,Lansing,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,31.091200000000015,194.32
Qtr 4,2015,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 2,2017,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Michigan,Lincoln Park,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 3,2015,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 4,2015,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 1,2016,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 2,2016,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 3,2016,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 4,2016,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 1,2017,Furniture,Bookcases,Central,United States,Missouri,Springfield,53.235000000000014,212.94
Qtr 2,2017,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 3,2017,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 4,2017,Furniture,Bookcases,Central,United States,Missouri,Springfield,,
Qtr 1,2014,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
Qtr 2,2014,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
Qtr 3,2014,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
Qtr 4,2014,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
Qtr 1,2015,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
Qtr 2,2015,Furniture,Bookcases,Central,United States,Oklahoma,Oklahoma City,,
