C04 : Multi-tier Bar.City,Sum(C04 : Multi-tier Bar.AC),Sum(C04 : Multi-tier Bar.PL)
Unknown18,10,8
Unknown4,11,9
Unknown6,11,9
Unknown8,11,9
Unknown17,8,9
Unknown1,11,10
Unknown2,12,10
Unknown3,10,10
Unknown7,11,10
Unknown9,12,10
Unknown11,11,10
Unknown12,11,10
Unknown14,8,10
Unknown19,12,10
Unknown20,12,10
Unknown5,11,11
Unknown10,12,11
Unknown13,12,11
Unknown15,11,11
Unknown16,12,11
Nevada,23,18
Alaska,15,21
South Carolina,46,40
Hawaii,49,43
Kansas,45,43
Connecticut,50,53
New Mexico,73,69
New Hampshire,79,70
Wisconsin,76,82
Missouri,59,88
Ohio,131,100
Maine,111,109
New Jersey,78,109
Maryland,125,123
California,188,154
Virginia,69,166
New York,211,201
Texas,197,201
