C06: Bar with waterfall charts.Country,Sum(C06: Bar with waterfall charts.AC),Sum(C06: Bar with waterfall charts.PY),Sum(C06: Bar with waterfall charts.PL),
Spain,53,30,33,"33,222,255"
Greece,39,38,33,"33,290,323"
Sweden,40,38,35,"35,255,290"
Germany,93,90,89,"89,0,89"
Russia,60,60,56,"56,166,222"
Italy,14,15,12,"12,413,425"
Great Britain,15,15,13,"13,400,413"
Slovenia,4,4,5,"5,425,430"
Denmark,33,29,35,"35,365,400"
Netherlands,38,39,42,"42,323,365"
France,63,60,77,"77,89,166"
Albania,2,2,2,
Andorra,2,2,1,
Armenia,2,2,2,
Austria,2,2,2,
Azerbaijan,2,2,1,
Belarus,2,2,2,
Belgium,2,2,1,
Bosnia and Herzegovina,2,2,2,
Bulgaria,2,2,2,
Croatia,2,2,2,
Cyprus,2,2,2,
Czech Republic,2,2,2,
Estonia,2,1,1,
Finland,2,2,2,
Georgia,2,2,2,
Hungary,2,2,2,
Iceland,2,2,2,
Ireland,2,1,1,
Kazakhstan,2,1,1,
Latvia,2,1,1,
Liechtenstein,2,2,2,
Lithuania,2,2,2,
