C12 : Vertical Waterfalls.Account,Sum(C12 : Vertical Waterfalls.AC),Sum(C12 : Vertical Waterfalls.PL),
Licenses,896,800,"800,0,800"
Consulting,90,80,"80,800,880"
Maintenance,10,10,"10,880,890"
Other Revenue,65,70,"70,890,960"
Sales Revenue,1061,960,"960,0,960"
Other Op.income,17,35,"35,960,995"
Purchases,379,350,"-350,995,645"
Material Expenses,54,90,"-90,645,555"
Personnel Expenses,127,70,"-70,555,485"
Amortization,40,42,"-42,485,443"
Other Op Expenses,152,112,"-112,443,331"
Operating Result,326,331,"331,0,331"
Investment Income,53,40,"40,331,371"
Financial Income,66,39,"39,371,410"
Result Before Tax,445,410,"410,0,410"
Income Tax,111,105,"-105,410,305"
Result After Tax,334,305,"305,0,305"
Profit to other interests,55,40,"-40,305,265"
Group Result,279,265,"265,0,265"
