C13 : Small Multiples.City,C13 : Small Multiples.Year,Sum(C13 : Small Multiples.AC),Sum(C13 : Small Multiples.PL),
Albania,2014,14,14,46.64
Austria,2014,4,4,46.64
Basel,2014,69,69,"46.64,0,46.64"
Berlin,2014,344,344,"46.64,0,46.64"
Bordeaux,2014,70,70,"46.64,0,46.64"
Bulgaria,2014,10,10,46.64
Cologne,2014,38,38,"46.64,0,46.64"
Denmark,2014,-7,-7,46.64
Finland,2014,4,4,46.64
Frankfurt,2014,24,24,"46.64,0,46.64"
Greece,2014,10,10,"46.64,0,46.64"
Ireland,2014,9,9,46.64
Italy,2014,-8,-8,46.64
Lausanne,2014,66,66,"46.64,0,46.64"
Linz,2014,78,78,"46.64,0,46.64"
Lyon,2014,122,122,"46.64,0,46.64"
Munich,2014,55,55,"46.64,0,46.64"
Norway,2014,12,12,46.64
Paris,2014,69,69,"46.64,0,46.64"
Poland,2014,7,7,46.64
Salzburg,2014,15,15,"46.64,0,46.64"
San Mario,2014,5,5,46.64
Serbia,2014,10,10,46.64
Vienna,2014,51,51,"46.64,0,46.64"
Zurich,2014,95,95,"46.64,0,46.64"
Albania,2015,-5,-5,44.12
Austria,2015,8,8,44.12
Basel,2015,79,79,"44.12,46.64,90.75999999999999"
Berlin,2015,301,301,"44.12,46.64,90.75999999999999"
Bordeaux,2015,66,66,"44.12,46.64,90.75999999999999"
Bulgaria,2015,9,9,44.12
Cologne,2015,39,39,"44.12,46.64,90.75999999999999"
Denmark,2015,8,8,44.12
Finland,2015,7,7,44.12
Frankfurt,2015,25,25,"44.12,46.64,90.75999999999999"
Greece,2015,15,15,"44.12,46.64,90.75999999999999"
Ireland,2015,-6,-6,44.12
Italy,2015,8,8,44.12
Lausanne,2015,62,62,"44.12,46.64,90.75999999999999"
Linz,2015,89,89,"44.12,46.64,90.75999999999999"
Lyon,2015,89,89,"44.12,46.64,90.75999999999999"
Munich,2015,44,44,"44.12,46.64,90.75999999999999"
Norway,2015,9,9,44.12
Paris,2015,81,81,"44.12,46.64,90.75999999999999"
Poland,2015,8,8,44.12
Salzburg,2015,17,17,"44.12,46.64,90.75999999999999"
San Mario,2015,10,10,44.12
Serbia,2015,-6,-6,44.12
Vienna,2015,44,44,"44.12,46.64,90.75999999999999"
Zurich,2015,102,102,"44.12,46.64,90.75999999999999"
Albania,2011,13,13,42.2
Austria,2011,8,8,42.2
Basel,2011,41,41,"42.2,90.75999999999999,132.95999999999998"
Berlin,2011,168,168,"42.2,90.75999999999999,132.95999999999998"
Bordeaux,2011,63,63,"42.2,90.75999999999999,132.95999999999998"
Bulgaria,2011,-5,-5,42.2
Cologne,2011,21,21,"42.2,90.75999999999999,132.95999999999998"
Denmark,2011,6,6,42.2
Finland,2011,0,0,42.2
Frankfurt,2011,78,78,"42.2,90.75999999999999,132.95999999999998"
Greece,2011,4,4,"42.2,90.75999999999999,132.95999999999998"
Ireland,2011,6,6,42.2
Italy,2011,5,5,42.2
Lausanne,2011,66,66,"42.2,90.75999999999999,132.95999999999998"
Linz,2011,123,123,"42.2,90.75999999999999,132.95999999999998"
Lyon,2011,69,69,"42.2,90.75999999999999,132.95999999999998"
Munich,2011,88,88,"42.2,90.75999999999999,132.95999999999998"
Norway,2011,9,9,42.2
Paris,2011,80,80,"42.2,90.75999999999999,132.95999999999998"
Poland,2011,12,12,42.2
Salzburg,2011,-5,-5,"42.2,90.75999999999999,132.95999999999998"
San Mario,2011,6,6,42.2
Serbia,2011,9,9,42.2
Vienna,2011,93,93,"42.2,90.75999999999999,132.95999999999998"
Zurich,2011,97,97,"42.2,90.75999999999999,132.95999999999998"
Albania,2013,-6,-6,41.28
Austria,2013,8,8,41.28
Basel,2013,66,66,"41.28,132.95999999999998,174.23999999999998"
Berlin,2013,207,207,"41.28,132.95999999999998,174.23999999999998"
Bordeaux,2013,51,51,"41.28,132.95999999999998,174.23999999999998"
Bulgaria,2013,5,5,41.28
Cologne,2013,49,49,"41.28,132.95999999999998,174.23999999999998"
Denmark,2013,7,7,41.28
Finland,2013,2,2,41.28
Frankfurt,2013,30,30,"41.28,132.95999999999998,174.23999999999998"
Greece,2013,8,8,"41.28,132.95999999999998,174.23999999999998"
Ireland,2013,10,10,41.28
Italy,2013,5,5,41.28
Lausanne,2013,70,70,"41.28,132.95999999999998,174.23999999999998"
Linz,2013,98,98,"41.28,132.95999999999998,174.23999999999998"
Lyon,2013,84,84,"41.28,132.95999999999998,174.23999999999998"
Munich,2013,66,66,"41.28,132.95999999999998,174.23999999999998"
Norway,2013,8,8,41.28
Paris,2013,78,78,"41.28,132.95999999999998,174.23999999999998"
Poland,2013,-8,-8,41.28
Salzburg,2013,12,12,"41.28,132.95999999999998,174.23999999999998"
San Mario,2013,8,8,41.28
Serbia,2013,7,7,41.28
Vienna,2013,65,65,"41.28,132.95999999999998,174.23999999999998"
Zurich,2013,102,102,"41.28,132.95999999999998,174.23999999999998"
Albania,2012,10,10,39.8
Austria,2012,5,5,39.8
Basel,2012,52,52,"39.8,174.23999999999998,214.03999999999996"
Berlin,2012,190,190,"39.8,174.23999999999998,214.03999999999996"
Bordeaux,2012,72,72,"39.8,174.23999999999998,214.03999999999996"
