C13 : Small Multiples.City,C13 : Small Multiples.Year,Sum(C13 : Small Multiples.AC),
Albania,2014,14,46.64
Austria,2014,4,46.64
Basel,2014,69,"46.64,0,46.64"
Berlin,2014,344,"46.64,0,46.64"
Bordeaux,2014,70,"46.64,0,46.64"
Bulgaria,2014,10,46.64
Cologne,2014,38,"46.64,0,46.64"
Denmark,2014,-7,46.64
Finland,2014,4,46.64
Frankfurt,2014,24,"46.64,0,46.64"
Greece,2014,10,"46.64,0,46.64"
Ireland,2014,9,46.64
Italy,2014,-8,46.64
Lausanne,2014,66,"46.64,0,46.64"
Linz,2014,78,"46.64,0,46.64"
Lyon,2014,122,"46.64,0,46.64"
Munich,2014,55,"46.64,0,46.64"
Norway,2014,12,46.64
Paris,2014,69,"46.64,0,46.64"
Poland,2014,7,46.64
Salzburg,2014,15,"46.64,0,46.64"
San Mario,2014,5,46.64
Serbia,2014,10,46.64
Vienna,2014,51,"46.64,0,46.64"
Zurich,2014,95,"46.64,0,46.64"
Albania,2015,-5,44.12
Austria,2015,8,44.12
Basel,2015,79,"44.12,46.64,90.75999999999999"
Berlin,2015,301,"44.12,46.64,90.75999999999999"
Bordeaux,2015,66,"44.12,46.64,90.75999999999999"
Bulgaria,2015,9,44.12
Cologne,2015,39,"44.12,46.64,90.75999999999999"
Denmark,2015,8,44.12
Finland,2015,7,44.12
Frankfurt,2015,25,"44.12,46.64,90.75999999999999"
Greece,2015,15,"44.12,46.64,90.75999999999999"
Ireland,2015,-6,44.12
Italy,2015,8,44.12
Lausanne,2015,62,"44.12,46.64,90.75999999999999"
Linz,2015,89,"44.12,46.64,90.75999999999999"
Lyon,2015,89,"44.12,46.64,90.75999999999999"
Munich,2015,44,"44.12,46.64,90.75999999999999"
Norway,2015,9,44.12
Paris,2015,81,"44.12,46.64,90.75999999999999"
Poland,2015,8,44.12
Salzburg,2015,17,"44.12,46.64,90.75999999999999"
San Mario,2015,10,44.12
Serbia,2015,-6,44.12
Vienna,2015,44,"44.12,46.64,90.75999999999999"
Zurich,2015,102,"44.12,46.64,90.75999999999999"
Albania,2011,13,42.2
Austria,2011,8,42.2
Basel,2011,41,"42.2,90.75999999999999,132.95999999999998"
Berlin,2011,168,"42.2,90.75999999999999,132.95999999999998"
Bordeaux,2011,63,"42.2,90.75999999999999,132.95999999999998"
Bulgaria,2011,-5,42.2
Cologne,2011,21,"42.2,90.75999999999999,132.95999999999998"
Denmark,2011,6,42.2
Finland,2011,0,42.2
Frankfurt,2011,78,"42.2,90.75999999999999,132.95999999999998"
Greece,2011,4,"42.2,90.75999999999999,132.95999999999998"
Ireland,2011,6,42.2
Italy,2011,5,42.2
Lausanne,2011,66,"42.2,90.75999999999999,132.95999999999998"
Linz,2011,123,"42.2,90.75999999999999,132.95999999999998"
Lyon,2011,69,"42.2,90.75999999999999,132.95999999999998"
Munich,2011,88,"42.2,90.75999999999999,132.95999999999998"
Norway,2011,9,42.2
Paris,2011,80,"42.2,90.75999999999999,132.95999999999998"
Poland,2011,12,42.2
Salzburg,2011,-5,"42.2,90.75999999999999,132.95999999999998"
San Mario,2011,6,42.2
Serbia,2011,9,42.2
Vienna,2011,93,"42.2,90.75999999999999,132.95999999999998"
Zurich,2011,97,"42.2,90.75999999999999,132.95999999999998"
Albania,2013,-6,41.28
Austria,2013,8,41.28
Basel,2013,66,"41.28,132.95999999999998,174.23999999999998"
Berlin,2013,207,"41.28,132.95999999999998,174.23999999999998"
Bordeaux,2013,51,"41.28,132.95999999999998,174.23999999999998"
Bulgaria,2013,5,41.28
Cologne,2013,49,"41.28,132.95999999999998,174.23999999999998"
Denmark,2013,7,41.28
Finland,2013,2,41.28
Frankfurt,2013,30,"41.28,132.95999999999998,174.23999999999998"
Greece,2013,8,"41.28,132.95999999999998,174.23999999999998"
Ireland,2013,10,41.28
Italy,2013,5,41.28
Lausanne,2013,70,"41.28,132.95999999999998,174.23999999999998"
Linz,2013,98,"41.28,132.95999999999998,174.23999999999998"
Lyon,2013,84,"41.28,132.95999999999998,174.23999999999998"
Munich,2013,66,"41.28,132.95999999999998,174.23999999999998"
Norway,2013,8,41.28
Paris,2013,78,"41.28,132.95999999999998,174.23999999999998"
Poland,2013,-8,41.28
Salzburg,2013,12,"41.28,132.95999999999998,174.23999999999998"
San Mario,2013,8,41.28
Serbia,2013,7,41.28
Vienna,2013,65,"41.28,132.95999999999998,174.23999999999998"
Zurich,2013,102,"41.28,132.95999999999998,174.23999999999998"
Albania,2012,10,39.8
Austria,2012,5,39.8
Basel,2012,52,"39.8,174.23999999999998,214.03999999999996"
Berlin,2012,190,"39.8,174.23999999999998,214.03999999999996"
Bordeaux,2012,72,"39.8,174.23999999999998,214.03999999999996"
Bulgaria,2012,6,39.8
Cologne,2012,48,"39.8,174.23999999999998,214.03999999999996"
Denmark,2012,-4,39.8
Finland,2012,1,39.8
Frankfurt,2012,38,"39.8,174.23999999999998,214.03999999999996"
Greece,2012,15,"39.8,174.23999999999998,214.03999999999996"
Ireland,2012,6,39.8
Italy,2012,8,39.8
Lausanne,2012,73,"39.8,174.23999999999998,214.03999999999996"
Linz,2012,109,"39.8,174.23999999999998,214.03999999999996"
Lyon,2012,79,"39.8,174.23999999999998,214.03999999999996"
Munich,2012,77,"39.8,174.23999999999998,214.03999999999996"
Norway,2012,9,39.8
Paris,2012,59,"39.8,174.23999999999998,214.03999999999996"
Poland,2012,-7,39.8
Salzburg,2012,9,"39.8,174.23999999999998,214.03999999999996"
San Mario,2012,10,39.8
Serbia,2012,8,39.8
Vienna,2012,88,"39.8,174.23999999999998,214.03999999999996"
Zurich,2012,34,"39.8,174.23999999999998,214.03999999999996"
Albania,2010,16,39.64
Austria,2010,12,39.64
Basel,2010,43,"39.64,214.03999999999996,253.67999999999995"
Berlin,2010,136,"39.64,214.03999999999996,253.67999999999995"
Bordeaux,2010,60,"39.64,214.03999999999996,253.67999999999995"
Bulgaria,2010,14,39.64
Cologne,2010,50,"39.64,214.03999999999996,253.67999999999995"
Denmark,2010,0,39.64
Finland,2010,-5,39.64
Frankfurt,2010,89,"39.64,214.03999999999996,253.67999999999995"
Greece,2010,19,"39.64,214.03999999999996,253.67999999999995"
Ireland,2010,17,39.64
Italy,2010,15,39.64
Lausanne,2010,133,"39.64,214.03999999999996,253.67999999999995"
Linz,2010,45,"39.64,214.03999999999996,253.67999999999995"
Lyon,2010,52,"39.64,214.03999999999996,253.67999999999995"
Munich,2010,58,"39.64,214.03999999999996,253.67999999999995"
Norway,2010,20,39.64
Paris,2010,71,"39.64,214.03999999999996,253.67999999999995"
Poland,2010,-6,39.64
Salzburg,2010,56,"39.64,214.03999999999996,253.67999999999995"
San Mario,2010,-5,39.64
Serbia,2010,18,39.64
Vienna,2010,88,"39.64,214.03999999999996,253.67999999999995"
Zurich,2010,-5,"39.64,214.03999999999996,253.67999999999995"
Albania,2006,12,35.52
Austria,2006,-7,35.52
Basel,2006,88,"35.52,253.67999999999995,289.19999999999993"
Berlin,2006,66,"35.52,253.67999999999995,289.19999999999993"
Bordeaux,2006,68,"35.52,253.67999999999995,289.19999999999993"
Bulgaria,2006,7,35.52
Cologne,2006,79,"35.52,253.67999999999995,289.19999999999993"
Denmark,2006,-10,35.52
Finland,2006,5,35.52
Frankfurt,2006,50,"35.52,253.67999999999995,289.19999999999993"
Greece,2006,7,"35.52,253.67999999999995,289.19999999999993"
Ireland,2006,6,35.52
Italy,2006,-5,35.52
Lausanne,2006,98,"35.52,253.67999999999995,289.19999999999993"
Linz,2006,112,"35.52,253.67999999999995,289.19999999999993"
Lyon,2006,23,"35.52,253.67999999999995,289.19999999999993"
Munich,2006,25,"35.52,253.67999999999995,289.19999999999993"
Norway,2006,10,35.52
Paris,2006,78,"35.52,253.67999999999995,289.19999999999993"
Poland,2006,15,35.52
Salzburg,2006,-7,"35.52,253.67999999999995,289.19999999999993"
San Mario,2006,4,35.52
Serbia,2006,7,35.52
Vienna,2006,90,"35.52,253.67999999999995,289.19999999999993"
Zurich,2006,67,"35.52,253.67999999999995,289.19999999999993"
Albania,2008,8,35.48
Austria,2008,5,35.48
Basel,2008,67,"35.48,289.19999999999993,324.67999999999995"
Berlin,2008,28,"35.48,289.19999999999993,324.67999999999995"
Bordeaux,2008,69,"35.48,289.19999999999993,324.67999999999995"
