financials.Discount Band,financials.Country,Sum(financials. Sales),
High,United States of America,11140926.28,6257457.54125
High,Canada,8657237.659999998,6221913.7212499995
High,France,5865834.735000001,6088543.07
High,Germany,4878794.360000001,5876335.205
High,Mexico,6829693.6899999995,5237338.027500001
Low,United States of America,6273404.135000001,6257457.54125
Low,Canada,6537899.37,6221913.7212499995
Low,France,5913163.185,6088543.07
Low,Germany,10316608.08,5876335.205
Low,Mexico,5588703.930000002,5237338.027500001
Medium,United States of America,7168350.749999998,6257457.54125
Medium,Canada,7865428.355000001,6221913.7212499995
Medium,France,10057889.36,6088543.07
Medium,Germany,5824029.879999999,5876335.205
Medium,Mexico,7864732.490000003,5237338.027500001
None,United States of America,447149,6257457.54125
None,Canada,1827089.5,6221913.7212499995
None,France,2517285,6088543.07
None,Germany,2485908.5,5876335.205
None,Mexico,666222,5237338.027500001
