Opportunities.Product Name,Opportunities.Status,Avg(Opportunities.Probability)
Tablets,Won,79.94186046511629
Tablets,Open,48.33333333333333
Tablets,Lost,38.91304347826087
Tablets,,167.18823727671048
Ergonomic Seating,Won,73.59322033898306
Ergonomic Seating,Open,40.78651685393258
Ergonomic Seating,Lost,37.2636815920398
Ergonomic Seating,,151.64341878495543
Stand-up Desks,Won,75.3398058252427
Stand-up Desks,Lost,39.3283582089552
Stand-up Desks,Open,37.155172413793096
Stand-up Desks,,151.823336447991
Desktops,Won,74.01420959147424
Desktops,Open,38.25688073394496
Desktops,Lost,36.599999999999994
Desktops,,148.87109032541917
Design app,Won,73.39527559055115
Design app,Lost,36.57912015758373
Design app,Open,36.03174603174602
Design app,,146.00614177988092
Laser Printers,Won,75.00539374325783
Laser Printers,Open,43.26829268292683
Laser Printers,Lost,33.94927536231882
Laser Printers,,152.22296178850348
Webcams,Won,75.11304347826083
Webcams,Lost,36.24624624624623
Webcams,Open,35.151515151515156
Webcams,,146.5108048760222
All-in-One,Won,68.65605658709102
All-in-One,Open,33.8064516129032
All-in-One,Lost,29.34191702432044
All-in-One,,131.80442522431468
Mobile app,Won,71.04627766599606
Mobile app,Open,28.021978021978022
Mobile app,Lost,27.73248407643309
Mobile app,,126.80073976440718
Scanners,Won,52.44604316546761
Scanners,Lost,25.995343422584366
Scanners,Open,13.850267379679144
Scanners,,92.29165396773111
