0,1,Sum(financials. Sales),Sum(financials.Profit)
[object Object],[object Object],11140926.28,866326.7799999998
[object Object],[object Object],8657237.659999998,911261.1600000001
[object Object],[object Object],5865834.735000001,535982.7350000001
[object Object],[object Object],4878794.360000001,424957.36000000004
[object Object],[object Object],6829693.6899999995,650338.6900000001
[object Object],[object Object],6273404.135000001,1147004.1349999998
[object Object],[object Object],6537899.37,1140580.3699999999
[object Object],[object Object],5913163.185,1061776.185
[object Object],[object Object],10316608.08,1847355.08
[object Object],[object Object],5588703.930000002,992141.9300000002
[object Object],[object Object],7168350.749999998,912328.7499999999
[object Object],[object Object],7865428.355000001,1093780.855
[object Object],[object Object],10057889.36,1619256.8599999999
[object Object],[object Object],5824029.879999999,823095.8800000001
[object Object],[object Object],7864732.490000003,1131060.4899999995
[object Object],[object Object],447149,69881
[object Object],[object Object],1827089.5,383606.5
[object Object],[object Object],2517285,564005
[object Object],[object Object],2485908.5,584980.5
[object Object],[object Object],666222,133982
