zPerformance.Category,zPerformance.Region,zPerformance.Geography,zPerformance.Brand,Sum(zPerformance.2018 Shipments),Sum(zPerformance.2019 Shipments)
Hair Care,Europe,Italy,Care Essentials,2438662,2454280
Skin Care,Europe,Italy,Care Essentials,2784350,2776329
Hair Care,Europe,Italy,Just Natural,2467815,2455098
Skin Care,Europe,Italy,Just Natural,2706043,2721441
Hair Care,Europe,Italy,Glo,2583146,2594878
Skin Care,Europe,Italy,Glo,2565834,2587288
Hair Care,Europe,Italy,Prime-o,2485242,2502994
Skin Care,Europe,Italy,Prime-o,2639398,2604104
Hair Care,Europe,France,Just Natural,2723644,2712428
Skin Care,Europe,France,Just Natural,2556761,2552370
Hair Care,Europe,France,Prime-o,2605823,2671153
Skin Care,Europe,France,Prime-o,2664236,2667951
Hair Care,Europe,France,Glo,2600873,2567410
Skin Care,Europe,France,Glo,2439610,2429157
Hair Care,Europe,France,Care Essentials,2510528,2509862
Skin Care,Europe,France,Care Essentials,2487594,2498514
Hair Care,Europe,UK,Just Natural,2675792,2616127
Skin Care,Europe,UK,Just Natural,2558319,2549603
Hair Care,Europe,UK,Glo,2605669,2581302
Skin Care,Europe,UK,Glo,2554645,2530018
Hair Care,Europe,UK,Care Essentials,2506247,2482724
Skin Care,Europe,UK,Care Essentials,2610186,2637812
Hair Care,Europe,UK,Prime-o,2349291,2373349
Skin Care,Europe,UK,Prime-o,2621871,2576824
Hair Care,Europe,Germany,Prime-o,2531454,2510253
Skin Care,Europe,Germany,Prime-o,2693430,2757592
Hair Care,Europe,Germany,Care Essentials,2586623,2610421
Skin Care,Europe,Germany,Care Essentials,2614647,2526525
Hair Care,Europe,Germany,Just Natural,2481466,2528876
Skin Care,Europe,Germany,Just Natural,2548720,2530619
Hair Care,Europe,Germany,Glo,2547377,2558927
Skin Care,Europe,Germany,Glo,2399840,2432849
Hair Care,Europe,Rest of Europe,Just Natural,2640455,2663677
Skin Care,Europe,Rest of Europe,Just Natural,2650140,2614171
Hair Care,Europe,Rest of Europe,Care Essentials,2572441,2580523
Skin Care,Europe,Rest of Europe,Care Essentials,2518424,2581150
Hair Care,Europe,Rest of Europe,Glo,2612303,2578152
Skin Care,Europe,Rest of Europe,Glo,2439133,2444967
Hair Care,Europe,Rest of Europe,Prime-o,2520495,2514573
Skin Care,Europe,Rest of Europe,Prime-o,2446264,2459536
Hair Care,MEA/APAC,EMEA,Just Natural,2648738,2650684
Skin Care,MEA/APAC,EMEA,Just Natural,2639464,2593230
Hair Care,MEA/APAC,EMEA,Prime-o,2660137,2651620
Skin Care,MEA/APAC,EMEA,Prime-o,2431113,2434119
Hair Care,MEA/APAC,EMEA,Care Essentials,2528029,2501110
Skin Care,MEA/APAC,EMEA,Care Essentials,2549573,2572144
Hair Care,MEA/APAC,EMEA,Glo,2500918,2481798
Skin Care,MEA/APAC,EMEA,Glo,2455500,2476378
Hair Care,MEA/APAC,Japan,Care Essentials,2664506,2682635
Skin Care,MEA/APAC,Japan,Care Essentials,2704274,2697818
Hair Care,MEA/APAC,Japan,Prime-o,2363432,2349862
Skin Care,MEA/APAC,Japan,Prime-o,2681605,2651146
Hair Care,MEA/APAC,Japan,Just Natural,2409543,2404015
Skin Care,MEA/APAC,Japan,Just Natural,2558553,2513445
Hair Care,MEA/APAC,Japan,Glo,2544968,2519605
Skin Care,MEA/APAC,Japan,Glo,2414293,2453550
Hair Care,MEA/APAC,ANZ,Glo,2546325,2483113
Skin Care,MEA/APAC,ANZ,Glo,2569378,2561791
Hair Care,MEA/APAC,ANZ,Care Essentials,2622605,2613021
Skin Care,MEA/APAC,ANZ,Care Essentials,2490778,2482649
Hair Care,MEA/APAC,ANZ,Just Natural,2542142,2578219
Skin Care,MEA/APAC,ANZ,Just Natural,2502055,2479352
Hair Care,MEA/APAC,ANZ,Prime-o,2629211,2592346
Skin Care,MEA/APAC,ANZ,Prime-o,2389409,2380046
Hair Care,North America,United States,Prime-o,2673455,2648501
Skin Care,North America,United States,Prime-o,2652162,2652346
Hair Care,North America,United States,Just Natural,2642500,2677760
Skin Care,North America,United States,Just Natural,2477934,2472720
Hair Care,North America,United States,Care Essentials,2531580,2540082
Skin Care,North America,United States,Care Essentials,2540707,2556858
Hair Care,North America,United States,Glo,2496804,2526121
Skin Care,North America,United States,Glo,2507729,2471717
Hair Care,North America,Canada,Just Natural,2559682,2546580
Skin Care,North America,Canada,Just Natural,2659413,2689965
Hair Care,North America,Canada,Glo,2574066,2605796
Skin Care,North America,Canada,Glo,2550405,2555708
Hair Care,North America,Canada,Prime-o,2542473,2506816
Skin Care,North America,Canada,Prime-o,2546924,2521886
Hair Care,North America,Canada,Care Essentials,2598199,2597031
Skin Care,North America,Canada,Care Essentials,2430150,2400980
