Category,Sub-Category,Region,Segment,Value Column Name,Value
"Technology","Phones","Central","Consumer","Sum of Sales","37108.78599999998"
"Technology","Phones","Central","Consumer","Sum of Profit","6416.019599999999"
"Technology","Phones","Central","Corporate","Sum of Sales","17180.795999999995"
"Technology","Phones","Central","Corporate","Sum of Profit","2391.2796999999996"
"Technology","Phones","Central","Home Office","Sum of Sales","18113.699999999997"
"Technology","Phones","Central","Home Office","Sum of Profit","3515.7274000000007"
"Technology","Phones","East","Consumer","Sum of Sales","51512.03800000004"
"Technology","Phones","East","Consumer","Sum of Profit","7328.253600000001"
"Technology","Phones","East","Corporate","Sum of Sales","29865.618"
"Technology","Phones","East","Corporate","Sum of Profit","3129.6182999999987"
"Technology","Phones","East","Home Office","Sum of Sales","19237.326"
"Technology","Phones","East","Home Office","Sum of Profit","1856.814099999999"
"Technology","Phones","South","Consumer","Sum of Sales","30846.20399999999"
"Technology","Phones","South","Consumer","Sum of Profit","5623.911800000001"
"Technology","Phones","South","Corporate","Sum of Sales","19274.232000000007"
"Technology","Phones","South","Corporate","Sum of Profit","3680.2119999999995"
"Technology","Phones","South","Home Office","Sum of Sales","8184.002"
"Technology","Phones","South","Home Office","Sum of Profit","1463.1515"
"Technology","Phones","West","Consumer","Sum of Sales","50465.73599999996"
"Technology","Phones","West","Consumer","Sum of Profit","4468.929700000001"
"Technology","Phones","West","Corporate","Sum of Sales","24832.768"
"Technology","Phones","West","Corporate","Sum of Profit","2565.1096000000016"
"Technology","Phones","West","Home Office","Sum of Sales","23385.848"
"Technology","Phones","West","Home Office","Sum of Profit","2076.7033"
"Technology","Machines","Central","Consumer","Sum of Sales","11999.761999999999"
"Technology","Machines","Central","Consumer","Sum of Profit","-1667.028000000002"
"Technology","Machines","Central","Corporate","Sum of Sales","11716.733999999999"
"Technology","Machines","Central","Corporate","Sum of Profit","-361.50440000000134"
"Technology","Machines","Central","Home Office","Sum of Sales","3080.888"
"Technology","Machines","Central","Home Office","Sum of Profit","542.4657999999998"
"Technology","Machines","East","Consumer","Sum of Sales","30668.429"
"Technology","Machines","East","Consumer","Sum of Profit","-1296.0850000000046"
"Technology","Machines","East","Corporate","Sum of Sales","23892.036"
"Technology","Machines","East","Corporate","Sum of Profit","2624.6022999999996"
"Technology","Machines","East","Home Office","Sum of Sales","11545.699999999999"
"Technology","Machines","East","Home Office","Sum of Profit","5600.125599999999"
"Technology","Machines","South","Consumer","Sum of Sales","18338.550000000007"
"Technology","Machines","South","Consumer","Sum of Profit","2910.5588"
"Technology","Machines","South","Corporate","Sum of Sales","12001.155"
"Technology","Machines","South","Corporate","Sum of Profit","-2520.117899999999"
"Technology","Machines","South","Home Office","Sum of Sales","23551.254999999997"
"Technology","Machines","South","Home Office","Sum of Profit","-1829.3339000000021"
"Technology","Machines","West","Consumer","Sum of Sales","18536.084000000003"
"Technology","Machines","West","Consumer","Sum of Profit","2193.6159999999986"
"Technology","Machines","West","Corporate","Sum of Sales","12666.830000000002"
"Technology","Machines","West","Corporate","Sum of Profit","960.0389999999994"
"Technology","Machines","West","Home Office","Sum of Sales","11241.208000000002"
"Technology","Machines","West","Home Office","Sum of Profit","-3772.581400000001"
"Technology","Accessories","Central","Consumer","Sum of Sales","19062.303999999993"
"Technology","Accessories","Central","Consumer","Sum of Profit","3743.3858999999993"
"Technology","Accessories","Central","Corporate","Sum of Sales","6195.238"
"Technology","Accessories","Central","Corporate","Sum of Profit","1462.9337"
"Technology","Accessories","Central","Home Office","Sum of Sales","8698.534"
"Technology","Accessories","Central","Home Office","Sum of Profit","2045.3110000000004"
"Technology","Accessories","East","Consumer","Sum of Sales","22861.056"
"Technology","Accessories","East","Consumer","Sum of Profit","5240.0783"
"Technology","Accessories","East","Corporate","Sum of Sales","11747.997999999998"
"Technology","Accessories","East","Corporate","Sum of Profit","2933.591099999999"
"Technology","Accessories","East","Home Office","Sum of Sales","10424.318000000001"
"Technology","Accessories","East","Home Office","Sum of Profit","3022.1949999999997"
"Technology","Accessories","South","Consumer","Sum of Sales","11651.563999999993"
"Technology","Accessories","South","Consumer","Sum of Profit","2788.307200000001"
"Technology","Accessories","South","Corporate","Sum of Sales","10175.456"
"Technology","Accessories","South","Corporate","Sum of Profit","3085.4776999999995"
"Technology","Accessories","South","Home Office","Sum of Sales","5449.7339999999995"
"Technology","Accessories","South","Home Office","Sum of Profit","1130.7574999999997"
"Technology","Accessories","West","Consumer","Sum of Sales","33530.31400000001"
"Technology","Accessories","West","Consumer","Sum of Profit","8964.1511"
"Technology","Accessories","West","Corporate","Sum of Sales","20071.872"
"Technology","Accessories","West","Corporate","Sum of Profit","5225.477999999998"
"Technology","Accessories","West","Home Office","Sum of Sales","7511.9299999999985"
"Technology","Accessories","West","Home Office","Sum of Profit","2294.9692"
"Technology","Copiers","Central","Consumer","Sum of Sales","4519.884"
"Technology","Copiers","Central","Consumer","Sum of Profit","1482.9615999999999"
"Technology","Copiers","Central","Corporate","Sum of Sales","29679.741999999995"
"Technology","Copiers","Central","Corporate","Sum of Profit","12789.904299999998"
"Technology","Copiers","Central","Home Office","Sum of Sales","3059.944"
"Technology","Copiers","Central","Home Office","Sum of Profit","1335.9754"
"Technology","Copiers","East","Consumer","Sum of Sales","30399.706"
"Technology","Copiers","East","Consumer","Sum of Profit","8657.932499999995"
"Technology","Copiers","East","Corporate","Sum of Sales","4219.914"
"Technology","Copiers","East","Corporate","Sum of Profit","1134.9764999999998"
"Technology","Copiers","East","Home Office","Sum of Sales","18599.842"
"Technology","Copiers","East","Home Office","Sum of Profit","7229.9328"
"Technology","Copiers","South","Consumer","Sum of Sales","4439.868"
"Technology","Copiers","South","Consumer","Sum of Profit","1783.9451999999999"
"Technology","Copiers","South","Corporate","Sum of Sales","4859.888"
"Technology","Copiers","South","Corporate","Sum of Profit","1874.9615000000001"
"Technology","Copiers","South","Home Office","Sum of Sales",
"Technology","Copiers","South","Home Office","Sum of Profit",
"Technology","Copiers","West","Consumer","Sum of Sales","30459.611999999997"
"Technology","Copiers","West","Consumer","Sum of Profit","12158.871299999995"
"Technology","Copiers","West","Corporate","Sum of Sales","8069.842000000001"
