Orders.Segment,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity),Sum(Orders.Sales),Sum(Orders.Profit)
Consumer,2014,Furniture,Bookcases,74,10154.1301,-654.3065000000005
Corporate,2014,Furniture,Bookcases,54,7021.6677,234.46599999999978
Home Office,2014,Furniture,Bookcases,25,2860.8798,73.66979999999998
Consumer,2014,Furniture,Chairs,280,44205.43899999997,3488.9716000000003
Corporate,2014,Furniture,Chairs,158,17994.978999999996,1464.3075999999999
Home Office,2014,Furniture,Chairs,102,15041.157999999998,2001.7677999999992
Consumer,2014,Furniture,Furnishings,360,7778.207999999996,820.8867999999995
Corporate,2014,Furniture,Furnishings,182,4182.498000000001,671.9906999999998
Home Office,2014,Furniture,Furnishings,118,1865.5280000000005,480.0144
Consumer,2014,Furniture,Tables,148,23923.196500000002,-2019.7348000000013
Corporate,2014,Furniture,Tables,93,15901.130000000005,-2009.4642999999999
Home Office,2014,Furniture,Tables,29,6264.038999999999,905.1563999999997
Consumer,2014,Office Supplies,Appliances,161,6671.572,454.4116999999993
Corporate,2014,Office Supplies,Appliances,107,5598.986000000001,1122.7071999999991
Home Office,2014,Office Supplies,Appliances,46,3043.067,882.3809999999999
Consumer,2014,Office Supplies,Art,342,2829.398,698.2742
Corporate,2014,Office Supplies,Art,186,2430.342,516.8922
Home Office,2014,Office Supplies,Art,85,798.2420000000001,191.6367
Consumer,2014,Office Supplies,Binders,598,30153.23399999999,2320.713400000002
Corporate,2014,Office Supplies,Binders,323,9812.920999999993,1849.1154999999992
Home Office,2014,Office Supplies,Binders,168,3522.1099999999988,569.8870999999996
Consumer,2014,Office Supplies,Envelopes,115,2171.074,828.2823999999997
Corporate,2014,Office Supplies,Envelopes,65,1150.682,460.92619999999994
Home Office,2014,Office Supplies,Envelopes,26,533.994,206.2702
Consumer,2014,Office Supplies,Fasteners,99,314.89,100.81660000000001
Corporate,2014,Office Supplies,Fasteners,67,195.70800000000003,66.9539
Home Office,2014,Office Supplies,Fasteners,35,150.73,10.787799999999995
Consumer,2014,Office Supplies,Labels,136,1020.8839999999999,466.3033999999999
Corporate,2014,Office Supplies,Labels,121,1441.8960000000002,664.3639999999999
Home Office,2014,Office Supplies,Labels,69,378.614,155.33679999999998
Consumer,2014,Office Supplies,Paper,527,7114.968000000005,2886.096799999999
Corporate,2014,Office Supplies,Paper,319,5617.796000000001,2540.9588000000003
Home Office,2014,Office Supplies,Paper,171,2102.192,943.9658
Consumer,2014,Office Supplies,Storage,361,25226.216000000004,1492.5353
Corporate,2014,Office Supplies,Storage,233,17624.338,1663.9595999999997
Home Office,2014,Office Supplies,Storage,79,7478.487999999998,1009.7839
Consumer,2014,Office Supplies,Supplies,78,8924.507999999998,347.07459999999963
Corporate,2014,Office Supplies,Supplies,38,5065.595999999999,132.21500000000012
Home Office,2014,Office Supplies,Supplies,14,403.966,10.766000000000004
Consumer,2014,Technology,Accessories,336,14298.611999999997,3056.8097
Corporate,2014,Technology,Accessories,159,5241.545999999999,1659.5959000000005
Home Office,2014,Technology,Accessories,85,5474.1140000000005,1686.3093999999999
Consumer,2014,Technology,Copiers,25,9579.816,2502.9528
Corporate,2014,Technology,Copiers,3,719.9760000000001,134.9955
Home Office,2014,Technology,Copiers,1,549.99,274.995
Consumer,2014,Technology,Machines,54,25339.603,753.1882999999968
Corporate,2014,Technology,Machines,23,7307.142,-1154.6373000000008
Home Office,2014,Technology,Machines,19,29376.628,770.6178999999979
Consumer,2014,Technology,Phones,359,46391.06399999999,6776.5741
Corporate,2014,Technology,Phones,200,21127.670000000002,3493.9303999999984
Home Office,2014,Technology,Phones,125,9872.072,1537.5007999999996
