Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Discount),Sum(Orders.Profit)
2014,Central,Furniture,Bookcases,1.56,-133.64569999999998
2015,Central,Furniture,Bookcases,3.4399999999999995,-885.1924000000004
2016,Central,Furniture,Bookcases,2.52,-468.0408
2017,Central,Furniture,Bookcases,4.119999999999999,-511.0254000000002
2014,Central,Furniture,Chairs,7.1999999999999975,699.2616999999998
2015,Central,Furniture,Chairs,5.999999999999998,1676.9477999999992
2016,Central,Furniture,Chairs,8.399999999999999,1504.2379999999998
2017,Central,Furniture,Chairs,8.099999999999998,2712.274599999999
2014,Central,Furniture,Furnishings,18,-246.5090999999999
2015,Central,Furniture,Furnishings,15.599999999999994,-757.6987999999999
2016,Central,Furniture,Furnishings,25.80000000000002,-1582.3255000000001
2017,Central,Furniture,Furnishings,23.400000000000013,-1319.6834
2014,Central,Furniture,Tables,4.899999999999999,-1424.3310000000004
2015,Central,Furniture,Tables,2.8999999999999995,-265.09390000000053
2016,Central,Furniture,Tables,3.499999999999999,292.6210999999996
2017,Central,Furniture,Tables,7.599999999999998,-2162.8466000000008
2014,Central,Office Supplies,Appliances,10.700000000000001,-509.17240000000027
2015,Central,Office Supplies,Appliances,12.700000000000003,-2194.756100000001
2016,Central,Office Supplies,Appliances,10.100000000000001,378.69469999999967
2017,Central,Office Supplies,Appliances,21.70000000000001,-313.3837000000003
2014,Central,Office Supplies,Art,3.2000000000000006,187.84199999999996
2015,Central,Office Supplies,Art,3.0000000000000004,248.07010000000005
2016,Central,Office Supplies,Art,5.400000000000002,261.41529999999995
2017,Central,Office Supplies,Art,9.999999999999996,497.83169999999996
2014,Central,Office Supplies,Binders,43.2,-1375.9358000000036
2015,Central,Office Supplies,Binders,40,1370.1047999999987
2016,Central,Office Supplies,Binders,39.2,2919.336599999998
2017,Central,Office Supplies,Binders,64,-3957.1425000000045
2014,Central,Office Supplies,Envelopes,2.4,570.8482
2015,Central,Office Supplies,Envelopes,1.4,346.95279999999997
2016,Central,Office Supplies,Envelopes,1.9999999999999998,371.9226999999999
2017,Central,Office Supplies,Envelopes,1.7999999999999998,487.80459999999994
2014,Central,Office Supplies,Fasteners,1.9999999999999998,16.063399999999998
2015,Central,Office Supplies,Fasteners,1.2,25.098300000000002
2016,Central,Office Supplies,Fasteners,2.1999999999999997,83.2255
2017,Central,Office Supplies,Fasteners,1.9999999999999998,112.23140000000004
2014,Central,Office Supplies,Labels,1.9999999999999998,481.5508
2015,Central,Office Supplies,Labels,1.5999999999999999,126.73549999999999
2016,Central,Office Supplies,Labels,2.6,204.96179999999998
2017,Central,Office Supplies,Labels,2.4,259.83129999999994
2014,Central,Office Supplies,Paper,9,896.2071
2015,Central,Office Supplies,Paper,6.4,1398.7427
2016,Central,Office Supplies,Paper,11.8,2205.3706999999995
2017,Central,Office Supplies,Paper,14.200000000000003,2471.5800000000004
2014,Central,Office Supplies,Storage,6.200000000000003,344.4393999999999
2015,Central,Office Supplies,Storage,5.200000000000002,437.41569999999933
2016,Central,Office Supplies,Storage,5.600000000000002,778.9764999999998
2017,Central,Office Supplies,Storage,9,409.0048999999998
2014,Central,Office Supplies,Supplies,0.8,10.464900000000004
2015,Central,Office Supplies,Supplies,1.4,21.678799999999995
2016,Central,Office Supplies,Supplies,1.2,-811.7518000000002
2017,Central,Office Supplies,Supplies,1.7999999999999998,117.72000000000007
2014,Central,Technology,Accessories,4.800000000000001,891.2615000000002
2015,Central,Technology,Accessories,5.6,1531.0477
2016,Central,Technology,Accessories,6.8,1888.0898999999997
2017,Central,Technology,Accessories,5.6,2941.231499999999
2014,Central,Technology,Copiers,0.4,1034.978
2015,Central,Technology,Copiers,0.8,5159.9078
2016,Central,Technology,Copiers,0,8399.975999999999
2017,Central,Technology,Copiers,0.6000000000000001,1013.9795000000001
2014,Central,Technology,Machines,2.6999999999999997,-2384.6983000000023
2015,Central,Technology,Machines,1.5,169.5970999999999
2016,Central,Technology,Machines,1,57.31859999999989
2017,Central,Technology,Machines,1.7000000000000002,671.7159999999993
2014,Central,Technology,Phones,4.4,1480.9286999999993
2015,Central,Technology,Phones,5.8,3307.244099999998
2016,Central,Technology,Phones,5.8,3415.1335999999988
2017,Central,Technology,Phones,8.400000000000002,4119.7203
2014,East,Furniture,Bookcases,3.2,-425.58550000000065
2015,East,Furniture,Bookcases,4.6,-987.4247000000008
2016,East,Furniture,Bookcases,4.1,-198.08580000000018
2017,East,Furniture,Bookcases,3.5,443.4641999999997
2014,East,Furniture,Chairs,4.500000000000001,2719.3840000000014
2015,East,Furniture,Chairs,5,2478.8016
2016,East,Furniture,Chairs,7.299999999999995,1782.8010999999997
2017,East,Furniture,Chairs,8.5,2376.783899999999
2014,East,Furniture,Furnishings,4.600000000000001,744.3808999999995
2015,East,Furniture,Furnishings,4.400000000000001,737.0739999999997
2016,East,Furniture,Furnishings,4.800000000000002,2135.1757
2017,East,Furniture,Furnishings,8.200000000000003,2264.7764999999995
2014,East,Furniture,Tables,7.600000000000002,-3537.8375000000005
2015,East,Furniture,Tables,5.6000000000000005,-2275.8641000000007
2016,East,Furniture,Tables,8.100000000000003,-2306.7783
2017,East,Furniture,Tables,8.600000000000003,-2904.9002
2014,East,Office Supplies,Appliances,2.1999999999999997,1411.9621999999997
2015,East,Office Supplies,Appliances,1.5999999999999999,1850.6004999999998
2016,East,Office Supplies,Appliances,3.0000000000000004,2302.6057999999994
2017,East,Office Supplies,Appliances,2.4,2826.2448999999992
2014,East,Office Supplies,Art,3.600000000000001,332.91319999999996
2015,East,Office Supplies,Art,3.800000000000001,400.3931
2016,East,Office Supplies,Art,3.400000000000001,476.9198000000001
