Superstore 2023.Ship Date	Dates.Year	Dates.Quarter	Dates.Month	Sum(Superstore 2023.Profit)
Sunday, January 07, 2018	2020	Q 1	January	10.791
Monday, January 08, 2018	2020	Q 1	January	-56.6589
Wednesday, January 10, 2018	2020	Q 1	January	1343.4814
Friday, January 12, 2018	2020	Q 1	January	-67.0781
Saturday, January 13, 2018	2020	Q 1	January	10.918
Sunday, January 14, 2018	2020	Q 1	January	3.0814
Monday, January 15, 2018	2020	Q 1	January	295.9353
Tuesday, January 16, 2018	2020	Q 1	January	87.3504
Wednesday, January 17, 2018	2020	Q 1	January	65.978
Thursday, January 18, 2018	2020	Q 1	January	253.7875
Saturday, January 20, 2018	2020	Q 1	January	-287.9976
Sunday, January 21, 2018	2020	Q 1	January	6.4864
Tuesday, January 23, 2018	2020	Q 1	January	4.1028
Thursday, January 25, 2018	2020	Q 1	January	15.0828
Friday, January 26, 2018	2020	Q 1	January	569.2867
Saturday, January 27, 2018	2020	Q 1	January	0
Sunday, January 28, 2018	2020	Q 1	January	19.2384
Monday, January 29, 2018	2020	Q 1	January	44.7684
Wednesday, January 31, 2018	2020	Q 1	January	105.5586
Friday, February 02, 2018	2020	Q 1	January	13.1023
Saturday, February 03, 2018	2020	Q 1	January	1.3257
Sunday, February 04, 2018	2020	Q 1	January	11.6502
Tuesday, February 06, 2018	2020	Q 1	January	
Thursday, February 08, 2018	2020	Q 1	January	
Friday, February 09, 2018	2020	Q 1	January	
Saturday, February 10, 2018	2020	Q 1	January	
Monday, February 12, 2018	2020	Q 1	January	
Thursday, February 15, 2018	2020	Q 1	January	
Sunday, February 18, 2018	2020	Q 1	January	
Monday, February 19, 2018	2020	Q 1	January	
Wednesday, February 21, 2018	2020	Q 1	January	
Saturday, February 24, 2018	2020	Q 1	January	
Sunday, February 25, 2018	2020	Q 1	January	
Monday, February 26, 2018	2020	Q 1	January	
Tuesday, February 27, 2018	2020	Q 1	January	
Friday, March 02, 2018	2020	Q 1	January	
Saturday, March 03, 2018	2020	Q 1	January	
Sunday, March 04, 2018	2020	Q 1	January	
Monday, March 05, 2018	2020	Q 1	January	
Tuesday, March 06, 2018	2020	Q 1	January	
Wednesday, March 07, 2018	2020	Q 1	January	
Thursday, March 08, 2018	2020	Q 1	January	
Friday, March 09, 2018	2020	Q 1	January	
Sunday, March 11, 2018	2020	Q 1	January	
Monday, March 12, 2018	2020	Q 1	January	
Tuesday, March 13, 2018	2020	Q 1	January	
Wednesday, March 14, 2018	2020	Q 1	January	
Thursday, March 15, 2018	2020	Q 1	January	
Friday, March 16, 2018	2020	Q 1	January	
Saturday, March 17, 2018	2020	Q 1	January	
Sunday, March 18, 2018	2020	Q 1	January	
Monday, March 19, 2018	2020	Q 1	January	
Tuesday, March 20, 2018	2020	Q 1	January	
Wednesday, March 21, 2018	2020	Q 1	January	
Thursday, March 22, 2018	2020	Q 1	January	
Friday, March 23, 2018	2020	Q 1	January	
Saturday, March 24, 2018	2020	Q 1	January	
Sunday, March 25, 2018	2020	Q 1	January	
Monday, March 26, 2018	2020	Q 1	January	
Wednesday, March 28, 2018	2020	Q 1	January	
Sunday, January 07, 2018	2020	Q 1	February	
Monday, January 08, 2018	2020	Q 1	February	
Wednesday, January 10, 2018	2020	Q 1	February	
Friday, January 12, 2018	2020	Q 1	February	
Saturday, January 13, 2018	2020	Q 1	February	
Sunday, January 14, 2018	2020	Q 1	February	
Monday, January 15, 2018	2020	Q 1	February	
Tuesday, January 16, 2018	2020	Q 1	February	
Wednesday, January 17, 2018	2020	Q 1	February	
Thursday, January 18, 2018	2020	Q 1	February	
Saturday, January 20, 2018	2020	Q 1	February	
Sunday, January 21, 2018	2020	Q 1	February	
Tuesday, January 23, 2018	2020	Q 1	February	
Thursday, January 25, 2018	2020	Q 1	February	
Friday, January 26, 2018	2020	Q 1	February	
Saturday, January 27, 2018	2020	Q 1	February	
Sunday, January 28, 2018	2020	Q 1	February	
Monday, January 29, 2018	2020	Q 1	February	
Wednesday, January 31, 2018	2020	Q 1	February	
Friday, February 02, 2018	2020	Q 1	February	
Saturday, February 03, 2018	2020	Q 1	February	206.316
Sunday, February 04, 2018	2020	Q 1	February	
Tuesday, February 06, 2018	2020	Q 1	February	37.3659
Thursday, February 08, 2018	2020	Q 1	February	51.1432
Friday, February 09, 2018	2020	Q 1	February	98.1349
Saturday, February 10, 2018	2020	Q 1	February	-5.0268
Monday, February 12, 2018	2020	Q 1	February	49.6048
Thursday, February 15, 2018	2020	Q 1	February	293.5285
Sunday, February 18, 2018	2020	Q 1	February	78.4944
Monday, February 19, 2018	2020	Q 1	February	13.275
Wednesday, February 21, 2018	2020	Q 1	February	-15.658
Saturday, February 24, 2018	2020	Q 1	February	21.836
Sunday, February 25, 2018	2020	Q 1	February	-13.7175
Monday, February 26, 2018	2020	Q 1	February	29.3404
Tuesday, February 27, 2018	2020	Q 1	February	-4.5225
Friday, March 02, 2018	2020	Q 1	February	18.7893
Saturday, March 03, 2018	2020	Q 1	February	3.4048
Sunday, March 04, 2018	2020	Q 1	February	
Monday, March 05, 2018	2020	Q 1	February	
Tuesday, March 06, 2018	2020	Q 1	February	
Wednesday, March 07, 2018	2020	Q 1	February	
Thursday, March 08, 2018	2020	Q 1	February	
Friday, March 09, 2018	2020	Q 1	February	
Sunday, March 11, 2018	2020	Q 1	February	
Monday, March 12, 2018	2020	Q 1	February	
Tuesday, March 13, 2018	2020	Q 1	February	
Wednesday, March 14, 2018	2020	Q 1	February	
Thursday, March 15, 2018	2020	Q 1	February	
Friday, March 16, 2018	2020	Q 1	February	
Saturday, March 17, 2018	2020	Q 1	February	
Sunday, March 18, 2018	2020	Q 1	February	
Monday, March 19, 2018	2020	Q 1	February	
Tuesday, March 20, 2018	2020	Q 1	February	
Wednesday, March 21, 2018	2020	Q 1	February	
Thursday, March 22, 2018	2020	Q 1	February	
Friday, March 23, 2018	2020	Q 1	February	
Saturday, March 24, 2018	2020	Q 1	February	
Sunday, March 25, 2018	2020	Q 1	February	
Monday, March 26, 2018	2020	Q 1	February	
Wednesday, March 28, 2018	2020	Q 1	February	
Sunday, January 07, 2018	2020	Q 1	March	
Monday, January 08, 2018	2020	Q 1	March	
Wednesday, January 10, 2018	2020	Q 1	March	
Friday, January 12, 2018	2020	Q 1	March	
Saturday, January 13, 2018	2020	Q 1	March	
Sunday, January 14, 2018	2020	Q 1	March	
Monday, January 15, 2018	2020	Q 1	March	
Tuesday, January 16, 2018	2020	Q 1	March	
Wednesday, January 17, 2018	2020	Q 1	March	
Thursday, January 18, 2018	2020	Q 1	March	
Saturday, January 20, 2018	2020	Q 1	March	
Sunday, January 21, 2018	2020	Q 1	March	
Tuesday, January 23, 2018	2020	Q 1	March	
Thursday, January 25, 2018	2020	Q 1	March	
Friday, January 26, 2018	2020	Q 1	March	
Saturday, January 27, 2018	2020	Q 1	March	
Sunday, January 28, 2018	2020	Q 1	March	
Monday, January 29, 2018	2020	Q 1	March	
Wednesday, January 31, 2018	2020	Q 1	March	
Friday, February 02, 2018	2020	Q 1	March	
Saturday, February 03, 2018	2020	Q 1	March	
Sunday, February 04, 2018	2020	Q 1	March	
Tuesday, February 06, 2018	2020	Q 1	March	
Thursday, February 08, 2018	2020	Q 1	March	
Friday, February 09, 2018	2020	Q 1	March	
Saturday, February 10, 2018	2020	Q 1	March	
Monday, February 12, 2018	2020	Q 1	March	
Thursday, February 15, 2018	2020	Q 1	March	
Sunday, February 18, 2018	2020	Q 1	March	
Monday, February 19, 2018	2020	Q 1	March	
Wednesday, February 21, 2018	2020	Q 1	March	
Saturday, February 24, 2018	2020	Q 1	March	
Sunday, February 25, 2018	2020	Q 1	March	
Monday, February 26, 2018	2020	Q 1	March	
Tuesday, February 27, 2018	2020	Q 1	March	
Friday, March 02, 2018	2020	Q 1	March	
Saturday, March 03, 2018	2020	Q 1	March	
Sunday, March 04, 2018	2020	Q 1	March	17.745
Monday, March 05, 2018	2020	Q 1	March	-225.9927
Tuesday, March 06, 2018	2020	Q 1	March	84.6764
Wednesday, March 07, 2018	2020	Q 1	March	-514.1357
Thursday, March 08, 2018	2020	Q 1	March	148.8963
Friday, March 09, 2018	2020	Q 1	March	2.3328
Sunday, March 11, 2018	2020	Q 1	March	33.64
Monday, March 12, 2018	2020	Q 1	March	85.5106
Tuesday, March 13, 2018	2020	Q 1	March	223.9838
Wednesday, March 14, 2018	2020	Q 1	March	59.7564
Thursday, March 15, 2018	2020	Q 1	March	2.0748
Friday, March 16, 2018	2020	Q 1	March	3.9884
Saturday, March 17, 2018	2020	Q 1	March	159.7892
Sunday, March 18, 2018	2020	Q 1	March	37.8722
Monday, March 19, 2018	2020	Q 1	March	365.5412
Tuesday, March 20, 2018	2020	Q 1	March	41.1528
Wednesday, March 21, 2018	2020	Q 1	March	-820.2375
Thursday, March 22, 2018	2020	Q 1	March	6.512
Friday, March 23, 2018	2020	Q 1	March	-1789.7327
Saturday, March 24, 2018	2020	Q 1	March	872.7256
Sunday, March 25, 2018	2020	Q 1	March	1055.3735
Monday, March 26, 2018	2020	Q 1	March	69.4759
Wednesday, March 28, 2018	2020	Q 1	March	11.703
Sunday, January 07, 2018	2020	Q 2	April	
Monday, January 08, 2018	2020	Q 2	April	
Wednesday, January 10, 2018	2020	Q 2	April	
Friday, January 12, 2018	2020	Q 2	April	
Saturday, January 13, 2018	2020	Q 2	April	
Sunday, January 14, 2018	2020	Q 2	April	
Monday, January 15, 2018	2020	Q 2	April	
Tuesday, January 16, 2018	2020	Q 2	April	
Wednesday, January 17, 2018	2020	Q 2	April	
Thursday, January 18, 2018	2020	Q 2	April	
Saturday, January 20, 2018	2020	Q 2	April	
Sunday, January 21, 2018	2020	Q 2	April	
Tuesday, January 23, 2018	2020	Q 2	April	
Thursday, January 25, 2018	2020	Q 2	April	
Friday, January 26, 2018	2020	Q 2	April	
Saturday, January 27, 2018	2020	Q 2	April	
Sunday, January 28, 2018	2020	Q 2	April	
Monday, January 29, 2018	2020	Q 2	April	
Wednesday, January 31, 2018	2020	Q 2	April	
Friday, February 02, 2018	2020	Q 2	April	
Saturday, February 03, 2018	2020	Q 2	April	
Sunday, February 04, 2018	2020	Q 2	April	
Tuesday, February 06, 2018	2020	Q 2	April	
Thursday, February 08, 2018	2020	Q 2	April	
Friday, February 09, 2018	2020	Q 2	April	
Saturday, February 10, 2018	2020	Q 2	April	
Monday, February 12, 2018	2020	Q 2	April	
Thursday, February 15, 2018	2020	Q 2	April	
Sunday, February 18, 2018	2020	Q 2	April	
Monday, February 19, 2018	2020	Q 2	April	
Wednesday, February 21, 2018	2020	Q 2	April	
Saturday, February 24, 2018	2020	Q 2	April	
Sunday, February 25, 2018	2020	Q 2	April	
Monday, February 26, 2018	2020	Q 2	April	
Tuesday, February 27, 2018	2020	Q 2	April	
Friday, March 02, 2018	2020	Q 2	April	
Saturday, March 03, 2018	2020	Q 2	April	
Sunday, March 04, 2018	2020	Q 2	April	
Monday, March 05, 2018	2020	Q 2	April	
Tuesday, March 06, 2018	2020	Q 2	April	
Wednesday, March 07, 2018	2020	Q 2	April	
Thursday, March 08, 2018	2020	Q 2	April	
Friday, March 09, 2018	2020	Q 2	April	
Sunday, March 11, 2018	2020	Q 2	April	
Monday, March 12, 2018	2020	Q 2	April	
Tuesday, March 13, 2018	2020	Q 2	April	
Wednesday, March 14, 2018	2020	Q 2	April	
Thursday, March 15, 2018	2020	Q 2	April	
Friday, March 16, 2018	2020	Q 2	April	
Saturday, March 17, 2018	2020	Q 2	April	
Sunday, March 18, 2018	2020	Q 2	April	
Monday, March 19, 2018	2020	Q 2	April	
Tuesday, March 20, 2018	2020	Q 2	April	
Wednesday, March 21, 2018	2020	Q 2	April	
Thursday, March 22, 2018	2020	Q 2	April	
Friday, March 23, 2018	2020	Q 2	April	
Saturday, March 24, 2018	2020	Q 2	April	
Sunday, March 25, 2018	2020	Q 2	April	
Monday, March 26, 2018	2020	Q 2	April	
Wednesday, March 28, 2018	2020	Q 2	April	
Sunday, January 07, 2018	2020	Q 2	May	
Monday, January 08, 2018	2020	Q 2	May	
Wednesday, January 10, 2018	2020	Q 2	May	
Friday, January 12, 2018	2020	Q 2	May	
Saturday, January 13, 2018	2020	Q 2	May	
Sunday, January 14, 2018	2020	Q 2	May	
Monday, January 15, 2018	2020	Q 2	May	
Tuesday, January 16, 2018	2020	Q 2	May	
Wednesday, January 17, 2018	2020	Q 2	May	
Thursday, January 18, 2018	2020	Q 2	May	
Saturday, January 20, 2018	2020	Q 2	May	
Sunday, January 21, 2018	2020	Q 2	May	
Tuesday, January 23, 2018	2020	Q 2	May	
Thursday, January 25, 2018	2020	Q 2	May	
Friday, January 26, 2018	2020	Q 2	May	
Saturday, January 27, 2018	2020	Q 2	May	
Sunday, January 28, 2018	2020	Q 2	May	
Monday, January 29, 2018	2020	Q 2	May	
Wednesday, January 31, 2018	2020	Q 2	May	
Friday, February 02, 2018	2020	Q 2	May	
Saturday, February 03, 2018	2020	Q 2	May	
Sunday, February 04, 2018	2020	Q 2	May	
Tuesday, February 06, 2018	2020	Q 2	May	
Thursday, February 08, 2018	2020	Q 2	May	
Friday, February 09, 2018	2020	Q 2	May	
Saturday, February 10, 2018	2020	Q 2	May	
Monday, February 12, 2018	2020	Q 2	May	
Thursday, February 15, 2018	2020	Q 2	May	
Sunday, February 18, 2018	2020	Q 2	May	
Monday, February 19, 2018	2020	Q 2	May	
Wednesday, February 21, 2018	2020	Q 2	May	
Saturday, February 24, 2018	2020	Q 2	May	
Sunday, February 25, 2018	2020	Q 2	May	
Monday, February 26, 2018	2020	Q 2	May	
Tuesday, February 27, 2018	2020	Q 2	May	
