Superstore 2023.Order Date	Superstore 2023.Category	Superstore 2023.Sub-Category	Min(Superstore 2023.Ship Date)	Sum(Superstore 2023.Sales)
Friday, January 03, 2020	Furniture	Bookcases		
Saturday, January 04, 2020	Furniture	Bookcases		
Sunday, January 05, 2020	Furniture	Bookcases		
Monday, January 06, 2020	Furniture	Bookcases		
Tuesday, January 07, 2020	Furniture	Bookcases		
Thursday, January 09, 2020	Furniture	Bookcases		
Friday, January 10, 2020	Furniture	Bookcases		
Saturday, January 11, 2020	Furniture	Bookcases		
Monday, January 13, 2020	Furniture	Bookcases	2018-01-17T18:30:00.000Z	333.999
Tuesday, January 14, 2020	Furniture	Bookcases	2018-01-14T18:30:00.000Z	61.96
Wednesday, January 15, 2020	Furniture	Bookcases		
Thursday, January 16, 2020	Furniture	Bookcases		
Saturday, January 18, 2020	Furniture	Bookcases		
Sunday, January 19, 2020	Furniture	Bookcases	2018-01-19T18:30:00.000Z	181.47
Monday, January 20, 2020	Furniture	Bookcases		
Tuesday, January 21, 2020	Furniture	Bookcases		
Thursday, January 23, 2020	Furniture	Bookcases		
Sunday, January 26, 2020	Furniture	Bookcases	2018-01-28T18:30:00.000Z	141.96
Monday, January 27, 2020	Furniture	Bookcases		
Tuesday, January 28, 2020	Furniture	Bookcases		
Thursday, January 30, 2020	Furniture	Bookcases		
Friday, January 31, 2020	Furniture	Bookcases	2018-02-01T18:30:00.000Z	290.666
Saturday, February 01, 2020	Furniture	Bookcases		
Sunday, February 02, 2020	Furniture	Bookcases		
Monday, February 03, 2020	Furniture	Bookcases		
Tuesday, February 04, 2020	Furniture	Bookcases		
Thursday, February 06, 2020	Furniture	Bookcases		
Friday, February 07, 2020	Furniture	Bookcases		
Saturday, February 08, 2020	Furniture	Bookcases		
Tuesday, February 11, 2020	Furniture	Bookcases		
Wednesday, February 12, 2020	Furniture	Bookcases		
Friday, February 14, 2020	Furniture	Bookcases		
Saturday, February 15, 2020	Furniture	Bookcases		
Sunday, February 16, 2020	Furniture	Bookcases		
Monday, February 17, 2020	Furniture	Bookcases		
Tuesday, February 18, 2020	Furniture	Bookcases		
Thursday, February 20, 2020	Furniture	Bookcases		
Friday, February 21, 2020	Furniture	Bookcases		
Saturday, February 22, 2020	Furniture	Bookcases		
Sunday, February 23, 2020	Furniture	Bookcases		
Monday, February 24, 2020	Furniture	Bookcases		
Thursday, February 27, 2020	Furniture	Bookcases		
Sunday, March 01, 2020	Furniture	Bookcases		
Monday, March 02, 2020	Furniture	Bookcases		
Tuesday, March 03, 2020	Furniture	Bookcases	2018-03-07T18:30:00.000Z	302.45
Wednesday, March 04, 2020	Furniture	Bookcases		
Thursday, March 05, 2020	Furniture	Bookcases		
Saturday, March 07, 2020	Furniture	Bookcases		
Tuesday, March 10, 2020	Furniture	Bookcases		
Wednesday, March 11, 2020	Furniture	Bookcases		
Saturday, March 14, 2020	Furniture	Bookcases		
Sunday, March 15, 2020	Furniture	Bookcases		
Monday, March 16, 2020	Furniture	Bookcases		
Tuesday, March 17, 2020	Furniture	Bookcases		
Wednesday, March 18, 2020	Furniture	Bookcases	2018-03-20T18:30:00.000Z	1198.33
Thursday, March 19, 2020	Furniture	Bookcases		
Saturday, March 21, 2020	Furniture	Bookcases		
Sunday, March 22, 2020	Furniture	Bookcases		
Monday, March 23, 2020	Furniture	Bookcases		
Tuesday, March 24, 2020	Furniture	Bookcases		
Friday, January 03, 2020	Furniture	Chairs		
Saturday, January 04, 2020	Furniture	Chairs		
Sunday, January 05, 2020	Furniture	Chairs		
Monday, January 06, 2020	Furniture	Chairs	2018-01-09T18:30:00.000Z	2573.82
Tuesday, January 07, 2020	Furniture	Chairs		
Thursday, January 09, 2020	Furniture	Chairs		
Friday, January 10, 2020	Furniture	Chairs		
Saturday, January 11, 2020	Furniture	Chairs		
Monday, January 13, 2020	Furniture	Chairs	2018-01-15T18:30:00.000Z	545.94
Tuesday, January 14, 2020	Furniture	Chairs		
Wednesday, January 15, 2020	Furniture	Chairs		
Thursday, January 16, 2020	Furniture	Chairs		
Saturday, January 18, 2020	Furniture	Chairs		
Sunday, January 19, 2020	Furniture	Chairs		
Monday, January 20, 2020	Furniture	Chairs	2018-01-25T18:30:00.000Z	1067.94
Tuesday, January 21, 2020	Furniture	Chairs		
Thursday, January 23, 2020	Furniture	Chairs		
Sunday, January 26, 2020	Furniture	Chairs		
Monday, January 27, 2020	Furniture	Chairs		
Tuesday, January 28, 2020	Furniture	Chairs		
Thursday, January 30, 2020	Furniture	Chairs		
Friday, January 31, 2020	Furniture	Chairs		
Saturday, February 01, 2020	Furniture	Chairs		
Sunday, February 02, 2020	Furniture	Chairs		
Monday, February 03, 2020	Furniture	Chairs		
Tuesday, February 04, 2020	Furniture	Chairs		
Thursday, February 06, 2020	Furniture	Chairs		
Friday, February 07, 2020	Furniture	Chairs		
Saturday, February 08, 2020	Furniture	Chairs		
Tuesday, February 11, 2020	Furniture	Chairs	2018-02-14T18:30:00.000Z	60.89
Wednesday, February 12, 2020	Furniture	Chairs	2018-02-17T18:30:00.000Z	129.568
Friday, February 14, 2020	Furniture	Chairs		
Saturday, February 15, 2020	Furniture	Chairs		
Sunday, February 16, 2020	Furniture	Chairs		
Monday, February 17, 2020	Furniture	Chairs		
Tuesday, February 18, 2020	Furniture	Chairs		
Thursday, February 20, 2020	Furniture	Chairs		
Friday, February 21, 2020	Furniture	Chairs		
Saturday, February 22, 2020	Furniture	Chairs		
Sunday, February 23, 2020	Furniture	Chairs		
Monday, February 24, 2020	Furniture	Chairs		
Thursday, February 27, 2020	Furniture	Chairs		
Sunday, March 01, 2020	Furniture	Chairs	2018-03-04T18:30:00.000Z	1453.934
Monday, March 02, 2020	Furniture	Chairs		
Tuesday, March 03, 2020	Furniture	Chairs		
Wednesday, March 04, 2020	Furniture	Chairs		
Thursday, March 05, 2020	Furniture	Chairs		
Saturday, March 07, 2020	Furniture	Chairs	2018-03-07T18:30:00.000Z	966.984
Tuesday, March 10, 2020	Furniture	Chairs		
Wednesday, March 11, 2020	Furniture	Chairs		
Saturday, March 14, 2020	Furniture	Chairs	2018-03-18T18:30:00.000Z	1139.92
Sunday, March 15, 2020	Furniture	Chairs		
Monday, March 16, 2020	Furniture	Chairs		
Tuesday, March 17, 2020	Furniture	Chairs		
Wednesday, March 18, 2020	Furniture	Chairs		
Thursday, March 19, 2020	Furniture	Chairs		
Saturday, March 21, 2020	Furniture	Chairs	2018-03-24T18:30:00.000Z	218.376
Sunday, March 22, 2020	Furniture	Chairs	2018-03-25T18:30:00.000Z	314.352
Monday, March 23, 2020	Furniture	Chairs		
Tuesday, March 24, 2020	Furniture	Chairs		
Friday, January 03, 2020	Furniture	Furnishings		
Saturday, January 04, 2020	Furniture	Furnishings		
Sunday, January 05, 2020	Furniture	Furnishings		
Monday, January 06, 2020	Furniture	Furnishings		
Tuesday, January 07, 2020	Furniture	Furnishings	2018-01-11T18:30:00.000Z	76.728
Thursday, January 09, 2020	Furniture	Furnishings		
Friday, January 10, 2020	Furniture	Furnishings	2018-01-14T18:30:00.000Z	51.94
Saturday, January 11, 2020	Furniture	Furnishings	2018-01-13T18:30:00.000Z	9.94
Monday, January 13, 2020	Furniture	Furnishings		
Tuesday, January 14, 2020	Furniture	Furnishings		
Wednesday, January 15, 2020	Furniture	Furnishings		
Thursday, January 16, 2020	Furniture	Furnishings	2018-01-17T18:30:00.000Z	127.104
Saturday, January 18, 2020	Furniture	Furnishings		
Sunday, January 19, 2020	Furniture	Furnishings		
Monday, January 20, 2020	Furniture	Furnishings	2018-01-24T18:30:00.000Z	345.57
