Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Region,Orders.Ship Mode,Sum(Orders.Quantity),Sum(Orders.Profit)
2014,Central,First Class,227,1750.2593999999997
2015,Central,First Class,187,2287.6777999999995
2016,Central,First Class,255,-104.8591000000005
2017,Central,First Class,487,-225.8109000000018
2018,Central,First Class,,
2014,Central,Same Day,36,-397.67600000000016
2015,Central,Same Day,119,82.63260000000015
2016,Central,Same Day,73,787.9077999999998
2017,Central,Same Day,164,1059.0152999999993
2018,Central,Same Day,,
2014,Central,Second Class,293,1001.2446999999985
2015,Central,Second Class,418,2762.8809999999994
2016,Central,Second Class,524,2676.8291999999956
2017,Central,Second Class,560,2673.8799999999974
2018,Central,Second Class,,
2014,Central,Standard Class,1126,-1925.4060999999983
2015,Central,Standard Class,1100,6638.396200000005
2016,Central,Standard Class,1517,16487.6928
2017,Central,Standard Class,1634,4095.9800000000027
2018,Central,Standard Class,60,55.71780000000002
2014,East,First Class,263,2576.8786999999993
2015,East,First Class,464,3163.5295
2016,East,First Class,466,2503.3854
2017,East,First Class,612,7488.220499999993
2018,East,First Class,,
2014,East,Same Day,120,2030.2423000000008
2015,East,Same Day,125,3748.6489999999994
2016,East,Same Day,166,1314.1016999999997
2017,East,Same Day,162,887.2739999999995
2018,East,Same Day,,
2014,East,Second Class,392,1694.3718999999994
2015,East,Second Class,456,4526.595299999999
2016,East,Second Class,483,1435.7900999999997
2017,East,Second Class,695,3130.5335000000014
2018,East,Second Class,,
2014,East,Standard Class,1124,8979.899800000007
2015,East,Standard Class,1417,11419.958400000027
2016,East,Standard Class,1709,14889.841500000026
2017,East,Standard Class,1929,21642.438200000015
2018,East,Standard Class,35,91.07019999999996
2014,South,First Class,187,1567.5684000000006
2015,South,First Class,142,1104.5755999999994
2016,South,First Class,207,2870.1368000000016
2017,South,First Class,294,1350.104600000002
2018,South,First Class,,
2014,South,Same Day,85,428.88849999999996
2015,South,Same Day,44,86.97409999999995
2016,South,Same Day,117,969.6287
2017,South,Same Day,78,-3247.8262999999993
2018,South,Same Day,,
2014,South,Second Class,273,2196.4075999999986
2015,South,Second Class,167,-1459.5570000000007
2016,South,Second Class,395,6424.9018
2017,South,Second Class,445,7010.529599999998
2018,South,Second Class,14,494.8648999999999
2014,South,Standard Class,781,7499.078500000004
2015,South,Standard Class,977,8495.398100000006
2016,South,Standard Class,899,7708.149900000006
2017,South,Standard Class,1103,3262.5632999999984
2018,South,Standard Class,1,-12.956800000000005
2014,West,First Class,347,3116.7255999999998
2015,West,First Class,322,3652.7584000000006
2016,West,First Class,513,4131.134799999999
2017,West,First Class,720,11737.554399999992
2018,West,First Class,,
2014,West,Same Day,115,694.0522999999998
2015,West,Same Day,95,409.17179999999973
2016,West,Same Day,200,2368.8109999999997
2017,West,Same Day,261,4669.9121
2018,West,Same Day,,
2014,West,Second Class,470,4890.984499999999
2015,West,Second Class,530,4566.920699999999
2016,West,Second Class,450,6139.9961
2017,West,Second Class,854,7068.967899999998
2018,West,Second Class,4,210.4935999999999
2014,West,Standard Class,1526,11189.205399999997
2015,West,Standard Class,1546,11394.968399999985
2016,West,Standard Class,1849,12337.653199999984
2017,West,Standard Class,2427,19743.539000000008
2018,West,Standard Class,37,95.59969999999998
