Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Region,Sum(Orders.Sales)
2014,Central,102899.86060000007
2015,Central,103222.57800000001
2016,Central,147071.3820000001
2017,Central,147145.74539999993
2018,Central,900.3248
2014,East,119992.24299999997
2015,East,164991.71099999998
2016,East,180090.39800000007
2017,East,213105.52200000017
2018,East,601.366
2014,South,103284.79550000001
2015,South,71324.54849999999
2016,South,94019.8774999999
2017,South,121213.2195
2018,South,1879.464
2014,West,144206.29399999997
2015,West,139903.66449999987
2016,West,190144.0955
2017,West,249425.22850000046
2018,West,1778.542
