Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Region,Orders.Category,Orders.Segment,Sum(Orders.Profit)
Qtr 1,Central,Furniture,Consumer,-1287.7589000000007
Qtr 2,Central,Furniture,Consumer,-1437.3847000000005
Qtr 3,Central,Furniture,Consumer,-1128.1616000000006
Qtr 4,Central,Furniture,Consumer,-141.12899999999922
Qtr 1,Central,Furniture,Corporate,1010.9846999999995
Qtr 2,Central,Furniture,Corporate,1722.1184999999991
Qtr 3,Central,Furniture,Corporate,-644.0003999999998
Qtr 4,Central,Furniture,Corporate,232.89109999999891
Qtr 1,Central,Furniture,Home Office,-980.7515999999999
Qtr 2,Central,Furniture,Home Office,-174.47850000000048
Qtr 3,Central,Furniture,Home Office,-298.20020000000017
Qtr 4,Central,Furniture,Home Office,254.82119999999986
Qtr 1,Central,Office Supplies,Consumer,969.5876999999963
Qtr 2,Central,Office Supplies,Consumer,-2867.1099000000027
Qtr 3,Central,Office Supplies,Consumer,1100.5914000000027
Qtr 4,Central,Office Supplies,Consumer,3380.074000000011
Qtr 1,Central,Office Supplies,Corporate,-1136.4215000000002
Qtr 2,Central,Office Supplies,Corporate,1462.9287000000004
Qtr 3,Central,Office Supplies,Corporate,-136.63910000000033
Qtr 4,Central,Office Supplies,Corporate,-90.57329999999891
Qtr 1,Central,Office Supplies,Home Office,639.5347000000002
Qtr 2,Central,Office Supplies,Home Office,3485.6928999999996
Qtr 3,Central,Office Supplies,Home Office,181.62319999999917
Qtr 4,Central,Office Supplies,Home Office,1890.6910999999996
Qtr 1,Central,Technology,Consumer,1636.4419000000003
Qtr 2,Central,Technology,Consumer,1879.5573999999997
Qtr 3,Central,Technology,Consumer,1643.5019999999972
Qtr 4,Central,Technology,Consumer,4815.8377999999975
Qtr 1,Central,Technology,Corporate,1752.1517
Qtr 2,Central,Technology,Corporate,642.8498
Qtr 3,Central,Technology,Corporate,1209.649899999999
Qtr 4,Central,Technology,Corporate,12677.961900000002
Qtr 1,Central,Technology,Home Office,961.9044999999999
Qtr 2,Central,Technology,Home Office,1112.4124
Qtr 3,Central,Technology,Home Office,2095.6677
Qtr 4,Central,Technology,Home Office,3269.494999999999
Qtr 1,East,Furniture,Consumer,17.15439999999967
Qtr 2,East,Furniture,Consumer,840.4726000000003
Qtr 3,East,Furniture,Consumer,-482.79410000000036
Qtr 4,East,Furniture,Consumer,1663.2792999999992
Qtr 1,East,Furniture,Corporate,-1500.1026
Qtr 2,East,Furniture,Corporate,-550.3183000000001
Qtr 3,East,Furniture,Corporate,1462.7063999999993
Qtr 4,East,Furniture,Corporate,929.8401999999992
Qtr 1,East,Furniture,Home Office,-178.10120000000018
Qtr 2,East,Furniture,Home Office,-349.7123
Qtr 3,East,Furniture,Home Office,-41.90960000000038
Qtr 4,East,Furniture,Home Office,1235.6509999999998
Qtr 1,East,Office Supplies,Consumer,4046.0032999999967
Qtr 2,East,Office Supplies,Consumer,5371.908500000002
Qtr 3,East,Office Supplies,Consumer,3895.570900000002
Qtr 4,East,Office Supplies,Consumer,5909.210000000006
Qtr 1,East,Office Supplies,Corporate,1836.0608999999997
Qtr 2,East,Office Supplies,Corporate,1254.5672000000009
Qtr 3,East,Office Supplies,Corporate,3400.0730999999982
Qtr 4,East,Office Supplies,Corporate,6966.963799999995
Qtr 1,East,Office Supplies,Home Office,297.2308
Qtr 2,East,Office Supplies,Home Office,2074.134600000001
