Sample Data.إسم الحزمة,Sample Data.Project Title,Sample Data.إسم المشروع,Sample Data.Contractor,Sum(Sample Data.% الإنجاز الفعلي),Sum(Sample Data.Pkg Sequence)
إستكمال نواقص مسارات الدراجات الهوائية,Roads Beautification,تجميل الطرق,بالميرا الزراعية,0.49750000000000005,45
أعمال التجميل لشاطئ رأس بو عبود,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
اعمال التصميم الخاصة بمشروع تجميل طريق مطار حمد الدولي,Roads Beautification,تجميل الطرق,بالميرا الزراعية,0,15
أعمال إنترلوك عند الديوان الأميري الخاص,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
أعمال إنشاء مسارات الدراجات الهوائية بمنطقة لخوير,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
أعمال تجميل المناطق حول شارع خليفة، جاسم بن حمد، الجزيرة العربية وعمر بن الخطاب,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
أعمال تجميل بمنطقة الخوير,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
أعمال تجميل بمنطقة وادي السيل,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
أعمال تجميل حول مجمع إحتفالات الرفاع,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
أعمال تجميل حول ملاعب تدريب الوحدة,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
الطريق الواصل بين قصر الوجبة ودوار الحرس الاميري,Roads Beautification,تجميل الطرق,بالميرا الزراعية,4.5,40
المنطقة بجانب قصر المرمر,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
بلازا بجانب مكتب بريد قطر,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
بلازا بمنطقة الخليج الغربي,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
تجميل طريق المجد,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
جزء من الطريق المؤدي إلي إستاد البيت و الطريق الواصل الي مدينة الخور,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
دوار المريخ,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
شارع الإستقلال,Roads Beautification,تجميل الطرق,بالميرا الزراعية,4.915,25
شارع الإستقلال - المرحلة الثانية,Roads Beautification,تجميل الطرق,بالميرا الزراعية,4.42,50
شارع الجامعة,Roads Beautification,تجميل الطرق,بالميرا الزراعية,3.7195,60
شارع الخفجي,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
شارع السوق المركزي,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
شارع الشمال من تقاطع الجوازات إلى دوحة فاستيفال,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
شارع الطرفة,Roads Beautification,تجميل الطرق,بالميرا الزراعية,0.7000000000000001,10
شارع العنابي,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
شارع اللقطيفية و شارع البحيرة,Roads Beautification,تجميل الطرق,بالميرا الزراعية,4.868,5
شارع المرخية,Roads Beautification,تجميل الطرق,بالميرا الزراعية,4.784,15
شارع الوعب (جزء من الشارع),Roads Beautification,تجميل الطرق,بالميرا الزراعية,4.915,30
شارع جامعة الدول العربية,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
شارع جامعة الدول العربية - المرحلة الثانية,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
شارع جليعة,Roads Beautification,تجميل الطرق,بالميرا الزراعية,4.124499999999999,20
طرق بمنطقة الخليج الغربي,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
طريق الوكرة,Roads Beautification,تجميل الطرق,بالميرا الزراعية,5,35
مشروع النجادة التجريبي,Roads Beautification,تجميل الطرق,بالميرا الزراعية,,
إستكمال نواقص مسارات الدراجات الهوائية,Roads Beautification,تجميل الطرق,النخيل,,
أعمال التجميل لشاطئ رأس بو عبود,Roads Beautification,تجميل الطرق,النخيل,,
اعمال التصميم الخاصة بمشروع تجميل طريق مطار حمد الدولي,Roads Beautification,تجميل الطرق,النخيل,,
أعمال إنترلوك عند الديوان الأميري الخاص,Roads Beautification,تجميل الطرق,النخيل,,
أعمال إنشاء مسارات الدراجات الهوائية بمنطقة لخوير,Roads Beautification,تجميل الطرق,النخيل,0.9155000000000001,120
أعمال تجميل المناطق حول شارع خليفة، جاسم بن حمد، الجزيرة العربية وعمر بن الخطاب,Roads Beautification,تجميل الطرق,النخيل,,
أعمال تجميل بمنطقة الخوير,Roads Beautification,تجميل الطرق,النخيل,4.5155,100
أعمال تجميل بمنطقة وادي السيل,Roads Beautification,تجميل الطرق,النخيل,4.955,125
أعمال تجميل حول مجمع إحتفالات الرفاع,Roads Beautification,تجميل الطرق,النخيل,,
أعمال تجميل حول ملاعب تدريب الوحدة,Roads Beautification,تجميل الطرق,النخيل,4.8345,95
الطريق الواصل بين قصر الوجبة ودوار الحرس الاميري,Roads Beautification,تجميل الطرق,النخيل,,
المنطقة بجانب قصر المرمر,Roads Beautification,تجميل الطرق,النخيل,,
بلازا بجانب مكتب بريد قطر,Roads Beautification,تجميل الطرق,النخيل,,
بلازا بمنطقة الخليج الغربي,Roads Beautification,تجميل الطرق,النخيل,,
تجميل طريق المجد,Roads Beautification,تجميل الطرق,النخيل,,
جزء من الطريق المؤدي إلي إستاد البيت و الطريق الواصل الي مدينة الخور,Roads Beautification,تجميل الطرق,النخيل,,
دوار المريخ,Roads Beautification,تجميل الطرق,النخيل,4.9,5
شارع الإستقلال,Roads Beautification,تجميل الطرق,النخيل,,
شارع الإستقلال - المرحلة الثانية,Roads Beautification,تجميل الطرق,النخيل,,
شارع الجامعة,Roads Beautification,تجميل الطرق,النخيل,,
شارع الخفجي,Roads Beautification,تجميل الطرق,النخيل,4.83,10
شارع السوق المركزي,Roads Beautification,تجميل الطرق,النخيل,,
شارع الشمال من تقاطع الجوازات إلى دوحة فاستيفال,Roads Beautification,تجميل الطرق,النخيل,0.8494999999999999,65
شارع الطرفة,Roads Beautification,تجميل الطرق,النخيل,,
شارع العنابي,Roads Beautification,تجميل الطرق,النخيل,,
شارع اللقطيفية و شارع البحيرة,Roads Beautification,تجميل الطرق,النخيل,,
شارع المرخية,Roads Beautification,تجميل الطرق,النخيل,,
شارع الوعب (جزء من الشارع),Roads Beautification,تجميل الطرق,النخيل,,
شارع جامعة الدول العربية,Roads Beautification,تجميل الطرق,النخيل,,
شارع جامعة الدول العربية - المرحلة الثانية,Roads Beautification,تجميل الطرق,النخيل,0.5565,145
شارع جليعة,Roads Beautification,تجميل الطرق,النخيل,,
طرق بمنطقة الخليج الغربي,Roads Beautification,تجميل الطرق,النخيل,3.008,15
طريق الوكرة,Roads Beautification,تجميل الطرق,النخيل,,
مشروع النجادة التجريبي,Roads Beautification,تجميل الطرق,النخيل,,
إستكمال نواقص مسارات الدراجات الهوائية,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
أعمال التجميل لشاطئ رأس بو عبود,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
اعمال التصميم الخاصة بمشروع تجميل طريق مطار حمد الدولي,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
أعمال إنترلوك عند الديوان الأميري الخاص,Roads Beautification,تجميل الطرق,بووم للانشاءات,4.5405,155
أعمال إنشاء مسارات الدراجات الهوائية بمنطقة لخوير,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
أعمال تجميل المناطق حول شارع خليفة، جاسم بن حمد، الجزيرة العربية وعمر بن الخطاب,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
أعمال تجميل بمنطقة الخوير,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
أعمال تجميل بمنطقة وادي السيل,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
أعمال تجميل حول مجمع إحتفالات الرفاع,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
أعمال تجميل حول ملاعب تدريب الوحدة,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
الطريق الواصل بين قصر الوجبة ودوار الحرس الاميري,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
المنطقة بجانب قصر المرمر,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
بلازا بجانب مكتب بريد قطر,Roads Beautification,تجميل الطرق,بووم للانشاءات,0.489,165
بلازا بمنطقة الخليج الغربي,Roads Beautification,تجميل الطرق,بووم للانشاءات,0.513,160
تجميل طريق المجد,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
جزء من الطريق المؤدي إلي إستاد البيت و الطريق الواصل الي مدينة الخور,Roads Beautification,تجميل الطرق,بووم للانشاءات,,
