Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Ship Date.Variation.Date Hierarchy.Quarter,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Quantity)
2014,Qtr 1,Furniture,Bookcases,2510.835,31
2014,Qtr 2,Furniture,Bookcases,1914.3695999999998,23
2014,Qtr 3,Furniture,Bookcases,4676.4188,37
2014,Qtr 4,Furniture,Bookcases,9019.606200000004,53
2015,Qtr 1,Furniture,Bookcases,6629.6376,45
2015,Qtr 2,Furniture,Bookcases,2792.5274999999997,26
2015,Qtr 3,Furniture,Bookcases,17833.4972,95
2015,Qtr 4,Furniture,Bookcases,13042.378199999997,84
2016,Qtr 1,Furniture,Bookcases,3432.3759999999997,27
2016,Qtr 2,Furniture,Bookcases,3186.926,34
2016,Qtr 3,Furniture,Bookcases,9121.177399999999,57
2016,Qtr 4,Furniture,Bookcases,10695.967100000002,80
2017,Qtr 1,Furniture,Bookcases,2123.1714,20
2017,Qtr 2,Furniture,Bookcases,11173.5553,108
2017,Qtr 3,Furniture,Bookcases,6871.0419999999995,55
2017,Qtr 4,Furniture,Bookcases,9454.5222,87
2018,Qtr 1,Furniture,Bookcases,401.9888,6
2014,Qtr 1,Furniture,Chairs,9597.212,61
2014,Qtr 2,Furniture,Chairs,12607.399,99
2014,Qtr 3,Furniture,Chairs,23283.344000000005,134
2014,Qtr 4,Furniture,Chairs,30917.461,237
2015,Qtr 1,Furniture,Chairs,9916.329000000002,76
2015,Qtr 2,Furniture,Chairs,14140.303999999995,104
2015,Qtr 3,Furniture,Chairs,18390.381,134
2015,Qtr 4,Furniture,Chairs,30123.675,223
2016,Qtr 1,Furniture,Chairs,8176.614,67
2016,Qtr 2,Furniture,Chairs,19611.70299999999,137
2016,Qtr 3,Furniture,Chairs,20709.66799999999,149
2016,Qtr 4,Furniture,Chairs,34234.51600000001,250
2017,Qtr 1,Furniture,Chairs,11699.836999999998,73
2017,Qtr 2,Furniture,Chairs,19508.863,139
2017,Qtr 3,Furniture,Chairs,30773.257000000005,201
2017,Qtr 4,Furniture,Chairs,32484.030000000002,254
2018,Qtr 1,Furniture,Chairs,2274.5099999999998,18
2014,Qtr 1,Furniture,Furnishings,1584.8780000000004,79
2014,Qtr 2,Furniture,Furnishings,2196.9620000000004,112
2014,Qtr 3,Furniture,Furnishings,4093.3480000000004,174
2014,Qtr 4,Furniture,Furnishings,5562.321999999999,270
2015,Qtr 1,Furniture,Furnishings,3278.5200000000004,120
2015,Qtr 2,Furniture,Furnishings,6402.823999999999,186
