Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Discount),Sum(Orders.Quantity),Sum(Orders.Profit)
2014,Furniture,Bookcases,18121.2296,7.410000000000001,144,-621.5075000000006
2015,Furniture,Bookcases,40298.040499999996,14.140000000000004,250,-2500.820800000002
2016,Furniture,Bookcases,26436.446499999995,10.270000000000001,198,233.39839999999936
2017,Furniture,Bookcases,29622.290899999996,15.800000000000008,270,-584.1477000000016
2018,Furniture,Bookcases,401.9888,0.52,6,0.521599999999971
2014,Furniture,Chairs,76405.416,22.300000000000015,531,6780.549000000001
2015,Furniture,Chairs,72570.68900000001,21.40000000000001,537,6402.914100000001
2016,Furniture,Chairs,82732.50099999989,29.000000000000036,603,5673.047899999996
2017,Furniture,Chairs,94465.98699999996,31.80000000000004,667,7302.2233
2018,Furniture,Chairs,2274.5099999999998,0.5,18,431.43199999999996
2014,Furniture,Furnishings,13437.509999999995,26.20000000000002,635,1991.0092999999983
2015,Furniture,Furnishings,21463.67599999997,28.200000000000028,790,3045.140499999999
2016,Furniture,Furnishings,27797.203999999987,37.200000000000045,1031,3893.293400000001
2017,Furniture,Furnishings,28818.86599999999,39.60000000000005,1090,4072.5104000000038
2018,Furniture,Furnishings,187.90800000000002,1.2,17,57.19
2014,Furniture,Tables,45564.60149999999,18.55000000000001,267,-2931.9959000000013
2015,Furniture,Tables,39674.18749999999,14.15000000000001,238,-3701.848700000002
2016,Furniture,Tables,60797.7555,22.549999999999997,345,-2926.8392000000017
2017,Furniture,Tables,60928.98750000002,28.09999999999999,391,-8164.797300000001
2018,Furniture,Tables,,,,
2014,Office Supplies,Appliances,13453.505000000001,15.300000000000006,305,1924.9826999999996
2015,Office Supplies,Appliances,25101.408999999992,16.900000000000006,374,3046.412899999999
2016,Office Supplies,Appliances,25923.144999999997,16.100000000000005,391,5267.4654999999975
2017,Office Supplies,Appliances,42844.80200000002,29.30000000000002,657,7842.633299999998
2018,Office Supplies,Appliances,209.3,0,2,56.510999999999996
2014,Office Supplies,Art,6018.4619999999995,11.999999999999995,603,1392.3743
2015,Office Supplies,Art,6273.073999999999,12.799999999999994,617,1498.5358
2016,Office Supplies,Art,5896.412000000001,12.199999999999996,669,1408.0526000000004
2017,Office Supplies,Art,8834.871999999998,22.199999999999996,1105,2212.8305
2018,Office Supplies,Art,95.972,0.4,6,15.9938
2014,Office Supplies,Binders,42884.19400000001,107.1,1071,5185.846800000012
2015,Office Supplies,Binders,36852.649000000056,121.7,1195,6673.135000000001
2016,Office Supplies,Binders,50630.64900000007,146.3,1615,10662.037999999993
2017,Office Supplies,Binders,72800.73699999998,187.89999999999998,2051,7772.849800000002
2018,Office Supplies,Binders,244.504,4,42,-72.10629999999998
2014,Office Supplies,Envelopes,3793.198,5.200000000000002,201,1472.8036999999995
2015,Office Supplies,Envelopes,4303.299999999999,4.800000000000002,239,1860.7176999999997
2016,Office Supplies,Envelopes,5001.3300000000045,4.200000000000001,225,2188.8963000000003
2017,Office Supplies,Envelopes,3378.574,6.200000000000003,241,1441.7590000000002
2018,Office Supplies,Envelopes,,,,
2014,Office Supplies,Fasteners,661.3280000000001,5.200000000000002,201,178.55829999999997
2015,Office Supplies,Fasteners,519.536,3.600000000000001,169,160.9368
2016,Office Supplies,Fasteners,985.8220000000001,4.800000000000002,295,305.07419999999996
2017,Office Supplies,Fasteners,821.0099999999999,4.000000000000001,237,289.52809999999994
2018,Office Supplies,Fasteners,36.584,0.2,12,15.420799999999996
2014,Office Supplies,Labels,2458.9240000000004,5.000000000000001,308,1106.5159999999998
2015,Office Supplies,Labels,3338.931999999999,6.000000000000001,281,1502.5167999999994
2016,Office Supplies,Labels,2818.725999999999,6.600000000000001,360,1189.4186999999995
2017,Office Supplies,Labels,3797.2799999999997,7.400000000000001,444,1713.026499999999
2018,Office Supplies,Labels,72.45,0,7,34.775999999999996
2014,Office Supplies,Paper,14424.735999999999,22.400000000000002,995,6178.4188
2015,Office Supplies,Paper,15611.997999999998,17.400000000000002,1103,6722.7567999999965
2016,Office Supplies,Paper,20618.00199999996,25.6,1363,9067.025099999995
2017,Office Supplies,Paper,27549.707999999977,37,1706,11956.590399999995
2018,Office Supplies,Paper,274.76199999999994,0.2,11,128.7782
2014,Office Supplies,Storage,48218.95399999996,12.599999999999994,647,4051.6625999999983
2015,Office Supplies,Storage,46893.219999999994,13.399999999999993,671,3634.1750999999977
2016,Office Supplies,Storage,58883.274,15.199999999999994,813,6221.334500000001
2017,Office Supplies,Storage,68939.28600000007,21.799999999999994,1017,7139.824899999996
2018,Office Supplies,Storage,908.874,0.2,10,231.82929999999988
2014,Office Supplies,Supplies,14342.92,2.8000000000000003,125,476.7565999999997
2015,Office Supplies,Supplies,1991.384,3.0000000000000004,110,-10.318200000000022
2016,Office Supplies,Supplies,14248.152000000002,4.400000000000001,216,-708.5231000000007
2017,Office Supplies,Supplies,16046.394000000002,4.200000000000001,189,-952.0421999999999
2018,Office Supplies,Supplies,44.688,0.2,7,5.0273999999999965
2014,Technology,Accessories,22436.449999999993,11.200000000000001,550,5351.528699999999
2015,Technology,Accessories,43101.78199999999,15,665,11248.461500000007
2016,Technology,Accessories,41749.934000000016,14.4,677,9650.764500000003
2017,Technology,Accessories,60092.152,20.200000000000003,1084,15685.881000000005
2018,Technology,Accessories,,,,
2014,Technology,Copiers,10849.782000000001,2.1999999999999997,29,2912.9433
2015,Technology,Copiers,26179.45,2.6,63,9930.298799999999
2016,Technology,Copiers,49599.41,2.8,69,17742.792599999993
2017,Technology,Copiers,62899.38799999996,3.4,73,25031.7902
2018,Technology,Copiers,,,,
2014,Technology,Machines,61255.42100000001,8.300000000000002,90,81.18689999999361
2015,Technology,Machines,25983.088999999996,6.700000000000001,94,2978.7546000000007
2016,Technology,Machines,58185.476,9.6,133,3580.987999999991
2017,Technology,Machines,43814.64499999999,10.6,123,-3256.1726000000012
2018,Technology,Machines,,,,
2014,Technology,Phones,76056.56200000005,24.79999999999996,663,11761.091900000005
2015,Technology,Phones,69286.086,29.199999999999957,713,10389.761199999995
2016,Technology,Phones,79021.51400000005,34.99999999999995,820,9492.874300000001
2017,Technology,Phones,105234.73599999995,48.19999999999992,1080,12842.5876
2018,Technology,Phones,408.15599999999995,0.2,13,29.415600000000016
