Superstore 2023.Sub-Category,Superstore 2023.Region,Superstore 2023.State,Sum(Superstore 2023.Sales),Superstore 2023.YTD Sales
Accessories,West,California,37255.01,13535.5
Appliances,West,California,24175.92,12197.01
Binders,West,California,28473.168,18074.864
Labels,West,California,2899.14,927.61
Accessories,West,Washington,15119.16,9119.99
Appliances,West,Washington,1969.35,1012.53
Binders,West,Washington,18156.128,7268.832
Labels,West,Washington,1153.89,893.51
Accessories,West,Colorado,2287.992,946.272
Appliances,West,Colorado,1367.296,240.944
Binders,West,Colorado,508.968,176.679
Labels,West,Colorado,17.96,11.696
Accessories,West,Arizona,3396.16,922.976
Appliances,West,Arizona,774.432,
Binders,West,Arizona,2185.353,266.895
Labels,West,Arizona,27.464,
Accessories,West,New Mexico,1163.8,1071.28
Appliances,West,New Mexico,,
Binders,West,New Mexico,125.632,89.952
Labels,West,New Mexico,18.45,18.45
Accessories,West,Oregon,1160.304,343.704
Appliances,West,Oregon,535.768,11.176
Binders,West,Oregon,281.064,121.632
Labels,West,Oregon,902.112,71.04
Accessories,West,Utah,194.73,
Appliances,West,Utah,1089.75,
Binders,West,Utah,759.592,445.92
Labels,West,Utah,30.15,14.4
Accessories,West,Idaho,89.97,89.97
Appliances,West,Idaho,227.84,227.84
Binders,West,Idaho,71.656,21.312
Labels,West,Idaho,,
Accessories,West,Nevada,229.55,
Appliances,West,Nevada,95.98,64.9
Binders,West,Nevada,4897.184,84.08
Labels,West,Nevada,14.94,
Accessories,West,Montana,217.44,
Appliances,West,Montana,,
Binders,West,Montana,502.368,
Labels,West,Montana,14.62,
Accessories,East,New York,19597.54,4785.63
Appliances,East,New York,13276.38,5930.15
Binders,East,New York,32456.912,8462.568
Labels,East,New York,1290.57,459.64
Accessories,East,Pennsylvania,7299.28,4347.336
Appliances,East,Pennsylvania,4663.28,2273.064
Binders,East,Pennsylvania,6266.058,1892.304
Labels,East,Pennsylvania,598.304,126.288
Accessories,East,Ohio,8222.872,2921.144
Appliances,East,Ohio,4807.536,1884.776
Binders,East,Ohio,1917.087,444.759
Labels,East,Ohio,161.84,45.176
Accessories,East,Maryland,1123.81,965.67
Appliances,East,Maryland,1589.16,215.99
Binders,East,Maryland,3225.05,265.4
Labels,East,Maryland,171.51,74
Accessories,East,Delaware,561.69,141.9
Appliances,East,Delaware,140.42,100.94
Binders,East,Delaware,2434.03,1187.03
Labels,East,Delaware,74.13,
Accessories,East,New Jersey,1023.56,404.17
Appliances,East,New Jersey,4204.36,162.54
Binders,East,New Jersey,3529.52,776.18
Labels,East,New Jersey,66.34,20.89
Accessories,East,Connecticut,657.69,397.97
Appliances,East,Connecticut,1479.18,891.95
Binders,East,Connecticut,371.87,51.08
Labels,East,Connecticut,33.43,18.81
