Orders.Segment,Orders.Region,Orders.State,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Sales)
Consumer,West,California,4081,38374.039199999985,229636.08000000016
Corporate,West,California,2291,24367.844099999988,147174.72650000002
Home Office,West,California,1295,13639.503799999995,80876.82500000003
Consumer,West,Washington,990,19817.305199999973,73866.52000000003
Corporate,West,Washington,536,9295.911299999996,39727.10999999999
Home Office,West,Washington,357,4289.435200000002,25047.639999999996
Consumer,West,Arizona,430,-1423.0527000000006,16424.422000000006
Corporate,West,Arizona,268,-788.9158000000003,11736.322
Home Office,West,Arizona,164,-1215.9560999999997,7121.2570000000005
Consumer,West,Colorado,382,-1614.5502000000008,15794.491999999998
Corporate,West,Colorado,200,-566.0659000000002,9945.912000000004
Home Office,West,Colorado,111,-4347.241800000001,6367.714000000002
Consumer,West,Oregon,281,-838.7355,8893.932999999999
Corporate,West,Oregon,164,180.7439000000001,6563.970000000002
Home Office,West,Oregon,54,-532.4788999999998,1973.247
Consumer,West,Nevada,81,733.6678999999996,6584.414
Corporate,West,Nevada,57,776.1847000000001,4802.406
Home Office,West,Nevada,30,1806.9132999999997,5342.282000000001
Consumer,West,Utah,125,1541.5586000000003,7152.003999999998
Corporate,West,Utah,43,302.15719999999993,1956.6140000000005
Home Office,West,Utah,51,702.8177,2111.438
Consumer,West,Montana,17,277.44079999999997,898.088
Corporate,West,Montana,7,13.067599999999999,48.188
Home Office,West,Montana,32,1542.8201,4643.075999999999
Consumer,West,New Mexico,61,360.43299999999994,2186.3239999999996
Corporate,West,New Mexico,37,339.49940000000004,1269.7760000000003
Home Office,West,New Mexico,53,457.1837,1327.4219999999998
Consumer,West,Idaho,29,222.49769999999995,1444.496
Corporate,West,Idaho,27,517.0034,2630.25
Home Office,West,Idaho,8,87.22199999999995,307.74
Consumer,West,Wyoming,,,
Corporate,West,Wyoming,,,
Home Office,West,Wyoming,4,100.19599999999997,1603.1360000000002
Consumer,East,New York,2404,39640.518300000054,175209.03500000015
Corporate,East,New York,1195,16524.548099999996,77951.31299999995
Home Office,East,New York,625,17873.482200000006,57715.92300000002
Consumer,East,Pennsylvania,1007,-7291.467600000002,66899.29299999999
Corporate,East,Pennsylvania,736,-5197.4417,31130.061000000012
Home Office,East,Pennsylvania,410,-3071.0510000000004,18482.56
Consumer,East,Ohio,917,-11274.833400000005,43194.02400000001
Corporate,East,Ohio,482,-4947.415200000002,24209.97299999999
Home Office,East,Ohio,360,-749.1280000000005,10854.139000000001
Consumer,East,New Jersey,194,3415.253600000001,13333.981999999995
Corporate,East,New Jersey,182,5170.488499999998,18268.190000000002
Home Office,East,New Jersey,78,1187.1717,4162.139999999999
Consumer,East,Massachusetts,209,2691.9009000000005,11151.539999999999
Corporate,East,Massachusetts,154,1969.7634,9639.593999999997
Home Office,East,Massachusetts,128,2123.8373000000006,7843.3
Consumer,East,Delaware,186,6894.900600000002,16961.763
Corporate,East,Delaware,146,2193.3383000000003,8311.655999999999
Home Office,East,Delaware,35,889.1358999999999,2177.6500000000005
Consumer,East,Maryland,175,3271.5449,10054.013
Corporate,East,Maryland,188,3040.3431,11386.13
Home Office,East,Maryland,57,719.2908,2265.3800000000006
Consumer,East,Rhode Island,48,616.9114999999999,2483.3360000000007
Corporate,East,Rhode Island,70,1148.8849000000005,5381.15
Home Office,East,Rhode Island,81,5519.832899999999,14763.47
Consumer,East,Connecticut,149,1510.3508000000006,5933.476999999999
Corporate,East,Connecticut,94,1474.2904,5715.69
Home Office,East,Connecticut,38,526.8506000000001,1735.1899999999998
Consumer,East,Vermont,12,375.11599999999993,1352.3799999999999
Corporate,East,Vermont,33,1533.2273,6282.239999999999
Home Office,East,Vermont,5,336.635,1294.75
Consumer,East,New Hampshire,19,406.44579999999996,908.6399999999999
Corporate,East,New Hampshire,49,290.33140000000003,968.8999999999999
Home Office,East,New Hampshire,59,1009.7256,5414.9839999999995
Consumer,East,District of Columbia,24,1011.2964999999999,2753.3399999999992
Corporate,East,District of Columbia,,,
Home Office,East,District of Columbia,16,48.2928,111.67999999999999
Consumer,East,Maine,,,
Corporate,East,Maine,29,422.2204,1164.45
Home Office,East,Maine,6,32.2658,106.08000000000001
Consumer,East,West Virginia,3,-76.9536,673.3439999999999
Corporate,East,West Virginia,,,
Home Office,East,West Virginia,15,262.8752,536.48
Consumer,Central,Texas,1929,-20596.376700000008,95976.37799999991
Corporate,Central,Texas,1207,-4048.3114,53908.11979999997
Home Office,Central,Texas,588,-1084.6682000000005,20303.548000000006
Consumer,Central,Illinois,1016,-5470.893400000001,45182.19499999999
Corporate,Central,Illinois,479,-4492.881700000001,15984.280000000004
Home Office,Central,Illinois,350,-2644.111900000001,18999.625999999997
Consumer,Central,Michigan,494,12950.523199999998,36709.910999999986
Corporate,Central,Michigan,252,5816.526499999998,23391.552999999985
Home Office,Central,Michigan,200,5696.1379000000015,16168.150000000003
Consumer,Central,Indiana,299,4026.2123000000006,14986.960000000001
Corporate,Central,Indiana,154,12293.720799999997,31788.74
