Orders.Region,Orders.Country,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
Central,United States,Technology,Copiers,37259.56999999999,15608.841299999996
East,United States,Technology,Copiers,53219.46200000001,17022.8418
South,United States,Technology,Copiers,9299.756,3658.9067
West,United States,Technology,Copiers,49749.241999999984,19327.235099999994
Central,United States,Technology,Phones,72403.282,12323.0267
East,United States,Technology,Phones,100614.9820000001,12314.686000000005
South,United States,Technology,Phones,58304.437999999995,10767.275300000005
West,United States,Technology,Phones,98684.35199999997,9110.742599999998
Central,United States,Technology,Accessories,33956.076,7251.630599999997
East,United States,Technology,Accessories,45033.371999999974,11195.8644
South,United States,Technology,Accessories,27276.753999999994,7004.542399999999
West,United States,Technology,Accessories,61114.11600000006,16484.59830000001
Central,United States,Technology,Machines,26797.384,-1486.0666000000037
East,United States,Technology,Machines,66106.165,6928.642899999997
South,United States,Technology,Machines,53890.95999999999,-1438.8930000000028
West,United States,Technology,Machines,42444.122,-618.9264000000037
Central,United States,Office Supplies,Paper,17491.902000000002,6971.900500000002
East,United States,Office Supplies,Paper,20172.60199999997,9015.370999999994
South,United States,Office Supplies,Paper,14150.983999999997,5947.061399999998
West,United States,Office Supplies,Paper,26663.71799999998,12119.23639999999
Central,United States,Office Supplies,Binders,56923.28199999998,-1043.6369000000086
East,United States,Office Supplies,Binders,53497.99699999999,11267.934599999993
South,United States,Office Supplies,Binders,37030.34100000001,3900.6640000000093
West,United States,Office Supplies,Binders,55961.113000000034,16096.80159999999
Central,United States,Office Supplies,Storage,45930.111999999994,1969.8364999999972
East,United States,Office Supplies,Storage,71612.58400000003,8389.37119999999
South,United States,Office Supplies,Storage,35768.059999999976,2274.296500000001
West,United States,Office Supplies,Storage,70532.85199999994,8645.322199999986
Central,United States,Office Supplies,Appliances,23582.03299999998,-2638.617500000002
East,United States,Office Supplies,Appliances,34188.46599999999,8391.4134
South,United States,Office Supplies,Appliances,19525.325999999997,4123.939600000001
West,United States,Office Supplies,Appliances,30236.335999999996,8261.269900000001
Central,United States,Office Supplies,Envelopes,4636.872,1777.5282999999997
East,United States,Office Supplies,Envelopes,4375.874,1812.4089999999997
South,United States,Office Supplies,Envelopes,3345.5560000000014,1465.4769999999999
West,United States,Office Supplies,Envelopes,4118.1,1908.7624
Central,United States,Office Supplies,Art,5765.339999999999,1195.1590999999992
East,United States,Office Supplies,Art,7485.7639999999965,1899.944300000002
South,United States,Office Supplies,Art,4655.622000000002,1058.5865999999994
West,United States,Office Supplies,Art,9212.065999999992,2374.0969999999998
Central,United States,Office Supplies,Labels,2451.472,1073.0793999999999
East,United States,Office Supplies,Labels,2602.9339999999997,1129.28
South,United States,Office Supplies,Labels,2353.1799999999994,1040.7722999999996
West,United States,Office Supplies,Labels,5078.7260000000015,2303.1222999999995
Central,United States,Office Supplies,Fasteners,778.0300000000002,236.61859999999993
East,United States,Office Supplies,Fasteners,819.7179999999998,263.99080000000004
South,United States,Office Supplies,Fasteners,503.31599999999986,173.71809999999996
West,United States,Office Supplies,Fasteners,923.216,275.1907
Central,United States,Office Supplies,Supplies,9467.372,-661.8881000000002
East,United States,Office Supplies,Supplies,10760.116,-1155.1352
South,United States,Office Supplies,Supplies,8318.928,1.8773000000000573
West,United States,Office Supplies,Supplies,18127.121999999996,626.0464999999994
Central,United States,Furniture,Chairs,85230.64599999994,6592.722100000001
East,United States,Furniture,Chairs,96260.683,9357.770600000002
South,United States,Furniture,Chairs,45176.44599999998,6612.0893
West,United States,Furniture,Chairs,101781.32799999992,4027.584299999994
Central,United States,Furniture,Furnishings,15254.369999999977,-3906.2167999999997
East,United States,Furniture,Furnishings,29071.37999999999,5881.407100000002
South,United States,Furniture,Furnishings,17306.684,3442.6829000000007
West,United States,Furniture,Furnishings,30072.72999999999,7641.270400000004
Central,United States,Furniture,Bookcases,24157.176799999994,-1997.9043000000006
East,United States,Furniture,Bookcases,43819.33399999998,-1167.6318000000003
South,United States,Furniture,Bookcases,10899.362,1339.4917999999993
West,United States,Furniture,Bookcases,36004.123500000016,-1646.5117000000016
Central,United States,Furniture,Tables,39154.97100000002,-3559.650400000001
East,United States,Furniture,Tables,39139.80700000001,-11025.380100000002
South,United States,Furniture,Tables,43916.192,-4623.057900000002
West,United States,Furniture,Tables,84754.56200000005,1482.6072999999958
