Orders.Region,Orders.Country,Orders.Segment,Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
Central,United States,Consumer,2014,Furniture,Bookcases,1110.6116,-120.65839999999996
Central,United States,Consumer,2015,Furniture,Bookcases,4136.7688,-608.6298000000002
Central,United States,Consumer,2016,Furniture,Bookcases,4697.1992,-522.1548
Central,United States,Consumer,2017,Furniture,Bookcases,2937.4215999999997,-234.08700000000013
Central,United States,Consumer,2018,Furniture,Bookcases,78.85279999999999,-11.595999999999997
Central,United States,Corporate,2014,Furniture,Bookcases,209.95319999999998,26.750099999999996
Central,United States,Corporate,2015,Furniture,Bookcases,2037.6504,-195.05540000000008
Central,United States,Corporate,2016,Furniture,Bookcases,3848.7208,75.0414000000001
Central,United States,Corporate,2017,Furniture,Bookcases,2293.1764000000003,-289.44820000000004
Central,United States,Corporate,2018,Furniture,Bookcases,,
Central,United States,Home Office,2014,Furniture,Bookcases,513.4728,-39.73740000000003
Central,United States,Home Office,2015,Furniture,Bookcases,1962.3228,-102.43460000000003
Central,United States,Home Office,2016,Furniture,Bookcases,,
Central,United States,Home Office,2017,Furniture,Bookcases,331.02639999999997,24.10579999999998
Central,United States,Home Office,2018,Furniture,Bookcases,,
East,United States,Consumer,2014,Furniture,Bookcases,6759.801000000001,-395.4879000000005
East,United States,Consumer,2015,Furniture,Bookcases,11367.880000000001,-1514.0249000000001
East,United States,Consumer,2016,Furniture,Bookcases,3546.9269999999997,-446.0228000000002
East,United States,Consumer,2017,Furniture,Bookcases,5309.3899999999985,151.35079999999977
East,United States,Consumer,2018,Furniture,Bookcases,323.136,12.117599999999968
East,United States,Corporate,2014,Furniture,Bookcases,1912.25,-267.491
East,United States,Corporate,2015,Furniture,Bookcases,7508.169999999999,682.5095999999999
East,United States,Corporate,2016,Furniture,Bookcases,2042.8160000000003,269.9486
East,United States,Corporate,2017,Furniture,Bookcases,1705.696,279.9958
East,United States,Home Office,2014,Furniture,Bookcases,275.952,-37.943400000000025
East,United States,Home Office,2015,Furniture,Bookcases,2692.8379999999997,119.42739999999995
East,United States,Home Office,2016,Furniture,Bookcases,374.47800000000007,-22.011600000000016
East,United States,Home Office,2017,Furniture,Bookcases,,
South,United States,Consumer,2014,Furniture,Bookcases,794.2760000000001,164.70860000000002
South,United States,Consumer,2015,Furniture,Bookcases,813.6120000000001,89.2884
South,United States,Consumer,2016,Furniture,Bookcases,2839.756,480.5709999999999
South,United States,Consumer,2017,Furniture,Bookcases,4268.918,485.444
South,United States,Consumer,2018,Furniture,Bookcases,,
South,United States,Corporate,2014,Furniture,Bookcases,,
South,United States,Corporate,2015,Furniture,Bookcases,363.024,13.991999999999997
South,United States,Corporate,2016,Furniture,Bookcases,289.568,10.858799999999974
South,United States,Corporate,2017,Furniture,Bookcases,501.212,43.51579999999999
South,United States,Home Office,2014,Furniture,Bookcases,,
South,United States,Home Office,2015,Furniture,Bookcases,61.96,4.337199999999996
South,United States,Home Office,2016,Furniture,Bookcases,579.9000000000001,61.293599999999955
South,United States,Home Office,2017,Furniture,Bookcases,387.136,-14.51760000000003
South,United States,Home Office,2018,Furniture,Bookcases,,
West,United States,Consumer,2014,Furniture,Bookcases,1489.4415,-302.8688
West,United States,Consumer,2015,Furniture,Bookcases,6704.628000000001,-1267.6758000000004
West,United States,Consumer,2016,Furniture,Bookcases,6066.1990000000005,327.8037999999998
