Orders.Ship Date.Variation.Date Hierarchy.Quarter,Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Quantity)
Qtr 1,2014,Furniture,Bookcases,9693.340,45
Qtr 2,2014,Furniture,Bookcases,3065.2638622719442,22
Qtr 3,2014,Furniture,Bookcases,0283.7647,26
Qtr 4,2014,Furniture,Bookcases,5969.760645728295,07
Qtr 1,2015,Furniture,Bookcases,3575.7389,68
Qtr 2,2015,Furniture,Bookcases,7786.1251137917508,95
Qtr 3,2015,Furniture,Bookcases,52709.9490,05
Qtr 4,2015,Furniture,Bookcases,36150.513957752533,47
Qtr 1,2016,Furniture,Bookcases,1504.5413021278104,94
Qtr 2,2016,Furniture,Bookcases,4494.430,06
Qtr 3,2016,Furniture,Bookcases,0731.058991173406,22
Qtr 4,2016,Furniture,Bookcases,87753.145672148178,19
Qtr 1,2017,Furniture,Bookcases,8816.9332,58
Qtr 2,2017,Furniture,Bookcases,28931.7708,202
Qtr 3,2017,Furniture,Bookcases,9852.1574882731389,22
Qtr 4,2017,Furniture,Bookcases,8837.7565,18
Qtr 1,2018,Furniture,Bookcases,696.0719,6
Qtr 1,2014,Furniture,Chairs,2086.255,41
Qtr 2,2014,Furniture,Chairs,32530.649,68
Qtr 3,2014,Furniture,Chairs,23623.592488144923,121
Qtr 4,2014,Furniture,Chairs,42185.531,823
Qtr 1,2015,Furniture,Chairs,7214.058952874744,19
Qtr 2,2015,Furniture,Chairs,31119.198184815164,526
Qtr 3,2015,Furniture,Chairs,80281.997,616
Qtr 4,2015,Furniture,Chairs,38923.705,779
Qtr 1,2016,Furniture,Chairs,8725.811,42
Qtr 2,2016,Furniture,Chairs,93703.03954633215,846
Qtr 3,2016,Furniture,Chairs,32901.86859488876,428
Qtr 4,2016,Furniture,Chairs,40039.95510985960,811
Qtr 1,2017,Furniture,Chairs,31718.254809331104,61
Qtr 2,2017,Furniture,Chairs,17367.621,529
Qtr 3,2017,Furniture,Chairs,51367.335603029699,438
Qtr 4,2017,Furniture,Chairs,95981.095754506342,669
Qtr 1,2018,Furniture,Chairs,5978.2189752310289,93
