P6-EuroDebtCrisis.Debtor,P6-EuroDebtCrisis.Creditor Continent,P6-EuroDebtCrisis.Creditor,Min(P6-EuroDebtCrisis.Risk),Sum(P6-EuroDebtCrisis.Amount)
Britain,Europe,France,,
France,Europe,France,,
Germany,Europe,France,Stable,53.8
Greece,Europe,France,,
Ireland,Europe,France,High Risk,17.3
Italy,Europe,France,High Risk,366
Japan,Europe,France,Stable,7.73
Portugal,Europe,France,High Risk,18.3
Spain,Europe,France,,
United States,Europe,France,Stable,322
Britain,Europe,Spain,Stable,326
France,Europe,Spain,,
Germany,Europe,Spain,,
Greece,Europe,Spain,High Risk,0.78
Ireland,Europe,Spain,,
Italy,Europe,Spain,High Risk,9.79
Japan,Europe,Spain,,
Portugal,Europe,Spain,,
Spain,Europe,Spain,,
United States,Europe,Spain,Stable,163
Britain,Europe,Italy,,
France,Europe,Italy,,
Germany,Europe,Italy,Stable,111
Greece,Europe,Italy,,
Ireland,Europe,Italy,High Risk,2.83
Italy,Europe,Italy,,
Japan,Europe,Italy,,
Portugal,Europe,Italy,High Risk,0.87
Spain,Europe,Italy,,
United States,Europe,Italy,,
Britain,Europe,Japan,Stable,28.2
France,Europe,Japan,,
Germany,Europe,Japan,,
Greece,Europe,Japan,High Risk,1.37
Ireland,Europe,Japan,,
Italy,Europe,Japan,High Risk,38.8
Japan,Europe,Japan,,
Portugal,Europe,Japan,High Risk,2.18
Spain,Europe,Japan,Medium Risk,25.9
United States,Europe,Japan,,
Britain,Europe,Germany,,
France,Europe,Germany,,
Germany,Europe,Germany,,
Greece,Europe,Germany,High Risk,19.3
Ireland,Europe,Germany,,
Italy,Europe,Germany,,
Japan,Europe,Germany,,
Portugal,Europe,Germany,,
Spain,Europe,Germany,Medium Risk,57.6
United States,Europe,Germany,,
Britain,Europe,Britain,,
France,Europe,Britain,Low Risk,22.4
Germany,Europe,Britain,,
Greece,Europe,Britain,High Risk,0.55
Ireland,Europe,Britain,,
Italy,Europe,Britain,,
Japan,Europe,Britain,,
Portugal,Europe,Britain,,
Spain,Europe,Britain,,
United States,Europe,Britain,,
Britain,Europe,United States,,
France,Europe,United States,,
Germany,Europe,United States,,
Greece,Europe,United States,High Risk,3.1
Ireland,Europe,United States,High Risk,11.1
Italy,Europe,United States,High Risk,3.16
Japan,Europe,United States,,
Portugal,Europe,United States,,
Spain,Europe,United States,,
United States,Europe,United States,,
Britain,Europe,Portugal,,
France,Europe,Portugal,,
Germany,Europe,Portugal,,
Greece,Europe,Portugal,High Risk,10.1
Ireland,Europe,Portugal,High Risk,3.77
Italy,Europe,Portugal,,
