Table5.Year,Sum(Table5.PY),Sum(Table5.PL),Sum(Table5.FC),Sum(Table5.AC),Table5.Region,Table5.Country,Table5.City
2017,90000,92000,144000,131000,Americas,USA,California
2018,81000,60000,85000,131000,Americas,USA,California
2019,139000,66000,139000,113000,Americas,USA,California
2017,92000,114000,136000,116000,Americas,USA,New York
2018,119000,,82000,99000,Americas,USA,New York
2019,96000,69000,127000,91000,Americas,USA,New York
2017,111000,144000,124000,112000,Americas,USA,Texas
2018,141000,73000,75000,45000,Americas,USA,Texas
2019,51000,124000,126000,117000,Americas,USA,Texas
2017,104000,146000,87000,138000,Americas,Brazil,Rio
2018,78000,70000,36000,105000,Americas,Brazil,Rio
2019,131000,119000,70000,99000,Americas,Brazil,Rio
2017,72000,134000,130000,56000,Americas,Brazil,Manaus
2018,-122000,139000,81000,129000,Americas,Brazil,Manaus
2019,55000,144000,71000,147000,Americas,Brazil,Manaus
2017,121000,101000,63000,39000,Americas,Brazil,Salvador
2018,0,64000,43000,46000,Americas,Brazil,Salvador
2019,52000,46000,101000,121000,Americas,Brazil,Salvador
2017,42000,113000,117000,110000,Americas,Canada,Vancouver
2018,102000,87000,79000,134000,Americas,Canada,Vancouver
2019,111000,83000,119000,150000,Americas,Canada,Vancouver
2017,59000,98000,127000,78000,Americas,Canada,Toronto
2018,0,42000,108000,96000,Americas,Canada,Toronto
2019,35000,93000,75000,47000,Americas,Canada,Toronto
2017,107000,38000,70000,51000,Americas,Canada,Montreal
2018,-120000,37000,64000,49000,Americas,Canada,Montreal
2019,86000,53000,97000,39000,Americas,Canada,Montreal
2017,111000,38000,79000,97000,Americas,Other,Chicago
2018,93000,,147000,67000,Americas,Other,Chicago
2019,85000,37000,113000,125000,Americas,Other,Chicago
2017,0,90000,145000,103000,Europe,Poland,Warsaw
2018,103000,55000,141000,99000,Europe,Poland,Warsaw
2019,144000,67000,118000,118000,Europe,Poland,Warsaw
2017,0,82000,63000,0,Europe,Poland,Lublin
2018,79000,118000,80000,81000,Europe,Poland,Lublin
2019,128000,106000,53000,121000,Europe,Poland,Lublin
2017,84000,130000,45000,115000,Europe,Sweden,Stockholm
2018,131000,111000,126000,,Europe,Sweden,Stockholm
2019,117000,55000,42000,139000,Europe,Sweden,Stockholm
