Orders.State,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
Alabama,Technology,Copiers,899.97,314.9895
Arizona,Technology,Copiers,,
Arkansas,Technology,Copiers,,
California,Technology,Copiers,24559.520000000004,7889.8519
Colorado,Technology,Copiers,439.992,164.997
Connecticut,Technology,Copiers,,
Delaware,Technology,Copiers,10499.97,5039.9856
District of Columbia,Technology,Copiers,,
Florida,Technology,Copiers,1439.968,401.9917999999999
Georgia,Technology,Copiers,2999.95,1439.976
Idaho,Technology,Copiers,,
Illinois,Technology,Copiers,5919.888000000001,1831.9665999999997
Indiana,Technology,Copiers,18499.929999999997,8849.966999999999
Iowa,Technology,Copiers,,
Kansas,Technology,Copiers,,
Kentucky,Technology,Copiers,1399.98,629.991
Louisiana,Technology,Copiers,,
Maine,Technology,Copiers,,
Maryland,Technology,Copiers,,
Massachusetts,Technology,Copiers,1199.98,467.9922
Michigan,Technology,Copiers,1149.97,484.988
Minnesota,Technology,Copiers,549.99,274.995
Mississippi,Technology,Copiers,,
Missouri,Technology,Copiers,5499.92,2536.9631999999997
Montana,Technology,Copiers,2999.95,1379.9769999999999
Nebraska,Technology,Copiers,,
Nevada,Technology,Copiers,,
New Hampshire,Technology,Copiers,,
New Jersey,Technology,Copiers,,
New Mexico,Technology,Copiers,,
New York,Technology,Copiers,17199.840000000004,5839.949999999999
North Carolina,Technology,Copiers,959.9680000000001,119.99599999999992
North Dakota,Technology,Copiers,,
Ohio,Technology,Copiers,3839.9339999999997,446.99229999999983
Oklahoma,Technology,Copiers,,
Oregon,Technology,Copiers,,
Pennsylvania,Technology,Copiers,13079.867999999999,1735.982899999999
Rhode Island,Technology,Copiers,7399.87,3491.9388
South Carolina,Technology,Copiers,,
South Dakota,Technology,Copiers,,
Tennessee,Technology,Copiers,,
Texas,Technology,Copiers,5639.872,1629.9615000000001
Utah,Technology,Copiers,1499.95,449.9849999999999
Vermont,Technology,Copiers,,
Virginia,Technology,Copiers,1599.92,751.9624
Washington,Technology,Copiers,20249.83,9442.4242
West Virginia,Technology,Copiers,,
Wisconsin,Technology,Copiers,,
Wyoming,Technology,Copiers,,
Alabama,Technology,Phones,2706.2799999999997,707.1788000000001
Arizona,Technology,Phones,7388.776000000001,818.6727999999997
Arkansas,Technology,Phones,2136.81,577.7685999999999
California,Technology,Phones,67964.536,6309.119699999999
Colorado,Technology,Phones,4924.656000000001,523.1144999999997
Connecticut,Technology,Phones,2133.34,587.1789
Delaware,Technology,Phones,3434.5899999999997,992.3588999999998
District of Columbia,Technology,Phones,,
Florida,Technology,Phones,15092.184000000001,1354.7557
Georgia,Technology,Phones,7004.73,1881.7586000000003
Idaho,Technology,Phones,747.528,54.309900000000006
Illinois,Technology,Phones,16771.784,1682.6886999999992
Indiana,Technology,Phones,5460.390000000001,1558.0268999999996
Iowa,Technology,Phones,1154.3,318.36819999999994
Kansas,Technology,Phones,756.69,148.70259999999996
Kentucky,Technology,Phones,5114.36,1406.3602
Louisiana,Technology,Phones,683.0699999999999,181.472
Maine,Technology,Phones,437.84999999999997,131.35499999999996
Maryland,Technology,Phones,2577.2599999999998,698.1856000000001
Massachusetts,Technology,Phones,3629.7400000000002,1016.1552999999998
Michigan,Technology,Phones,6731.279999999995,1810.1694
Minnesota,Technology,Phones,774.8899999999999,187.08220000000003
Mississippi,Technology,Phones,812.6700000000001,231.75209999999996
Missouri,Technology,Phones,564.9200000000001,222.78430000000003
Montana,Technology,Phones,445.54400000000004,51.73359999999995
Nebraska,Technology,Phones,3045.7999999999997,891.6314999999998
Nevada,Technology,Phones,2511.0560000000005,243.68649999999985
New Hampshire,Technology,Phones,824.95,247.48499999999993
New Jersey,Technology,Phones,3577.7499999999995,1110.6172
New Mexico,Technology,Phones,534.1279999999999,72.94550000000001
New York,Technology,Phones,47502.62000000004,13399.189200000003
North Carolina,Technology,Phones,8995.863999999998,860.4341999999997
North Dakota,Technology,Phones,,
Ohio,Technology,Phones,14634.948000000002,-2778.8577999999998
Oklahoma,Technology,Phones,4550.9800000000005,1185.2144
Oregon,Technology,Phones,4451.336,248.15029999999996
Pennsylvania,Technology,Phones,19702.404000000002,-3606.9276
Rhode Island,Technology,Phones,864.78,181.31130000000002
South Carolina,Technology,Phones,1452.73,412.70470000000006
South Dakota,Technology,Phones,,
Tennessee,Technology,Phones,3656.2400000000002,305.22470000000004
Texas,Technology,Phones,28589.568,3222.4607999999994
Utah,Technology,Phones,615.224,90.42779999999996
Vermont,Technology,Phones,1294.75,336.635
Virginia,Technology,Phones,10649.5,2847.8657000000003
Washington,Technology,Phones,9101.568000000001,698.5819999999998
West Virginia,Technology,Phones,,
Wisconsin,Technology,Phones,4002.6800000000003,1095.8977
Wyoming,Technology,Phones,,
Alabama,Technology,Accessories,2322.83,816.4346
Arizona,Technology,Accessories,3396.16,224.76939999999973
Arkansas,Technology,Accessories,1788.44,683.6698000000001
California,Technology,Accessories,37255.01000000001,11095.656499999997
Colorado,Technology,Accessories,2287.992,224.55939999999998
Connecticut,Technology,Accessories,657.69,193.75470000000004
Delaware,Technology,Accessories,561.6899999999999,175.7004
District of Columbia,Technology,Accessories,,
Florida,Technology,Accessories,5861.9439999999995,750.0682999999997
Georgia,Technology,Accessories,3657.8699999999994,887.8450999999998
Idaho,Technology,Accessories,89.97,37.787400000000005
Illinois,Technology,Accessories,5535.696000000001,981.8643999999998
Indiana,Technology,Accessories,2279.0299999999997,570.2304000000001
Iowa,Technology,Accessories,,
Kansas,Technology,Accessories,92.35000000000001,26.284
Kentucky,Technology,Accessories,2976.2999999999997,703.4852000000001
Louisiana,Technology,Accessories,1667.8000000000002,593.5581999999999
Maine,Technology,Accessories,323.4,119.67779999999999
Maryland,Technology,Accessories,1123.8100000000002,415.45550000000014
Massachusetts,Technology,Accessories,896.91,271.6026
Michigan,Technology,Accessories,4932.549999999999,1655.0608000000007
Minnesota,Technology,Accessories,1520.38,556.7236
Mississippi,Technology,Accessories,2009.66,754.6503
Missouri,Technology,Accessories,1021.6800000000001,254.9793
Montana,Technology,Accessories,217.44,91.32480000000001
Nebraska,Technology,Accessories,239.94,69.8835
Nevada,Technology,Accessories,229.55,89.4291
New Hampshire,Technology,Accessories,2811.85,655.2223
New Jersey,Technology,Accessories,1023.5599999999998,349.62859999999995
New Mexico,Technology,Accessories,1163.8,264.33729999999997
New York,Technology,Accessories,19597.539999999994,5627.570199999998
North Carolina,Technology,Accessories,3506.6319999999996,821.0744
North Dakota,Technology,Accessories,,
Ohio,Technology,Accessories,8222.872,1452.8700999999994
Oklahoma,Technology,Accessories,1817.47,395.6858999999999
Oregon,Technology,Accessories,1160.3040000000003,152.1385
Pennsylvania,Technology,Accessories,7299.280000000001,898.9686999999992
Rhode Island,Technology,Accessories,2209.76,924.7622000000001
