Orders.Category,Orders.Region,Orders.State,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Sales)
Furniture,West,California,1696,9162.965599999998,156064.60149999996
Office Supplies,West,California,4566,37748.38470000001,142351.94799999995
Technology,West,California,1405,29470.0368,159271.08199999997
Furniture,West,Washington,429,7193.784999999994,48020.15199999997
Office Supplies,West,Washington,1102,11189.523199999996,40084.40799999998
Technology,West,Washington,352,15019.343500000003,50536.71000000001
Furniture,West,Arizona,188,-2744.9228000000007,13525.290999999997
Office Supplies,West,Arizona,501,-795.5030000000004,10005.825000000003
Technology,West,Arizona,173,112.50119999999981,11750.885000000004
Furniture,West,Colorado,200,-2683.1342000000004,13243.037
Office Supplies,West,Colorado,344,-373.1392000000001,7898.751999999998
Technology,West,Colorado,149,-3471.584500000001,10966.329000000005
Furniture,West,Oregon,69,-1487.5768999999998,6338.13
Office Supplies,West,Oregon,323,170.75,5271.464000000001
Technology,West,Oregon,107,126.35639999999995,5821.5560000000005
Furniture,West,Nevada,37,524.5704999999996,4635.172
Office Supplies,West,Nevada,98,2279.3497999999995,6956.924000000001
Technology,West,Nevada,33,512.8455999999999,5137.006
Furniture,West,Utah,29,631.7556999999998,4822.349999999999
Office Supplies,West,Utah,145,1333.0427000000002,4087.802
Technology,West,Utah,45,581.7350999999999,2309.904
Furniture,West,Montana,7,21.7532,63.980000000000004
Office Supplies,West,Montana,31,288.53989999999993,1862.438
Technology,West,Montana,18,1523.0353999999998,3662.9339999999997
Furniture,West,New Mexico,19,251.59169999999995,1701.412
Office Supplies,West,New Mexico,91,568.2416000000001,1384.182
Technology,West,New Mexico,41,337.2828,1697.928
Furniture,West,Idaho,18,533.9665,2595.482
Office Supplies,West,Idaho,34,200.65929999999992,949.506
Technology,West,Idaho,12,92.0973,837.4979999999999
Furniture,West,Wyoming,4,100.19599999999997,1603.1360000000002
Office Supplies,West,Wyoming,,,
Technology,West,Wyoming,,,
Furniture,East,New York,877,5857.680099999998,93372.72900000002
Office Supplies,East,New York,2585,25994.08289999999,90020.04199999996
Technology,East,New York,762,42186.785600000025,127483.5000000001
Furniture,East,Pennsylvania,487,-7196.719900000002,39354.931
Office Supplies,East,Pennsylvania,1248,-5172.018800000003,34941.71399999999
Technology,East,Pennsylvania,418,-3191.2216000000017,42215.269
Furniture,East,Ohio,344,-4206.321199999999,24199.145000000004
Office Supplies,East,Ohio,1031,-115.11530000000107,18382.999000000003
Technology,East,Ohio,384,-12649.9401,35675.992
Furniture,East,New Jersey,85,932.3292999999999,6307.0419999999995
Office Supplies,East,New Jersey,283,4670.3865,14956.109999999995
Technology,East,New Jersey,86,4170.1979999999985,14501.159999999996
Furniture,East,Massachusetts,106,1090.0727000000013,10919.063999999998
Office Supplies,East,Massachusetts,316,3939.6788000000006,11988.740000000005
Technology,East,Massachusetts,69,1755.7501,5726.63
Furniture,East,Delaware,64,870.7071999999998,4759.319
Office Supplies,East,Delaware,244,2867.6168,8129.529999999999
Technology,East,Delaware,59,6239.050800000002,14562.219999999994
Furniture,East,Maryland,104,1905.8273999999997,9149.252999999999
Office Supplies,East,Maryland,272,3802.473799999999,10390.23
Technology,East,Maryland,44,1322.8776000000005,4166.04
Furniture,East,Rhode Island,53,913.3770000000004,5918.755999999999
Office Supplies,East,Rhode Island,111,1774.2399999999993,6234.789999999997
Technology,East,Rhode Island,35,4598.0123,10474.409999999998
Furniture,East,Connecticut,46,1226.2805000000005,5174.986999999999
Office Supplies,East,Connecticut,206,1504.2777000000006,5418.339999999998
Technology,East,Connecticut,29,780.9336,2791.0299999999997
Furniture,East,Vermont,8,1191.9270000000001,5120.099999999999
Office Supplies,East,Vermont,28,605.765,2209.51
Technology,East,Vermont,14,447.2863,1599.76
Furniture,East,New Hampshire,27,153.93700000000007,1886.4740000000002
Office Supplies,East,New Hampshire,80,649.8584999999998,1769.2500000000002
Technology,East,New Hampshire,20,902.7072999999999,3636.7999999999997
Furniture,East,District of Columbia,8,350.0835,1346.58
Office Supplies,East,District of Columbia,24,60.9434,138.52
Technology,East,District of Columbia,8,648.5624,1379.92
Furniture,East,Maine,2,33.9388,109.48
Office Supplies,East,Maine,19,169.5146,399.8
Technology,East,Maine,14,251.03279999999995,761.25
Furniture,East,West Virginia,3,-76.9536,673.3439999999999
Office Supplies,East,West Virginia,15,262.8752,536.48
Technology,East,West Virginia,,,
Furniture,Central,Texas,766,-10436.1419,60593.29180000003
Office Supplies,Central,Texas,2299,-18584.6434,44490.53000000001
Technology,Central,Texas,659,3291.4289999999946,65104.22400000001
Furniture,Central,Illinois,448,-9076.289400000001,28274.522
Office Supplies,Central,Illinois,1095,-8354.156800000004,19907.90599999999
Technology,Central,Illinois,302,4822.559199999998,31983.67300000001
Furniture,Central,Michigan,184,4675.551600000001,22321.100000000002
Office Supplies,Central,Michigan,612,15005.333499999999,37723.759000000005
Technology,Central,Michigan,150,4782.302500000001,16224.754999999996
Furniture,Central,Indiana,83,2181.2753,11496.71
Office Supplies,Central,Indiana,389,5200.783699999999,15735.399999999996
Technology,Central,Indiana,106,11000.877299999998,26323.249999999996
Furniture,Central,Wisconsin,144,3838.954499999999,17256.610000000004
Office Supplies,Central,Wisconsin,215,1965.7761999999998,6059.840000000002
Technology,Central,Wisconsin,104,2597.0696999999996,8798.159999999998
Furniture,Central,Minnesota,52,2023.8871,7611.35
Office Supplies,Central,Minnesota,241,7780.4995,19406.539999999997
Technology,Central,Minnesota,38,1018.8008,2845.26
Furniture,Central,Missouri,35,625.2169,2936.4500000000003
Office Supplies,Central,Missouri,163,2796.2668000000003,12182.179999999997
Technology,Central,Missouri,54,3014.7267999999995,7086.52
Furniture,Central,Oklahoma,57,2153.8621999999996,8284.099999999999
Office Supplies,Central,Oklahoma,123,1119.1934999999994,5030.84
Technology,Central,Oklahoma,67,1580.9002999999998,6368.45
Furniture,Central,Nebraska,21,518.4363999999998,1944.6999999999998
Office Supplies,Central,Nebraska,89,557.1428,2234.4900000000002
Technology,Central,Nebraska,26,961.5149999999998,3285.7399999999993
Furniture,Central,Iowa,24,520.0385000000001,2642.3099999999995
Office Supplies,Central,Iowa,75,345.4051999999999,783.1500000000002
Technology,Central,Iowa,13,318.36819999999994,1154.3
Furniture,Central,Kansas,8,36.96959999999999,111.12
Office Supplies,Central,Kansas,47,624.4873,1954.15
Technology,Central,Kansas,19,174.98659999999998,849.0400000000001
Furniture,Central,South Dakota,5,67.18979999999999,324.9
Office Supplies,Central,South Dakota,31,193.74190000000002,597.7200000000001
Technology,Central,South Dakota,6,133.89660000000003,392.94000000000005
Furniture,Central,North Dakota,,,
Office Supplies,Central,North Dakota,30,230.14969999999997,919.91
Technology,Central,North Dakota,,,
Furniture,South,Florida,299,-2254.9807,22987.037999999993
Office Supplies,South,Florida,820,-1675.125799999999,19518.633999999995
Technology,South,Florida,260,530.8047999999969,46968.035999999986
Furniture,South,Virginia,233,5204.326499999997,25321.949999999993
Office Supplies,South,Virginia,516,5985.869499999997,21169.60999999999
Technology,South,Virginia,144,7407.754399999999,24145.160000000007
Furniture,South,North Carolina,174,-3486.463300000001,15155.484
Office Supplies,South,North Carolina,635,-421.14490000000063,14364.560999999996
Technology,South,North Carolina,174,-3583.303999999999,26083.119
Furniture,South,Georgia,116,2049.458,8321.48
Office Supplies,South,Georgia,434,9800.925599999997,26715.810000000005
Technology,South,Georgia,155,4399.6597,14058.550000000007
Furniture,South,Kentucky,106,3210.9931999999994,12126.84
Office Supplies,South,Kentucky,320,3832.067000000001,11894.269999999999
Technology,South,Kentucky,97,4156.6363999999985,12570.639999999998
Furniture,South,Tennessee,165,-2208.6291000000006,13506.732
Office Supplies,South,Tennessee,442,-3199.0981999999995,12347.857999999998
Technology,South,Tennessee,74,66.03369999999978,4807.283000000001
Furniture,South,Alabama,54,1231.3882,6332.48
Office Supplies,South,Alabama,149,1257.6342,4209.079999999999
Technology,South,Alabama,53,3297.8028999999997,8969.08
Furniture,South,Arkansas,43,781.4551999999999,3187.5499999999997
Office Supplies,South,Arkansas,135,1965.7935,4565.329999999999
Technology,South,Arkansas,62,1261.4383999999998,3925.2499999999995
Furniture,South,Mississippi,43,944.8196,4317.849999999999
Office Supplies,South,Mississippi,140,1241.7542,3631.1600000000003
Technology,South,Mississippi,38,986.4024,2822.3299999999995
Furniture,South,Louisiana,36,685.9946000000001,2963.03
Office Supplies,South,Louisiana,79,495.0925,3423.1600000000008
Technology,South,Louisiana,41,1015.0151999999999,2830.84
Furniture,South,South Carolina,22,612.8439,3078.2499999999995
Office Supplies,South,South Carolina,130,702.6252,3811.8399999999997
Technology,South,South Carolina,20,453.5875000000001,1591.6200000000001
