Orders.Segment,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Quantity),Sum(Orders.Profit)
Consumer,Technology,Copiers,69819.06999999999,117,24083.710600000002
Corporate,Technology,Copiers,46829.385999999984,70,18990.278899999998
Home Office,Technology,Copiers,32879.574,47,12543.8354
Consumer,Technology,Phones,169932.764,1685,23837.11469999998
Corporate,Technology,Phones,91153.414,1003,11766.219600000017
Home Office,Technology,Phones,68920.87599999999,601,8912.396299999993
Consumer,Technology,Accessories,87105.23800000004,1578,20735.922500000004
Corporate,Technology,Accessories,48190.564,881,12707.480500000001
Home Office,Technology,Accessories,32084.515999999978,517,8493.232700000006
Consumer,Technology,Machines,79542.82500000004,217,2141.061799999994
Corporate,Technology,Machines,60276.754999999976,141,703.0189999999975
Home Office,Technology,Machines,49419.051,82,540.676099999995
Consumer,Office Supplies,Paper,36324.36799999989,2602,15534.643599999996
Corporate,Office Supplies,Paper,23883.129999999972,1555,10361.546799999993
Home Office,Office Supplies,Paper,18271.708000000006,1021,8157.378899999996
Consumer,Office Supplies,Binders,118161.00899999998,3015,17995.597200000084
Corporate,Office Supplies,Binders,51560.313000000046,1848,6377.320100000017
Home Office,Office Supplies,Binders,33691.41100000001,1111,5848.845999999996
Consumer,Office Supplies,Storage,100492.40200000005,1619,7104.200399999994
Corporate,Office Supplies,Storage,79790.99799999999,1000,9131.0247
Home Office,Office Supplies,Storage,43560.20799999998,539,5043.6012999999975
Consumer,Office Supplies,Appliances,52819.58100000005,908,6981.928199999997
Corporate,Office Supplies,Appliances,36588.68299999998,569,7429.895199999995
Home Office,Office Supplies,Appliances,18123.897,252,3726.1819999999966
Consumer,Office Supplies,Envelopes,7771.146000000002,442,3264.4126000000006
Corporate,Office Supplies,Envelopes,5942.67,323,2571.2290000000007
Home Office,Office Supplies,Envelopes,2762.585999999999,141,1128.5350999999998
Consumer,Office Supplies,Art,14251.929999999997,1625,3454.3010999999983
Corporate,Office Supplies,Art,8590.448000000006,850,2004.647700000001
Home Office,Office Supplies,Art,4276.413999999999,525,1068.8382000000006
Consumer,Office Supplies,Labels,6709.2620000000015,715,3075.9884000000015
Corporate,Office Supplies,Labels,4101.646000000001,398,1760.8273000000004
Home Office,Office Supplies,Labels,1675.4039999999995,287,709.4383
Consumer,Office Supplies,Fasteners,1680.9419999999998,473,576.8007999999996
Corporate,Office Supplies,Fasteners,783.2900000000001,273,251.90299999999993
Home Office,Office Supplies,Fasteners,560.0479999999999,168,120.81440000000002
Consumer,Office Supplies,Supplies,25741.496000000003,359,-1657.5513000000008
Corporate,Office Supplies,Supplies,19435.284,202,338.92639999999966
Home Office,Office Supplies,Supplies,1496.7580000000003,86,129.52539999999996
Consumer,Furniture,Chairs,172862.74199999977,1234,13235.331900000006
Corporate,Furniture,Chairs,99140.87799999991,719,8344.656500000001
Home Office,Furniture,Chairs,56445.48300000002,403,5010.177900000001
Consumer,Furniture,Furnishings,49620.04599999995,1834,7919.422699999992
Corporate,Furniture,Furnishings,25001.26599999999,1086,3508.2077000000054
Home Office,Furniture,Furnishings,17083.852,643,1631.5131999999994
Consumer,Furniture,Bookcases,68632.72899999998,496,-4435.638200000002
Corporate,Furniture,Bookcases,34005.9243,271,638.4501999999993
Home Office,Furniture,Bookcases,12241.342999999997,101,324.6319999999996
Consumer,Furniture,Tables,99933.79499999998,602,-9728.037800000002
Corporate,Furniture,Tables,70871.7175,419,-4906.498600000003
Home Office,Furniture,Tables,36160.01950000001,220,-3090.944700000002
