Orders.Segment,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Sales),CountNonNull(Orders.Row ID)
Consumer,Technology,Copiers,24083.710600000002,69819.06999999999,35
Corporate,Technology,Copiers,18990.278899999998,46829.385999999984,20
Home Office,Technology,Copiers,12543.8354,32879.574,13
Consumer,Technology,Phones,23837.11469999998,169932.764,451
Corporate,Technology,Phones,11766.219600000017,91153.414,272
Home Office,Technology,Phones,8912.396299999993,68920.87599999999,166
Consumer,Technology,Accessories,20735.922500000004,87105.23800000004,408
Corporate,Technology,Accessories,12707.480500000001,48190.564,227
Home Office,Technology,Accessories,8493.232700000006,32084.515999999978,140
Consumer,Technology,Machines,2141.061799999994,79542.82500000004,57
Corporate,Technology,Machines,703.0189999999975,60276.754999999976,35
Home Office,Technology,Machines,540.676099999995,49419.051,23
Consumer,Office Supplies,Paper,15534.643599999996,36324.36799999989,693
Corporate,Office Supplies,Paper,10361.546799999993,23883.129999999972,408
Home Office,Office Supplies,Paper,8157.378899999996,18271.708000000006,269
Consumer,Office Supplies,Binders,17995.597200000084,118161.00899999998,780
Corporate,Office Supplies,Binders,6377.320100000017,51560.313000000046,473
Home Office,Office Supplies,Binders,5848.845999999996,33691.41100000001,270
Consumer,Office Supplies,Storage,7104.200399999994,100492.40200000005,450
Corporate,Office Supplies,Storage,9131.0247,79790.99799999999,260
Home Office,Office Supplies,Storage,5043.6012999999975,43560.20799999998,136
Consumer,Office Supplies,Appliances,6981.928199999997,52819.58100000005,244
Corporate,Office Supplies,Appliances,7429.895199999995,36588.68299999998,155
Home Office,Office Supplies,Appliances,3726.1819999999966,18123.897,67
Consumer,Office Supplies,Envelopes,3264.4126000000006,7771.146000000002,129
Corporate,Office Supplies,Envelopes,2571.2290000000007,5942.67,84
Home Office,Office Supplies,Envelopes,1128.5350999999998,2762.585999999999,41
Consumer,Office Supplies,Art,3454.3010999999983,14251.929999999997,428
Corporate,Office Supplies,Art,2004.647700000001,8590.448000000006,218
Home Office,Office Supplies,Art,1068.8382000000006,4276.413999999999,150
Consumer,Office Supplies,Labels,3075.9884000000015,6709.2620000000015,189
Corporate,Office Supplies,Labels,1760.8273000000004,4101.646000000001,102
Home Office,Office Supplies,Labels,709.4383,1675.4039999999995,73
Consumer,Office Supplies,Fasteners,576.8007999999996,1680.9419999999998,114
Corporate,Office Supplies,Fasteners,251.90299999999993,783.2900000000001,59
Home Office,Office Supplies,Fasteners,120.81440000000002,560.0479999999999,44
Consumer,Office Supplies,Supplies,-1657.5513000000008,25741.496000000003,100
Corporate,Office Supplies,Supplies,338.92639999999966,19435.284,61
Home Office,Office Supplies,Supplies,129.52539999999996,1496.7580000000003,29
Consumer,Furniture,Chairs,13235.331900000006,172862.74199999977,329
Corporate,Furniture,Chairs,8344.656500000001,99140.87799999991,188
Home Office,Furniture,Chairs,5010.177900000001,56445.48300000002,100
Consumer,Furniture,Furnishings,7919.422699999992,49620.04599999995,494
Corporate,Furniture,Furnishings,3508.2077000000054,25001.26599999999,288
Home Office,Furniture,Furnishings,1631.5131999999994,17083.852,175
Consumer,Furniture,Bookcases,-4435.638200000002,68632.72899999998,131
Corporate,Furniture,Bookcases,638.4501999999993,34005.9243,64
Home Office,Furniture,Bookcases,324.6319999999996,12241.342999999997,33
Consumer,Furniture,Tables,-9728.037800000002,99933.79499999998,159
Corporate,Furniture,Tables,-4906.498600000003,70871.7175,106
Home Office,Furniture,Tables,-3090.944700000002,36160.01950000001,54
