Orders.Region,Orders.Category,Orders.Sub-Category,Orders.Segment,Sum(Orders.Profit)
Central,Technology,Copiers,Consumer,1482.9615999999999
East,Technology,Copiers,Consumer,8657.932499999995
South,Technology,Copiers,Consumer,1783.9451999999999
West,Technology,Copiers,Consumer,12158.871299999995
Central,Technology,Copiers,Corporate,12789.904299999998
East,Technology,Copiers,Corporate,1134.9764999999998
South,Technology,Copiers,Corporate,1874.9615000000001
West,Technology,Copiers,Corporate,3190.4365999999995
Central,Technology,Copiers,Home Office,1335.9754
East,Technology,Copiers,Home Office,7229.9328
South,Technology,Copiers,Home Office,
West,Technology,Copiers,Home Office,3977.927199999999
Central,Technology,Phones,Consumer,6416.019599999999
East,Technology,Phones,Consumer,7328.253600000001
South,Technology,Phones,Consumer,5623.911800000001
West,Technology,Phones,Consumer,4468.929700000001
Central,Technology,Phones,Corporate,2391.2796999999996
East,Technology,Phones,Corporate,3129.6182999999987
South,Technology,Phones,Corporate,3680.2119999999995
West,Technology,Phones,Corporate,2565.1096000000016
Central,Technology,Phones,Home Office,3515.7274000000007
East,Technology,Phones,Home Office,1856.814099999999
South,Technology,Phones,Home Office,1463.1515
West,Technology,Phones,Home Office,2076.7033
Central,Technology,Accessories,Consumer,3743.3858999999993
East,Technology,Accessories,Consumer,5240.0783
South,Technology,Accessories,Consumer,2788.307200000001
West,Technology,Accessories,Consumer,8964.1511
Central,Technology,Accessories,Corporate,1462.9337
East,Technology,Accessories,Corporate,2933.591099999999
South,Technology,Accessories,Corporate,3085.4776999999995
West,Technology,Accessories,Corporate,5225.477999999998
Central,Technology,Accessories,Home Office,2045.3110000000004
East,Technology,Accessories,Home Office,3022.1949999999997
South,Technology,Accessories,Home Office,1130.7574999999997
West,Technology,Accessories,Home Office,2294.9692
Central,Technology,Machines,Consumer,-1667.028000000002
East,Technology,Machines,Consumer,-1296.0850000000046
South,Technology,Machines,Consumer,2910.5588
West,Technology,Machines,Consumer,2193.6159999999986
Central,Technology,Machines,Corporate,-361.50440000000134
East,Technology,Machines,Corporate,2624.6022999999996
South,Technology,Machines,Corporate,-2520.117899999999
West,Technology,Machines,Corporate,960.0389999999994
Central,Technology,Machines,Home Office,542.4657999999998
East,Technology,Machines,Home Office,5600.125599999999
South,Technology,Machines,Home Office,-1829.3339000000021
West,Technology,Machines,Home Office,-3772.581400000001
Central,Office Supplies,Paper,Consumer,2914.6376999999993
East,Office Supplies,Paper,Consumer,3917.330700000003
South,Office Supplies,Paper,Consumer,3085.3364
West,Office Supplies,Paper,Consumer,5617.338800000002
Central,Office Supplies,Paper,Corporate,2399.2305
East,Office Supplies,Paper,Corporate,2668.9581999999987
South,Office Supplies,Paper,Corporate,1410.0632999999998
West,Office Supplies,Paper,Corporate,3883.294800000001
Central,Office Supplies,Paper,Home Office,1658.0322999999999
East,Office Supplies,Paper,Home Office,2429.082099999999
South,Office Supplies,Paper,Home Office,1451.6616999999997
West,Office Supplies,Paper,Home Office,2618.6028000000015
Central,Office Supplies,Binders,Consumer,1832.3210000000026
East,Office Supplies,Binders,Consumer,6740.669700000001
South,Office Supplies,Binders,Consumer,1583.9285000000007
West,Office Supplies,Binders,Consumer,7838.678000000003
Central,Office Supplies,Binders,Corporate,-4420.424900000004
East,Office Supplies,Binders,Corporate,2833.003399999999
South,Office Supplies,Binders,Corporate,2496.2000999999987
West,Office Supplies,Binders,Corporate,5468.5415
Central,Office Supplies,Binders,Home Office,1544.4669999999992
East,Office Supplies,Binders,Home Office,1694.2614999999998
South,Office Supplies,Binders,Home Office,-179.46459999999976
West,Office Supplies,Binders,Home Office,2789.5821
Central,Office Supplies,Storage,Corporate,1084.5102000000004
East,Office Supplies,Storage,Corporate,3836.4565000000002
South,Office Supplies,Storage,Corporate,718.5710999999998
West,Office Supplies,Storage,Corporate,3491.4869
Central,Office Supplies,Storage,Consumer,413.31009999999895
East,Office Supplies,Storage,Consumer,1973.924199999998
South,Office Supplies,Storage,Consumer,888.6696999999998
