Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.State,CountNonNull(Orders.Postal Code),Sum(Orders.Discount)
2014,Furniture,Arizona,10,2.8
2015,Furniture,Arizona,14,3.5999999999999996
2016,Furniture,Arizona,11,3.4
2017,Furniture,Arizona,14,4.199999999999999
2014,Furniture,Arkansas,6,0
2015,Furniture,Arkansas,1,0
2016,Furniture,Arkansas,2,0
2017,Furniture,Arkansas,,
2014,Furniture,California,97,11.150000000000004
2015,Furniture,California,95,9.600000000000009
2016,Furniture,California,112,13.049999999999995
2017,Furniture,California,140,14.199999999999996
2014,Furniture,Georgia,3,0
2015,Furniture,Georgia,5,0
2016,Furniture,Georgia,14,0
2017,Furniture,Georgia,10,0
2014,Furniture,Maryland,4,0
2015,Furniture,Maryland,3,0
2016,Furniture,Maryland,10,0.6
2017,Furniture,Maryland,11,0
2014,Furniture,New Jersey,5,0
2015,Furniture,New Jersey,2,0
2016,Furniture,New Jersey,9,0.6
2017,Furniture,New Jersey,10,0
2014,Office Supplies,Arizona,28,9.100000000000001
2015,Office Supplies,Arizona,38,11.6
2016,Office Supplies,Arizona,23,8.600000000000001
2017,Office Supplies,Arizona,38,13.599999999999996
2014,Office Supplies,Arkansas,8,0
2015,Office Supplies,Arkansas,2,0
2016,Office Supplies,Arkansas,13,0
2017,Office Supplies,Arkansas,13,0
2014,Office Supplies,California,242,9.200000000000001
2015,Office Supplies,California,231,11
2016,Office Supplies,California,322,16.400000000000002
2017,Office Supplies,California,403,18.6
2014,Office Supplies,Georgia,18,0
2015,Office Supplies,Georgia,29,0
2016,Office Supplies,Georgia,30,0
2017,Office Supplies,Georgia,38,0
2014,Office Supplies,Maryland,8,0
2015,Office Supplies,Maryland,23,0
2016,Office Supplies,Maryland,10,0
2017,Office Supplies,Maryland,22,0
2014,Office Supplies,New Jersey,11,0
2015,Office Supplies,New Jersey,13,0
2016,Office Supplies,New Jersey,33,0
2017,Office Supplies,New Jersey,26,0
2014,Technology,Arizona,10,1.9999999999999998
2015,Technology,Arizona,11,2.1999999999999997
2016,Technology,Arizona,9,2.3
2017,Technology,Arizona,18,4.6000000000000005
2014,Technology,Arkansas,3,0
2015,Technology,Arkansas,1,0
2016,Technology,Arkansas,5,0
2017,Technology,Arkansas,6,0
2014,Technology,California,76,9.200000000000003
2015,Technology,California,71,8.000000000000002
2016,Technology,California,92,11.000000000000004
2017,Technology,California,120,14.199999999999994
2014,Technology,Georgia,8,0
2015,Technology,Georgia,6,0
2016,Technology,Georgia,9,0
2017,Technology,Georgia,14,0
2014,Technology,Maryland,1,0
2015,Technology,Maryland,4,0
2016,Technology,Maryland,5,0
2017,Technology,Maryland,4,0
2014,Technology,New Jersey,4,0
2015,Technology,New Jersey,3,0
2016,Technology,New Jersey,7,0
2017,Technology,New Jersey,7,0
