Table5.Region,Table5.Year,Table5.Country,Table5.City,Sum(Table5.PY),Sum(Table5.PL),Sum(Table5.AC)
Americas,2017,USA,California,90000,92000,131000
Asia-Pacific,2017,USA,California,,,
Europe,2017,USA,California,,,
Americas,2018,USA,California,81000,60000,131000
Asia-Pacific,2018,USA,California,,,
Europe,2018,USA,California,,,
Americas,2019,USA,California,139000,66000,113000
Asia-Pacific,2019,USA,California,,,
Europe,2019,USA,California,,,
Americas,2017,USA,New York,92000,114000,116000
Asia-Pacific,2017,USA,New York,,,
Europe,2017,USA,New York,,,
Americas,2018,USA,New York,119000,,99000
Asia-Pacific,2018,USA,New York,,,
Europe,2018,USA,New York,,,
Americas,2019,USA,New York,96000,69000,91000
Asia-Pacific,2019,USA,New York,,,
Europe,2019,USA,New York,,,
Americas,2017,USA,Texas,111000,144000,112000
Asia-Pacific,2017,USA,Texas,,,
Europe,2017,USA,Texas,,,
Americas,2018,USA,Texas,141000,73000,45000
Asia-Pacific,2018,USA,Texas,,,
Europe,2018,USA,Texas,,,
Americas,2019,USA,Texas,51000,124000,117000
Asia-Pacific,2019,USA,Texas,,,
Europe,2019,USA,Texas,,,
Americas,2017,Brazil,Rio,104000,146000,138000
Asia-Pacific,2017,Brazil,Rio,,,
Europe,2017,Brazil,Rio,,,
Americas,2018,Brazil,Rio,78000,70000,105000
Asia-Pacific,2018,Brazil,Rio,,,
Europe,2018,Brazil,Rio,,,
Americas,2019,Brazil,Rio,131000,119000,99000
Asia-Pacific,2019,Brazil,Rio,,,
Europe,2019,Brazil,Rio,,,
Americas,2017,Brazil,Manaus,72000,134000,56000
Asia-Pacific,2017,Brazil,Manaus,,,
Europe,2017,Brazil,Manaus,,,
Americas,2018,Brazil,Manaus,-122000,139000,129000
Asia-Pacific,2018,Brazil,Manaus,,,
Europe,2018,Brazil,Manaus,,,
Americas,2019,Brazil,Manaus,55000,144000,147000
Asia-Pacific,2019,Brazil,Manaus,,,
Europe,2019,Brazil,Manaus,,,
Americas,2017,Brazil,Salvador,121000,101000,39000
Asia-Pacific,2017,Brazil,Salvador,,,
Europe,2017,Brazil,Salvador,,,
Americas,2018,Brazil,Salvador,0,64000,46000
Asia-Pacific,2018,Brazil,Salvador,,,
Europe,2018,Brazil,Salvador,,,
Americas,2019,Brazil,Salvador,52000,46000,121000
Asia-Pacific,2019,Brazil,Salvador,,,
Europe,2019,Brazil,Salvador,,,
Americas,2017,Canada,Vancouver,42000,113000,110000
Asia-Pacific,2017,Canada,Vancouver,,,
Europe,2017,Canada,Vancouver,,,
Americas,2018,Canada,Vancouver,102000,87000,134000
Asia-Pacific,2018,Canada,Vancouver,,,
Europe,2018,Canada,Vancouver,,,
Americas,2019,Canada,Vancouver,111000,83000,150000
Asia-Pacific,2019,Canada,Vancouver,,,
Europe,2019,Canada,Vancouver,,,
Americas,2017,Canada,Toronto,59000,98000,78000
Asia-Pacific,2017,Canada,Toronto,,,
Europe,2017,Canada,Toronto,,,
Americas,2018,Canada,Toronto,0,42000,96000
Asia-Pacific,2018,Canada,Toronto,,,
Europe,2018,Canada,Toronto,,,
Americas,2019,Canada,Toronto,35000,93000,47000
Asia-Pacific,2019,Canada,Toronto,,,
Europe,2019,Canada,Toronto,,,
Americas,2017,Canada,Montreal,107000,38000,51000
Asia-Pacific,2017,Canada,Montreal,,,
Europe,2017,Canada,Montreal,,,
Americas,2018,Canada,Montreal,-120000,37000,49000
Asia-Pacific,2018,Canada,Montreal,,,
Europe,2018,Canada,Montreal,,,
