Orders.Category,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Month,Sum(Orders.Quantity),Sum(Orders.Sales)
Furniture,2014,Qtr 1,January,70,6242.525
New Office Supplies,2014,Qtr 1,January,,
Office Supplies,2014,Qtr 1,January,169,4851.080000000001
Technology,2014,Qtr 1,January,45,3143.289999999999
Furniture,2014,Qtr 1,February,23,1839.6580000000001
New Office Supplies,2014,Qtr 1,February,,
Office Supplies,2014,Qtr 1,February,103,1071.724
Technology,2014,Qtr 1,February,33,1608.51
Furniture,2014,Qtr 1,March,131,14573.956
New Office Supplies,2014,Qtr 1,March,,
Office Supplies,2014,Qtr 1,March,370,8605.879
Technology,2014,Qtr 1,March,84,32511.174
Furniture,2014,Qtr 2,April,81,7944.836999999999
New Office Supplies,2014,Qtr 2,April,,
Office Supplies,2014,Qtr 2,April,345,11155.073999999997
Technology,2014,Qtr 2,April,110,9195.434000000001
Furniture,2014,Qtr 2,May,97,6912.787
New Office Supplies,2014,Qtr 2,May,,
Office Supplies,2014,Qtr 2,May,281,7135.624
Technology,2014,Qtr 2,May,88,9599.876
Furniture,2014,Qtr 2,June,122,13206.1256
New Office Supplies,2014,Qtr 2,June,,
Office Supplies,2014,Qtr 2,June,322,12953.036999999998
Technology,2014,Qtr 2,June,81,9347.389
Furniture,2014,Qtr 3,July,114,10821.051
New Office Supplies,2014,Qtr 3,July,,
Office Supplies,2014,Qtr 3,July,333,15121.207999999997
Technology,2014,Qtr 3,July,103,8004.134000000001
Furniture,2014,Qtr 3,August,107,7320.346500000001
New Office Supplies,2014,Qtr 3,August,,
Office Supplies,2014,Qtr 3,August,376,11379.461999999992
Technology,2014,Qtr 3,August,126,9209.66
Furniture,2014,Qtr 3,September,208,23816.4808
New Office Supplies,2014,Qtr 3,September,,
Office Supplies,2014,Qtr 3,September,624,27423.298
Technology,2014,Qtr 3,September,168,30537.571999999996
Furniture,2014,Qtr 4,October,130,12304.247000000001
New Office Supplies,2014,Qtr 4,October,,
Office Supplies,2014,Qtr 4,October,332,7211.128000000001
Technology,2014,Qtr 4,October,111,11938.018
Furniture,2014,Qtr 4,November,228,21564.8727
New Office Supplies,2014,Qtr 4,November,15,600
Office Supplies,2014,Qtr 4,November,747,27528.31600000001
Technology,2014,Qtr 4,November,250,30201.408
Furniture,2014,Qtr 4,December,312,30645.966500000006
New Office Supplies,2014,Qtr 4,December,,
Office Supplies,2014,Qtr 4,December,573,18006.461999999996
Technology,2014,Qtr 4,December,194,20893.192
Furniture,2015,Qtr 1,January,88,11739.941600000002
New Office Supplies,2015,Qtr 1,January,,
Office Supplies,2015,Qtr 1,January,110,1808.7799999999997
Technology,2015,Qtr 1,January,38,4625.354
Furniture,2015,Qtr 1,February,45,3134.3740000000007
New Office Supplies,2015,Qtr 1,February,,
Office Supplies,2015,Qtr 1,February,149,5368.067000000001
Technology,2015,Qtr 1,February,45,3448.9700000000003
Furniture,2015,Qtr 1,March,111,12499.782999999998
New Office Supplies,2015,Qtr 1,March,,
Office Supplies,2015,Qtr 1,March,314,15882.546999999993
Technology,2015,Qtr 1,March,90,10343.922000000002
Furniture,2015,Qtr 2,April,107,10475.6985
New Office Supplies,2015,Qtr 2,April,,
Office Supplies,2015,Qtr 2,April,298,12558.557999999994
Technology,2015,Qtr 2,April,138,11160.951999999996
Furniture,2015,Qtr 2,May,126,9374.950499999999
New Office Supplies,2015,Qtr 2,May,,
Office Supplies,2015,Qtr 2,May,362,9113.735999999997
Technology,2015,Qtr 2,May,87,11643
Furniture,2015,Qtr 2,June,112,7714.179
New Office Supplies,2015,Qtr 2,June,,
Office Supplies,2015,Qtr 2,June,296,10647.747000000003
Technology,2015,Qtr 2,June,78,6435.366
Furniture,2015,Qtr 3,July,162,13674.419999999998
