Ragged 2.Year,Ragged 2.State,Sum(Ragged 2.PY Sales),Sum(Ragged 2.CY Sales)
2018,Texas,2547896,23125145
2019,Texas,,
2020,Texas,,
2018,Washington,2354785,7453926
2019,Washington,,
2020,Washington,,
2018,Houston,1253644,1598745
2019,Houston,,
2020,Houston,,
2018,California,154792,1254789
2019,California,,
2020,California,,
2018,Wales,,
2019,Wales,254789,1253654
2020,Wales,,
2018,New York,1536723,954764
2019,New York,,
2020,New York,,
2018,LA,1254792,446822
2019,LA,,
2020,LA,,
2018,England,,
2019,England,45879,235896
2020,England,,
2018,Florida,362547,125489
2019,Florida,,
2020,Florida,,
2018,Scotland,,
2019,Scotland,659825,125475
2020,Scotland,,
2018,Dallas,6587489,66712
2019,Dallas,,
2020,Dallas,,
2018,Manitoba,,
2019,Manitoba,,
2020,Manitoba,1587596,
2018,Quebec,,
2019,Quebec,,
2020,Quebec,2548759,
2018,Yuka,,
2019,Yuka,,
2020,Yuka,125486,
