Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Region,Orders.Category,Sum(Orders.Profit)
2014,Central,Furniture,-1105.2240999999995
2015,Central,Furniture,-231.03730000000223
2016,Central,Furniture,-253.50720000000075
2017,Central,Furniture,-1281.2808000000025
2014,Central,Office Supplies,622.3076000000034
2015,Central,Office Supplies,1780.0425999999986
2016,Central,Office Supplies,6392.151999999992
2017,Central,Office Supplies,85.47770000000592
2014,Central,Technology,1022.4698999999966
2015,Central,Technology,10167.796700000004
2016,Central,Technology,13760.518100000008
2017,Central,Technology,8746.6473
2014,East,Furniture,-499.6581000000005
2015,East,Furniture,-47.413200000000074
2016,East,Furniture,1413.1127
2017,East,Furniture,2180.124400000001
2014,East,Office Supplies,6725.326300000005
2015,East,Office Supplies,11040.642400000012
2016,East,Office Supplies,11499.090099999985
2017,East,Office Supplies,11749.52029999998
2014,East,Technology,10833.941300000002
2015,East,Technology,10097.783799999997
2016,East,Technology,7229.3932999999915
2017,East,Technology,19300.916699999994
2014,South,Furniture,4000.579399999997
2015,South,Furniture,208.60639999999876
2016,South,Furniture,3146.4162999999994
2017,South,Furniture,-584.3960000000008
2014,South,Office Supplies,5271.3148999999985
2015,South,Office Supplies,3610.101999999998
2016,South,Office Supplies,5324.5608
2017,South,Office Supplies,5780.415099999996
2014,South,Technology,2607.2256999999963
2015,South,Technology,4499.885599999999
2016,South,Technology,9231.831300000003
2017,South,Technology,3652.8887999999997
2014,West,Furniture,3062.028299999997
2015,West,Furniture,3085.0469999999996
2016,West,Furniture,2653.9312999999947
2017,West,Furniture,2703.9436999999975
2014,West,Office Supplies,9974.4673
2015,West,Office Supplies,8668.746799999997
2016,West,Office Supplies,11845.426299999983
2017,West,Office Supplies,22121.208599999973
2014,West,Technology,7029.1956
2015,West,Technology,8738.400900000002
2016,West,Technology,9552.249299999998
2017,West,Technology,18983.803800000012
