Tax_Reg_No,Bill To Address,Invoice Number,Item Code,Description,Value Column Name,Value
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D46217","Invoice-D46217","Discount","70"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D46217","Invoice-D46217","Price","19651"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D46217","Invoice-D46217","Quantity","41"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D46217","Invoice-D46217","Unit Price","481"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D24366","Invoice-D24366","Discount","69"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D24366","Invoice-D24366","Price","16011"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D24366","Invoice-D24366","Quantity","40"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D24366","Invoice-D24366","Unit Price","402"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D11797","Invoice-D11797","Discount","67"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D11797","Invoice-D11797","Price","8213"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D11797","Invoice-D11797","Quantity","45"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D11797","Invoice-D11797","Unit Price","184"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D33314","Invoice-D33314","Discount","67"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D33314","Invoice-D33314","Price","17936"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D33314","Invoice-D33314","Quantity","51"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D33314","Invoice-D33314","Unit Price","353"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D43442","Invoice-D43442","Discount","66"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D43442","Invoice-D43442","Price","12012"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D43442","Invoice-D43442","Quantity","33"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D43442","Invoice-D43442","Unit Price","366"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D12113","Invoice-D12113","Discount","65"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D12113","Invoice-D12113","Price","16090"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D12113","Invoice-D12113","Quantity","45"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D12113","Invoice-D12113","Unit Price","359"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D18652","Invoice-D18652","Discount","64"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D18652","Invoice-D18652","Price","15782"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D18652","Invoice-D18652","Quantity","38"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D18652","Invoice-D18652","Unit Price","417"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D17813","Invoice-D17813","Discount","62"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D17813","Invoice-D17813","Price","9178"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D17813","Invoice-D17813","Quantity","35"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D17813","Invoice-D17813","Unit Price","264"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D21426","Invoice-D21426","Discount","59"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D21426","Invoice-D21426","Price","17193"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D21426","Invoice-D21426","Quantity","38"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D21426","Invoice-D21426","Unit Price","454"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D24221","Invoice-D24221","Discount","57"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D24221","Invoice-D24221","Price","16507"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D24221","Invoice-D24221","Quantity","41"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D24221","Invoice-D24221","Unit Price","404"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D27920","Invoice-D27920","Discount","56"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D27920","Invoice-D27920","Price","23544"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D27920","Invoice-D27920","Quantity","50"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D27920","Invoice-D27920","Unit Price","472"
"TX-100130","2096 Montgomery Montgomery County Alabama United States","100130","D30392","Invoice-D30392","Discount","56"
