Model3_Invoice_Table.Invoice Date,Model3_Invoice_Table.Order Date,Model3_Invoice_Table.Shipping Date,Model3_Invoice_Table.Bill To Address,Model3_Invoice_Table.Shipping Address,Model3_Invoice_Table.Company Name,Model3_Invoice_Table.Company Address,Model3_Invoice_Table.Date,Model3_Invoice_Table.Phone,Model3_Invoice_Table.Invoice Number,Model3_Invoice_Table.Item Code,Model3_Invoice_Table.Description,Sum(Model3_Invoice_Table.Unit Price),Sum(Model3_Invoice_Table.Quantity),Sum(Model3_Invoice_Table.Discount),Sum(Model3_Invoice_Table.Price)
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D23818,Invoice - D23818,346,41,41,14145
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D23818,Invoice - D23818,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D23818,Invoice - D23818,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D23818,Invoice - D23818,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D23818,Invoice - D23818,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D23929,Invoice - D23929,157,49,46,7647
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D23929,Invoice - D23929,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D23929,Invoice - D23929,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D23929,Invoice - D23929,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D23929,Invoice - D23929,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25013,Invoice - D25013,412,20,46,8194
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25013,Invoice - D25013,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25013,Invoice - D25013,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25013,Invoice - D25013,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25013,Invoice - D25013,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25114,Invoice - D25114,253,22,27,5539
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25114,Invoice - D25114,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25114,Invoice - D25114,,,,
12/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25114,Invoice - D25114,,,,
03/07/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25114,Invoice - D25114,,,,
12/02/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25466,Invoice - D25466,417,36,43,14969
25/04/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25466,Invoice - D25466,,,,
02/06/2021,12/02/2021,17/02/2021,9189 Mesa Maricopa County Arizona United States,9189 Mesa Maricopa County Arizona United States,Contoso Ltd,"567, Walnut Lane, Moline, MO 098765",12/04/2020,540-1290-160,100120,D25466,Invoice - D25466,,,,
