Model3_Invoice_Table.Tax_Reg_No,Model3_Invoice_Table.Bill To Address,Model3_Invoice_Table.Invoice Number,Model3_Invoice_Table.Item Code,Model3_Invoice_Table.Description,Sum(Model3_Invoice_Table.Discount),Sum(Model3_Invoice_Table.Price),Sum(Model3_Invoice_Table.Quantity),Sum(Model3_Invoice_Table.Unit Price)
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D46217,Invoice-D46217,70,19651,41,481
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D24366,Invoice-D24366,69,16011,40,402
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D11797,Invoice-D11797,67,8213,45,184
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D33314,Invoice-D33314,67,17936,51,353
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D43442,Invoice-D43442,66,12012,33,366
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D12113,Invoice-D12113,65,16090,45,359
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D18652,Invoice-D18652,64,15782,38,417
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D17813,Invoice-D17813,62,9178,35,264
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D21426,Invoice-D21426,59,17193,38,454
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D24221,Invoice-D24221,57,16507,41,404
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D27920,Invoice-D27920,56,23544,50,472
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D30392,Invoice-D30392,56,26564,55,484
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D27458,Invoice-D27458,55,10313,36,288
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D28436,Invoice-D28436,55,12125,42,290
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D46042,Invoice-D46042,54,8922,44,204
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D37304,Invoice-D37304,52,5864,58,102
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D43169,Invoice-D43169,49,7085,41,174
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D22882,Invoice-D22882,47,4153,42,100
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D33589,Invoice-D33589,44,21951,53,415
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D48224,Invoice-D48224,44,18954,46,413
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D32436,Invoice-D32436,43,6436,31,209
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D37183,Invoice-D37183,43,14891,38,393
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D47643,Invoice-D47643,41,6679,32,210
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D49304,Invoice-D49304,41,23767,48,496
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D49806,Invoice-D49806,38,3775,31,123
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D30106,Invoice-D30106,35,15873,41,388
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D42519,Invoice-D42519,35,21195,55,386
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D19600,Invoice-D19600,33,10191,36,284
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D20086,Invoice-D20086,33,19272,45,429
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D24071,Invoice-D24071,33,10047,30,336
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D28967,Invoice-D28967,31,13775,59,234
TX-100130,2096 Montgomery Montgomery County Alabama United States,100130,D41443,Invoice-D41443,31,6695,57,118
TX-100140,1684 Costa Mesa Orange County California United States,100140,D31852,Invoice-D31852,68,9219,37,251
TX-100140,1684 Costa Mesa Orange County California United States,100140,D35869,Invoice-D35869,68,19092,40,479
TX-100140,1684 Costa Mesa Orange County California United States,100140,D40148,Invoice-D40148,68,16045,41,393
TX-100140,1684 Costa Mesa Orange County California United States,100140,D34003,Invoice-D34003,66,4692,39,122
TX-100140,1684 Costa Mesa Orange County California United States,100140,D14490,Invoice-D14490,65,7495,56,135
TX-100140,1684 Costa Mesa Orange County California United States,100140,D37764,Invoice-D37764,64,12514,38,331
TX-100140,1684 Costa Mesa Orange County California United States,100140,D13098,Invoice-D13098,63,19717,43,460
TX-100140,1684 Costa Mesa Orange County California United States,100140,D24527,Invoice-D24527,54,9342,58,162
TX-100140,1684 Costa Mesa Orange County California United States,100140,D29424,Invoice-D29424,51,10695,54,199
TX-100140,1684 Costa Mesa Orange County California United States,100140,D29634,Invoice-D29634,50,17851,39,459
TX-100140,1684 Costa Mesa Orange County California United States,100140,D31251,Invoice-D31251,49,14942,57,263
TX-100140,1684 Costa Mesa Orange County California United States,100140,D23084,Invoice-D23084,48,21028,44,479
TX-100140,1684 Costa Mesa Orange County California United States,100140,D43764,Invoice-D43764,47,11433,35,328
TX-100140,1684 Costa Mesa Orange County California United States,100140,D49846,Invoice-D49846,47,6843,53,130
TX-100140,1684 Costa Mesa Orange County California United States,100140,D22956,Invoice-D22956,46,9026,36,252
TX-100140,1684 Costa Mesa Orange County California United States,100140,D23110,Invoice-D23110,46,15929,45,355
TX-100140,1684 Costa Mesa Orange County California United States,100140,D23662,Invoice-D23662,46,26442,56,473
TX-100140,1684 Costa Mesa Orange County California United States,100140,D41850,Invoice-D41850,45,12304,53,233
TX-100140,1684 Costa Mesa Orange County California United States,100140,D19401,Invoice-D19401,42,18498,60,309
TX-100140,1684 Costa Mesa Orange County California United States,100140,D49666,Invoice-D49666,41,11332,51,223
TX-100140,1684 Costa Mesa Orange County California United States,100140,D34103,Invoice-D34103,35,5575,33,170
TX-100140,1684 Costa Mesa Orange County California United States,100140,D26705,Invoice-D26705,32,23439,49,479
TX-100140,1684 Costa Mesa Orange County California United States,100140,D22668,Invoice-D22668,30,16424,38,433
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D57546,Invoice-D57546,70,6257,57,111
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D60005,Invoice-D60005,70,4809,41,119
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D69389,Invoice-D69389,66,14830,56,266
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D75734,Invoice-D75734,65,14065,45,314
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D63100,Invoice-D63100,57,17331,46,378
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D70030,Invoice-D70030,57,8259,36,231
TX-100150,335 Phoenix Maricopa County Arizona United States,100150,D72732,Invoice-D72732,57,7197,39,186
