Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit)
January,2014,Furniture,Bookcases,-326.78479999999996
February,2014,Furniture,Bookcases,
March,2014,Furniture,Bookcases,-141.22500000000002
April,2014,Furniture,Bookcases,-18.147
May,2014,Furniture,Bookcases,-189.62150000000003
June,2014,Furniture,Bookcases,-6.57660000000002
July,2014,Furniture,Bookcases,266.93859999999995
August,2014,Furniture,Bookcases,164.70860000000002
September,2014,Furniture,Bookcases,-120.92920000000008
October,2014,Furniture,Bookcases,-36.294
November,2014,Furniture,Bookcases,-115.0854000000003
December,2014,Furniture,Bookcases,176.8455999999998
January,2015,Furniture,Bookcases,-681.8634000000003
February,2015,Furniture,Bookcases,82.33679999999998
March,2015,Furniture,Bookcases,-2.4864000000001454
April,2015,Furniture,Bookcases,-85.88759999999999
May,2015,Furniture,Bookcases,182.68249999999983
June,2015,Furniture,Bookcases,-376.6932
July,2015,Furniture,Bookcases,-261.5391999999998
August,2015,Furniture,Bookcases,-6.493599999999873
September,2015,Furniture,Bookcases,-1437.2216000000003
October,2015,Furniture,Bookcases,78.38619999999992
November,2015,Furniture,Bookcases,747.1600999999999
December,2015,Furniture,Bookcases,-993.6108000000002
January,2016,Furniture,Bookcases,385.4980000000001
February,2016,Furniture,Bookcases,52.79559999999998
March,2016,Furniture,Bookcases,-544.2578000000001
April,2016,Furniture,Bookcases,114.65040000000002
May,2016,Furniture,Bookcases,
June,2016,Furniture,Bookcases,301.6541999999999
July,2016,Furniture,Bookcases,295.5995999999999
August,2016,Furniture,Bookcases,-110.63480000000003
September,2016,Furniture,Bookcases,-300.8090000000001
October,2016,Furniture,Bookcases,113.95900000000002
November,2016,Furniture,Bookcases,15.273199999999889
December,2016,Furniture,Bookcases,-111.25740000000012
January,2017,Furniture,Bookcases,71.93060000000001
February,2017,Furniture,Bookcases,114.86059999999992
March,2017,Furniture,Bookcases,6.3411999999998585
April,2017,Furniture,Bookcases,27.77899999999991
May,2017,Furniture,Bookcases,-231.57760000000013
June,2017,Furniture,Bookcases,313.1868999999999
July,2017,Furniture,Bookcases,260.57319999999993
August,2017,Furniture,Bookcases,-102.42239999999997
September,2017,Furniture,Bookcases,-150.53280000000007
October,2017,Furniture,Bookcases,-332.83180000000004
November,2017,Furniture,Bookcases,-194.14419999999996
December,2017,Furniture,Bookcases,-366.7888
January,2014,Furniture,Chairs,1058.0255999999997
February,2014,Furniture,Chairs,-9.071500000000022
March,2014,Furniture,Chairs,354.1411
April,2014,Furniture,Chairs,212.6848
May,2014,Furniture,Chairs,224.4649
June,2014,Furniture,Chairs,634.9175999999999
July,2014,Furniture,Chairs,-4.776399999999967
August,2014,Furniture,Chairs,442.7839999999999
September,2014,Furniture,Chairs,1433.8841999999995
October,2014,Furniture,Chairs,854.2198999999999
November,2014,Furniture,Chairs,173.31159999999983
December,2014,Furniture,Chairs,1580.4612
January,2015,Furniture,Chairs,-70.0656
February,2015,Furniture,Chairs,320.10659999999984
March,2015,Furniture,Chairs,320.41219999999976
April,2015,Furniture,Chairs,304.7894999999999
May,2015,Furniture,Chairs,564.6148999999998
June,2015,Furniture,Chairs,98.65839999999986
July,2015,Furniture,Chairs,165.95199999999952
August,2015,Furniture,Chairs,29.037800000000047
September,2015,Furniture,Chairs,1935.7314000000001
October,2015,Furniture,Chairs,-184.35529999999977
November,2015,Furniture,Chairs,1747.6279999999995
December,2015,Furniture,Chairs,995.9062000000002
January,2016,Furniture,Chairs,10.417199999999951
February,2016,Furniture,Chairs,298.9628000000001
March,2016,Furniture,Chairs,56.00579999999994
April,2016,Furniture,Chairs,1009.4275999999999
May,2016,Furniture,Chairs,655.3148000000001
June,2016,Furniture,Chairs,-63.24760000000018
July,2016,Furniture,Chairs,408.47119999999984
August,2016,Furniture,Chairs,-149.4184000000001
September,2016,Furniture,Chairs,655.7048999999997
October,2016,Furniture,Chairs,493.6503999999997
November,2016,Furniture,Chairs,369.32559999999955
December,2016,Furniture,Chairs,2018.5395999999994
January,2017,Furniture,Chairs,-96.75929999999997
February,2017,Furniture,Chairs,154.00859999999963
March,2017,Furniture,Chairs,1021.4722999999999
April,2017,Furniture,Chairs,132.6642
May,2017,Furniture,Chairs,324.7803999999998
June,2017,Furniture,Chairs,813.5081999999996
July,2017,Furniture,Chairs,196.23499999999996
August,2017,Furniture,Chairs,206.2585999999997
September,2017,Furniture,Chairs,2019.5065999999995
October,2017,Furniture,Chairs,-102.58670000000005
November,2017,Furniture,Chairs,954.0282999999995
December,2017,Furniture,Chairs,2020.4330999999997
January,2014,Furniture,Furnishings,90.87570000000002
February,2014,Furniture,Furnishings,54.389999999999986
March,2014,Furniture,Furnishings,38.316199999999974
April,2014,Furniture,Furnishings,288.5029
May,2014,Furniture,Furnishings,-2.667999999999978
June,2014,Furniture,Furnishings,66.04260000000002
July,2014,Furniture,Furnishings,170.6711
August,2014,Furniture,Furnishings,213.44080000000005
September,2014,Furniture,Furnishings,721.3684999999999
October,2014,Furniture,Furnishings,69.52669999999999
November,2014,Furniture,Furnishings,277.7045
December,2014,Furniture,Furnishings,-15.279100000000005
January,2015,Furniture,Furnishings,-13.483199999999954
February,2015,Furniture,Furnishings,21.563999999999993
March,2015,Furniture,Furnishings,316.17820000000006
April,2015,Furniture,Furnishings,481.63959999999975
May,2015,Furniture,Furnishings,184.65949999999998
June,2015,Furniture,Furnishings,391.0155999999999
July,2015,Furniture,Furnishings,263.48299999999995
August,2015,Furniture,Furnishings,80.9603
September,2015,Furniture,Furnishings,516.0721999999998
October,2015,Furniture,Furnishings,-28.777200000000008
November,2015,Furniture,Furnishings,546.9366000000001
December,2015,Furniture,Furnishings,291.5702999999999
January,2016,Furniture,Furnishings,210.99239999999998
February,2016,Furniture,Furnishings,65.48499999999994
March,2016,Furniture,Furnishings,406.07959999999974
April,2016,Furniture,Furnishings,37.70939999999999
May,2016,Furniture,Furnishings,618.3041000000002
June,2016,Furniture,Furnishings,-296.2466
July,2016,Furniture,Furnishings,-21.60900000000015
August,2016,Furniture,Furnishings,143.67160000000007
September,2016,Furniture,Furnishings,614.9822999999998
October,2016,Furniture,Furnishings,122.2684
November,2016,Furniture,Furnishings,599.2750999999996
December,2016,Furniture,Furnishings,1434.3577
January,2017,Furniture,Furnishings,115.72200000000004
February,2017,Furniture,Furnishings,93.53609999999998
March,2017,Furniture,Furnishings,140.66930000000005
April,2017,Furniture,Furnishings,392.19699999999995
May,2017,Furniture,Furnishings,346.84
June,2017,Furniture,Furnishings,198.2182
July,2017,Furniture,Furnishings,372.5873
August,2017,Furniture,Furnishings,313.3676
September,2017,Furniture,Furnishings,547.8600999999998
October,2017,Furniture,Furnishings,485.53189999999995
November,2017,Furniture,Furnishings,822.5541000000001
December,2017,Furniture,Furnishings,270.07919999999996
January,2014,Furniture,Tables,-16.64999999999999
February,2014,Furniture,Tables,75.37319999999994
March,2014,Furniture,Tables,-1379.8873
April,2014,Furniture,Tables,71.33939999999993
May,2014,Furniture,Tables,-382.053
June,2014,Furniture,Tables,-98.06830000000045
July,2014,Furniture,Tables,-58.58660000000013
August,2014,Furniture,Tables,-157.46170000000015
September,2014,Furniture,Tables,-175.72590000000037
October,2014,Furniture,Tables,-638.2881000000001
November,2014,Furniture,Tables,-633.8265
December,2014,Furniture,Tables,269.79209999999995
January,2015,Furniture,Tables,-2248.7878
February,2015,Furniture,Tables,-29.112599999999993
March,2015,Furniture,Tables,820.9532999999999
April,2015,Furniture,Tables,-361.8913000000001
May,2015,Furniture,Tables,-31.372200000000007
June,2015,Furniture,Tables,-525.6405000000002
July,2015,Furniture,Tables,-492.9896000000001
August,2015,Furniture,Tables,-590.9754000000001
September,2015,Furniture,Tables,335.53649999999993
October,2015,Furniture,Tables,-470.7700000000001
November,2015,Furniture,Tables,-49.70070000000044
December,2015,Furniture,Tables,134.94839999999976
January,2016,Furniture,Tables,-302.9469
February,2016,Furniture,Tables,-40.20820000000003
March,2016,Furniture,Tables,-473.0956
April,2016,Furniture,Tables,-796.954
May,2016,Furniture,Tables,550.8549999999996
June,2016,Furniture,Tables,-48.426500000000146
July,2016,Furniture,Tables,356.44550000000004
August,2016,Furniture,Tables,-377.7641000000003
September,2016,Furniture,Tables,-267.2757000000002
October,2016,Furniture,Tables,-874.5378000000003
November,2016,Furniture,Tables,-164.06510000000034
December,2016,Furniture,Tables,-512.9684000000007
January,2017,Furniture,Tables,-130.33350000000016
February,2017,Furniture,Tables,-561.4474
March,2017,Furniture,Tables,-167.6296000000001
April,2017,Furniture,Tables,-350.17779999999993
May,2017,Furniture,Tables,-512.9257
June,2017,Furniture,Tables,-419.91770000000014
July,2017,Furniture,Tables,-504.77110000000005
August,2017,Furniture,Tables,-94.96479999999988
September,2017,Furniture,Tables,-868.1502
October,2017,Furniture,Tables,-2577.0337
November,2017,Furniture,Tables,-1176.3745000000001
December,2017,Furniture,Tables,-776.9687
January,2014,Office Supplies,Appliances,100.06800000000001
February,2014,Office Supplies,Appliances,9.018799999999995
March,2014,Office Supplies,Appliances,-361.5468
April,2014,Office Supplies,Appliances,149.80119999999994
May,2014,Office Supplies,Appliances,76.60179999999991
June,2014,Office Supplies,Appliances,733.4424999999999
July,2014,Office Supplies,Appliances,-10.771600000000003
August,2014,Office Supplies,Appliances,500.5180000000001
September,2014,Office Supplies,Appliances,-169.12180000000012
October,2014,Office Supplies,Appliances,78.69639999999995
November,2014,Office Supplies,Appliances,680.7037999999999
December,2014,Office Supplies,Appliances,672.0895999999998
January,2015,Office Supplies,Appliances,69.35040000000001
February,2015,Office Supplies,Appliances,163.73759999999993
March,2015,Office Supplies,Appliances,-272.19550000000004
April,2015,Office Supplies,Appliances,-282.56110000000064
May,2015,Office Supplies,Appliances,152.8504999999998
June,2015,Office Supplies,Appliances,-393.6020000000001
July,2015,Office Supplies,Appliances,-186.13640000000004
August,2015,Office Supplies,Appliances,243.08399999999995
September,2015,Office Supplies,Appliances,637.2758999999998
October,2015,Office Supplies,Appliances,414.98609999999996
November,2015,Office Supplies,Appliances,1577.0888
December,2015,Office Supplies,Appliances,388.0173999999999
January,2016,Office Supplies,Appliances,6.486400000000003
February,2016,Office Supplies,Appliances,-38.712000000000046
March,2016,Office Supplies,Appliances,529.7849
April,2016,Office Supplies,Appliances,-16.03500000000001
May,2016,Office Supplies,Appliances,285.0005
June,2016,Office Supplies,Appliances,252.55879999999993
July,2016,Office Supplies,Appliances,603.7648999999999
August,2016,Office Supplies,Appliances,478.41859999999997
September,2016,Office Supplies,Appliances,136.55659999999978
October,2016,Office Supplies,Appliances,1049.4084
November,2016,Office Supplies,Appliances,724.2954
December,2016,Office Supplies,Appliances,1289.814
January,2017,Office Supplies,Appliances,422.8897999999999
February,2017,Office Supplies,Appliances,977.4929999999997
March,2017,Office Supplies,Appliances,308.37390000000005
April,2017,Office Supplies,Appliances,-143.64300000000014
May,2017,Office Supplies,Appliances,692.0073999999997
June,2017,Office Supplies,Appliances,896.7263999999999
July,2017,Office Supplies,Appliances,197.42179999999996
August,2017,Office Supplies,Appliances,1620.5970999999997
September,2017,Office Supplies,Appliances,426.6953
October,2017,Office Supplies,Appliances,755.3627999999998
November,2017,Office Supplies,Appliances,1020.9106999999992
December,2017,Office Supplies,Appliances,690.4331
January,2014,Office Supplies,Art,52.54889999999999
February,2014,Office Supplies,Art,12.213599999999996
March,2014,Office Supplies,Art,108.34239999999997
April,2014,Office Supplies,Art,157.79719999999998
May,2014,Office Supplies,Art,70.7806
June,2014,Office Supplies,Art,178.2599
July,2014,Office Supplies,Art,59.75559999999999
August,2014,Office Supplies,Art,48.77279999999999
September,2014,Office Supplies,Art,203.94889999999998
October,2014,Office Supplies,Art,189.88120000000004
November,2014,Office Supplies,Art,131.99179999999996
December,2014,Office Supplies,Art,192.51019999999997
January,2015,Office Supplies,Art,35.73459999999999
February,2015,Office Supplies,Art,103.3204
March,2015,Office Supplies,Art,30.3924
April,2015,Office Supplies,Art,111.6217
May,2015,Office Supplies,Art,110.62869999999998
June,2015,Office Supplies,Art,101.10699999999997
July,2015,Office Supplies,Art,69.6865
August,2015,Office Supplies,Art,91.79679999999998
September,2015,Office Supplies,Art,246.01919999999998
October,2015,Office Supplies,Art,72.92269999999998
November,2015,Office Supplies,Art,297.4232
December,2015,Office Supplies,Art,214.40500000000006
January,2016,Office Supplies,Art,33.85889999999999
February,2016,Office Supplies,Art,79.09440000000001
March,2016,Office Supplies,Art,56.869599999999984
April,2016,Office Supplies,Art,199.0665
May,2016,Office Supplies,Art,131.97739999999996
June,2016,Office Supplies,Art,34.3096
July,2016,Office Supplies,Art,117.28880000000001
August,2016,Office Supplies,Art,103.90479999999998
September,2016,Office Supplies,Art,186.0178
October,2016,Office Supplies,Art,118.45140000000004
November,2016,Office Supplies,Art,256.3609
December,2016,Office Supplies,Art,96.76250000000002
January,2017,Office Supplies,Art,110.70349999999998
February,2017,Office Supplies,Art,66.79190000000001
March,2017,Office Supplies,Art,115.41749999999999
April,2017,Office Supplies,Art,140.13020000000003
May,2017,Office Supplies,Art,177.1639
June,2017,Office Supplies,Art,262.15249999999986
July,2017,Office Supplies,Art,250.71079999999995
August,2017,Office Supplies,Art,198.79600000000002
September,2017,Office Supplies,Art,266.9102
October,2017,Office Supplies,Art,122.67829999999998
November,2017,Office Supplies,Art,311.97240000000005
December,2017,Office Supplies,Art,198.53589999999997
January,2014,Office Supplies,Binders,190.73869999999994
February,2014,Office Supplies,Binders,61.550700000000006
March,2014,Office Supplies,Binders,381.3023999999999
April,2014,Office Supplies,Binders,-272.40769999999986
May,2014,Office Supplies,Binders,1197.6296999999995
June,2014,Office Supplies,Binders,1236.6153
July,2014,Office Supplies,Binders,-3593.6804000000016
August,2014,Office Supplies,Binders,782.8131
September,2014,Office Supplies,Binders,5129.968500000002
October,2014,Office Supplies,Binders,70.4692
November,2014,Office Supplies,Binders,258.9680999999985
December,2014,Office Supplies,Binders,-704.2516000000003
January,2015,Office Supplies,Binders,76.9786
February,2015,Office Supplies,Binders,1283.6806999999997
March,2015,Office Supplies,Binders,3874.7657999999988
April,2015,Office Supplies,Binders,1279.5077999999996
May,2015,Office Supplies,Binders,111.56609999999999
June,2015,Office Supplies,Binders,1982.4086
July,2015,Office Supplies,Binders,378.0900999999998
August,2015,Office Supplies,Binders,715.1883999999998
September,2015,Office Supplies,Binders,-820.5640000000001
October,2015,Office Supplies,Binders,145.36759999999995
November,2015,Office Supplies,Binders,-1394.2944000000002
December,2015,Office Supplies,Binders,-36.023899999999884
January,2016,Office Supplies,Binders,668.3810999999998
February,2016,Office Supplies,Binders,169.13539999999998
March,2016,Office Supplies,Binders,296.28860000000003
April,2016,Office Supplies,Binders,-1919.9639000000009
May,2016,Office Supplies,Binders,136.2576
June,2016,Office Supplies,Binders,140.68730000000005
July,2016,Office Supplies,Binders,-878.8797000000001
August,2016,Office Supplies,Binders,171.91089999999988
September,2016,Office Supplies,Binders,942.9207999999992
October,2016,Office Supplies,Binders,2290.3235
November,2016,Office Supplies,Binders,1028.2263999999996
December,2016,Office Supplies,Binders,7170.3461
January,2017,Office Supplies,Binders,1915.5601999999997
February,2017,Office Supplies,Binders,-824.3270000000002
March,2017,Office Supplies,Binders,577.7150999999997
April,2017,Office Supplies,Binders,1698.8846
May,2017,Office Supplies,Binders,782.1134999999998
June,2017,Office Supplies,Binders,238.97989999999987
July,2017,Office Supplies,Binders,697.3595
August,2017,Office Supplies,Binders,2592.9903999999983
September,2017,Office Supplies,Binders,2189.175099999999
October,2017,Office Supplies,Binders,1464.0966999999991
November,2017,Office Supplies,Binders,-973.1812000000003
December,2017,Office Supplies,Binders,-2689.6250000000005
January,2014,Office Supplies,Envelopes,78.472
February,2014,Office Supplies,Envelopes,
March,2014,Office Supplies,Envelopes,121.52109999999999
April,2014,Office Supplies,Envelopes,177.42789999999997
May,2014,Office Supplies,Envelopes,98.5077
June,2014,Office Supplies,Envelopes,40.0672
July,2014,Office Supplies,Envelopes,46.19160000000001
August,2014,Office Supplies,Envelopes,73.74199999999999
September,2014,Office Supplies,Envelopes,175.4097
October,2014,Office Supplies,Envelopes,125.89349999999999
November,2014,Office Supplies,Envelopes,400.74289999999996
December,2014,Office Supplies,Envelopes,157.50319999999996
January,2015,Office Supplies,Envelopes,8.2156
February,2015,Office Supplies,Envelopes,181.26489999999995
March,2015,Office Supplies,Envelopes,95.16279999999999
April,2015,Office Supplies,Envelopes,91.2484
May,2015,Office Supplies,Envelopes,163.77359999999993
