Superstore 2023.Segment,Superstore 2023.Region,Superstore 2023.Category,Superstore 2023.Sub-Category,Superstore 2023.ProfitM,Sum(Superstore 2023.Sales)
Consumer,Central,Technology,Phones,6416.0196,37108.786
Corporate,Central,Technology,Phones,2391.2797,17180.796
Home Office,Central,Technology,Phones,3515.7274,18113.7
Consumer,East,Technology,Phones,7328.2536,51512.038
Corporate,East,Technology,Phones,3129.6183,29865.618
Home Office,East,Technology,Phones,1856.8141,19237.326
Consumer,South,Technology,Phones,5623.9118,30846.204
Corporate,South,Technology,Phones,3680.212,19274.232
Home Office,South,Technology,Phones,1463.1515,8184.002
Consumer,West,Technology,Phones,4468.9297,50465.736
Corporate,West,Technology,Phones,2565.1096,24832.768
Home Office,West,Technology,Phones,2076.7033,23385.848
Consumer,Central,Technology,Machines,-1667.028,11999.762
Corporate,Central,Technology,Machines,-361.5044,11716.734
Home Office,Central,Technology,Machines,542.4658,3080.888
Consumer,East,Technology,Machines,-1296.085,30668.429
Corporate,East,Technology,Machines,2624.6023,23892.036
Home Office,East,Technology,Machines,5600.1256,11545.7
Consumer,South,Technology,Machines,2910.5588,18338.55
Corporate,South,Technology,Machines,-2520.1179,12001.155
Home Office,South,Technology,Machines,-1829.3339,23551.255
Consumer,West,Technology,Machines,2193.616,18536.084
Corporate,West,Technology,Machines,960.039,12666.83
Home Office,West,Technology,Machines,-3772.5814,11241.208
Consumer,Central,Technology,Accessories,3743.3859,19062.304
Corporate,Central,Technology,Accessories,1462.9337,6195.238
Home Office,Central,Technology,Accessories,2045.311,8698.534
Consumer,East,Technology,Accessories,5240.0783,22861.056
Corporate,East,Technology,Accessories,2933.5911,11747.998
Home Office,East,Technology,Accessories,3022.195,10424.318
Consumer,South,Technology,Accessories,2788.3072,11651.564
Corporate,South,Technology,Accessories,3085.4777,10175.456
Home Office,South,Technology,Accessories,1130.7575,5449.734
Consumer,West,Technology,Accessories,8964.1511,33530.314
Corporate,West,Technology,Accessories,5225.478,20071.872
Home Office,West,Technology,Accessories,2294.9692,7511.93
Consumer,Central,Technology,Copiers,1482.9616,4519.884
Corporate,Central,Technology,Copiers,12789.9043,29679.742
Home Office,Central,Technology,Copiers,1335.9754,3059.944
Consumer,East,Technology,Copiers,8657.9325,30399.706
Corporate,East,Technology,Copiers,1134.9765,4219.914
Home Office,East,Technology,Copiers,7229.9328,18599.842
Consumer,South,Technology,Copiers,1783.9452,4439.868
Corporate,South,Technology,Copiers,1874.9615,4859.888
Home Office,South,Technology,Copiers,,
Consumer,West,Technology,Copiers,12158.8713,30459.612
Corporate,West,Technology,Copiers,3190.4366,8069.842
Home Office,West,Technology,Copiers,3977.9272,11219.788
Consumer,Central,Furniture,Chairs,2920.9013,42933.375
Corporate,Central,Furniture,Chairs,3206.8837,27989.552
Home Office,Central,Furniture,Chairs,464.9371,14307.719
Consumer,East,Furniture,Chairs,4917.3952,59645.133
Corporate,East,Furniture,Chairs,2720.5878,23505.23
Home Office,East,Furniture,Chairs,1719.7876,13110.32
Consumer,South,Furniture,Chairs,4017.0347,26804.226
Corporate,South,Furniture,Chairs,1183.9545,11366.872
Home Office,South,Furniture,Chairs,1411.1001,7005.348
Consumer,West,Furniture,Chairs,1380.0007,43480.008
Corporate,West,Furniture,Chairs,1233.2305,36279.224
Home Office,West,Furniture,Chairs,1414.3531,22022.096
Consumer,Central,Furniture,Tables,-3964.1571,20835
Corporate,Central,Furniture,Tables,707.1806,12562.593
Home Office,Central,Furniture,Tables,-302.6739,5757.378
Consumer,East,Furniture,Tables,-3708.3528,14082.467
Corporate,East,Furniture,Tables,-5299.6557,17551.558
Home Office,East,Furniture,Tables,-2017.3716,7505.782
Consumer,South,Furniture,Tables,-2577.4996,24408.842
Corporate,South,Furniture,Tables,-1388.2239,12619.6755
Home Office,South,Furniture,Tables,-657.3344,6887.6745
Consumer,West,Furniture,Tables,521.9717,40607.486
Corporate,West,Furniture,Tables,1074.2004,28137.891
Home Office,West,Furniture,Tables,-113.5648,16009.185
Consumer,Central,Furniture,Bookcases,-1497.126,12960.854
Corporate,Central,Furniture,Bookcases,-382.7121,8389.5008
Home Office,Central,Furniture,Bookcases,-118.0662,2806.822
Consumer,East,Furniture,Bookcases,-2192.0672,27307.134
Corporate,East,Furniture,Bookcases,964.963,13168.932
Home Office,East,Furniture,Bookcases,59.4724,3343.268
Consumer,South,Furniture,Bookcases,1220.012,8716.562
Corporate,South,Furniture,Bookcases,68.3666,1153.804
Home Office,South,Furniture,Bookcases,51.1132,1028.996
Consumer,West,Furniture,Bookcases,-1966.457,19648.179
Corporate,West,Furniture,Bookcases,-12.1673,11293.6875
Home Office,West,Furniture,Bookcases,332.1126,5062.257
Consumer,Central,Furniture,Furnishings,-1454.0524,9499.99
Corporate,Central,Furniture,Furnishings,-1209.3583,3143.956
Home Office,Central,Furniture,Furnishings,-1242.8061,2610.424
Consumer,East,Furniture,Furnishings,3021.137,13177.068
Corporate,East,Furniture,Furnishings,1956.2306,9983.326
Home Office,East,Furniture,Furnishings,904.0395,5910.986
Consumer,South,Furniture,Furnishings,1957.1855,10870.574
Corporate,South,Furniture,Furnishings,1087.9331,4504.68
Home Office,South,Furniture,Furnishings,397.5643,1931.43
Consumer,West,Furniture,Furnishings,4395.1526,16072.414
Corporate,West,Furniture,Furnishings,1673.4023,7369.304
Home Office,West,Furniture,Furnishings,1572.7155,6631.012
Consumer,Central,Office Supplies,Storage,413.3101,24671.81
Corporate,Central,Office Supplies,Storage,1084.5102,12656.604
Home Office,Central,Office Supplies,Storage,472.0162,8601.698
Consumer,East,Office Supplies,Storage,1973.9242,24994.458
Corporate,East,Office Supplies,Storage,3836.4565,30968.37
Home Office,East,Office Supplies,Storage,2578.9905,15649.756
Consumer,South,Office Supplies,Storage,888.6697,16881.746
Corporate,South,Office Supplies,Storage,718.5711,11362.258
Home Office,South,Office Supplies,Storage,667.0557,7524.056
Consumer,West,Office Supplies,Storage,3828.2964,33944.388
Corporate,West,Office Supplies,Storage,3491.4869,24803.766
Home Office,West,Office Supplies,Storage,1325.5389,11784.698
Consumer,Central,Office Supplies,Binders,1832.321,39693.576
Corporate,Central,Office Supplies,Binders,-4420.4249,8879.54
Home Office,Central,Office Supplies,Binders,1544.467,8350.166
Consumer,East,Office Supplies,Binders,6740.6697,31622.61
Corporate,East,Office Supplies,Binders,2833.0034,12048.381
Home Office,East,Office Supplies,Binders,1694.2615,9827.006
Consumer,South,Office Supplies,Binders,1583.9285,18617.703
Corporate,South,Office Supplies,Binders,2496.2001,11827.632
Home Office,South,Office Supplies,Binders,-179.4646,6585.006
Consumer,West,Office Supplies,Binders,7838.678,28227.12
Corporate,West,Office Supplies,Binders,5468.5415,18804.76
Home Office,West,Office Supplies,Binders,2789.5821,8929.233
Consumer,Central,Office Supplies,Appliances,-3775.6065,9818.721
Corporate,Central,Office Supplies,Appliances,-459.2306,5224.759
Home Office,Central,Office Supplies,Appliances,1596.2196,8538.553
Consumer,East,Office Supplies,Appliances,5008.7579,19389.756
Corporate,East,Office Supplies,Appliances,2607.2872,10981.264
Home Office,East,Office Supplies,Appliances,775.3683,3817.446
Consumer,South,Office Supplies,Appliances,1455.2632,8287.354
Corporate,South,Office Supplies,Appliances,2543.8218,10123.636
Home Office,South,Office Supplies,Appliances,124.8546,1114.336
Consumer,West,Office Supplies,Appliances,4293.5136,15323.75
Corporate,West,Office Supplies,Appliances,2738.0168,10259.024
Home Office,West,Office Supplies,Appliances,1229.7395,4653.562
Consumer,Central,Office Supplies,Paper,2914.6377,7564.02
Corporate,Central,Office Supplies,Paper,2399.2305,5952.002
Home Office,Central,Office Supplies,Paper,1658.0323,3975.88
Consumer,East,Office Supplies,Paper,3917.3307,8661.268
Corporate,East,Office Supplies,Paper,2668.9582,5975.116
Home Office,East,Office Supplies,Paper,2429.0821,5536.218
Consumer,South,Office Supplies,Paper,3085.3364,7603.272
Corporate,South,Office Supplies,Paper,1410.0633,3345.322
Home Office,South,Office Supplies,Paper,1451.6617,3202.39
Consumer,West,Office Supplies,Paper,5617.3388,12495.808
Corporate,West,Office Supplies,Paper,3883.2948,8610.69
Home Office,West,Office Supplies,Paper,2618.6028,5557.22
Consumer,Central,Office Supplies,Supplies,-782.0922,4559.912
Corporate,Central,Office Supplies,Supplies,101.8498,4382.928
Home Office,Central,Office Supplies,Supplies,18.3543,524.532
Consumer,East,Office Supplies,Supplies,-1171.6357,8567.826
Corporate,East,Office Supplies,Supplies,-12.8974,1849.258
Home Office,East,Office Supplies,Supplies,29.3979,343.032
Consumer,South,Office Supplies,Supplies,69.8592,2123.554
Corporate,South,Office Supplies,Supplies,-111.6379,6022.154
Home Office,South,Office Supplies,Supplies,43.656,173.22
Consumer,West,Office Supplies,Supplies,226.3174,10490.204
Corporate,West,Office Supplies,Supplies,361.6119,7180.944
Home Office,West,Office Supplies,Supplies,38.1172,455.974
Consumer,Central,Office Supplies,Art,605.5615,3272.352
Corporate,Central,Office Supplies,Art,343.9693,1478.742
Home Office,Central,Office Supplies,Art,245.6283,1014.246
Consumer,East,Office Supplies,Art,989.0642,3847.198
